"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-MONROE-WARD-1-ADAMS","01018","TOWN-OF-MONROE-WARD-1-ADAMS","TOWN OF MONROE WARD 1","ADAMS","TOWN OF MONROE ADAMS",47.9087452471483,51.3307984790874,0.760456273764259,0.862295081967213,0.790874524714829,0,0.0950570342205323,208,0,0,0.039344262295082,263,305,0,263,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,431,29463,8.94308943089431,15.3846153846154,98.6078886310905,0,0,59.8607888631091,58.8,2.13,4.32475926945851
"TOWN-OF-NEW-CHESTER-WARD-13-ADAMS","01020","TOWN-OF-NEW-CHESTER-WARD-13-ADAMS","TOWN OF NEW CHESTER WARD 1-3","ADAMS","TOWN OF NEW CHESTER ADAMS",37.3831775700935,62.1495327102804,0.467289719626168,0.828516377649326,0.588372093023256,0,0,253,0,0,0.10597302504817,430,519,0.00697674418604651,428,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,2010,15366,9.41619585687382,3.32880434782609,60.1492537313433,27.6119402985075,14.7761194029851,76.5671641791045,37.6,2.57,60.2318510587298
"TOWN-OF-NEW-HAVEN-WARD-1-ADAMS","01022","TOWN-OF-NEW-HAVEN-WARD-1-ADAMS","TOWN OF NEW HAVEN WARD 1","ADAMS","TOWN OF NEW HAVEN ADAMS",40.9703504043127,55.7951482479784,3.2345013477089,0.849315068493151,0.666666666666667,0,0,248,0,0.0887096774193548,0.0205479452054795,372,438,0.00806451612903226,371,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,692,22395,6.58536585365854,9.35064935064935,99.8554913294798,0,2.3121387283237,47.8323699421965,51.6,2.7,8.78846581577819
"TOWN-OF-PRESTON-WARDS-1-2-ADAMS","01024","TOWN-OF-PRESTON-WARDS-1-2-ADAMS","TOWN OF PRESTON WARDS 1 & 2","ADAMS","TOWN OF PRESTON ADAMS",41.6058394160584,57.2262773722628,1.16788321167883,0.85997521685254,0,0,0,0,0,0.0734870317002882,0.0991325898389095,694,807,0,685,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1460,21437,7.18294051627385,8.51063829787234,98.4246575342466,0.0684931506849315,1.64383561643836,49.5890410958904,53.9,2.66,40.4382601573976
"TOWN-OF-QUINCY-WARDS-13-ADAMS","01026","TOWN-OF-QUINCY-WARDS-13-ADAMS","TOWN OF QUINCY WARDS 1-3","ADAMS","TOWN OF QUINCY ADAMS",33.5099337748344,65.8278145695364,0.662251655629139,0.883289124668435,0,0,0.162162162162162,0,0,0,0.0716180371352785,666,754,0.0135135135135135,755,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1229,21313,7.35068912710567,8.42105263157895,98.3726606997559,0.406834825061025,2.76647681041497,55.166802278275,55.9,2.36,26.7732292005195
"TOWN-OF-RICHFIELD-WARD-1-ADAMS","01028","TOWN-OF-RICHFIELD-WARD-1-ADAMS","TOWN OF RICHFIELD WARD 1","ADAMS","TOWN OF RICHFIELD ADAMS",47.7272727272727,50,2.27272727272727,0.88,0,0,0.102272727272727,0,0,0,0.06,88,100,0,88,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,146,47984,3.79746835443038,17.1052631578947,100,0,6.16438356164384,53.4246575342466,55,2.21,1.58378793507245
"TOWN-OF-ROME-WARDS-15-ADAMS","01030","TOWN-OF-ROME-WARDS-15-ADAMS","TOWN OF ROME Wards 1-5","ADAMS","TOWN OF ROME ADAMS",55.1075268817204,44.4086021505376,0.483870967741935,0.885090218423552,0,0.998927038626609,0.269849785407725,0,0,0.00107296137339056,0.047008547008547,1864,2106,0.0118025751072961,1860,2,7.3,3.47506723022861,32.3,"aNone","Optech- Eagle","ES&S Automark",44897,2712,33203,7.04879938032533,28.7693561532192,98.6725663716814,0,0.25811209439528,53.3185840707965,62,2.21,31.9842109968517
"TOWN-OF-SPRINGVILLE-WARDS-1-2-ADAMS","01032","TOWN-OF-SPRINGVILLE-WARDS-1-2-ADAMS","TOWN OF SPRINGVILLE WARDS 1 & 2","ADAMS","TOWN OF SPRINGVILLE ADAMS",47.0978441127695,51.9071310116086,0.995024875621891,0.852413793103448,0,0,0.0841423948220065,0,0,0,0.0703448275862069,618,725,0.00970873786407767,603,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1233,20753,5.80912863070539,10.828025477707,97.242497972425,0.16220600162206,2.18978102189781,51.0137875101379,48.3,2.56,68.1340770561265
"TOWN-OF-STRONGS-PRAIRIE-WARDS-13-ADAMS","01034","TOWN-OF-STRONGS-PRAIRIE-WARDS-13-ADAMS","TOWN OF STRONGS PRAIRIE Wards 1-3","ADAMS","TOWN OF STRONGS PRAIRIE ADAMS",45.2342487883683,53.3117932148627,1.45395799676898,0.854595336076818,0.910112359550562,0,0.0834670947030498,567,0,0,0.0877914951989026,623,729,0.00642054574638844,619,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,1109,22168,4.24778761061947,11.2936344969199,99.2786293958521,0,2.34445446348061,51.5779981965735,55.6,2.32,17.7699538993352
"VILLAGE-OF-FRIENDSHIP-WARD-1-ADAMS","01126","VILLAGE-OF-FRIENDSHIP-WARD-1-ADAMS","VILLAGE OF FRIENDSHIP WARD 1","ADAMS","VILLAGE OF FRIENDSHIP ADAMS",36.5771812080537,62.0805369127517,1.34228187919463,0.803763440860215,0,0,0.204013377926421,0,0,0,0.0833333333333333,299,372,0.0434782608695652,298,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,696,19998,10.1123595505618,14.7826086956522,96.8390804597701,2.1551724137931,2.1551724137931,51.1494252873563,50.5,2.75,284.249451687536
