"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-ADAMS-WARDS-13-ADAMS","01002","TOWN-OF-ADAMS-WARDS-13-ADAMS","TOWN OF ADAMS Wards 1-3","ADAMS","TOWN OF ADAMS ADAMS",42.9752066115703,55.3719008264463,1.65289256198347,0.807061790668348,0,0,0.0859375,0,0,0,0.064312736443884,640,793,0.0078125,605,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1438,18965,4.82673267326733,11.5819209039548,92.0027816411683,0.278164116828929,4.65924895688456,49.3741307371349,48.1,2.59,12.8384255135077
"TOWN-OF-BIG-FLATS-WARDS-1-2-ADAMS","01004","TOWN-OF-BIG-FLATS-WARDS-1-2-ADAMS","TOWN OF BIG FLATS WARDS 1 & 2","ADAMS","TOWN OF BIG FLATS ADAMS",36.9609856262834,57.700205338809,5.3388090349076,0.812703583061889,0.881763527054108,0,0.0861723446893788,440,0.00801603206412826,0,0.0667752442996743,499,614,0.00801603206412826,487,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,853,20234,8.73015873015873,6.25,97.5381008206331,0.468933177022274,6.79953106682298,53.9273153575615,58.7,2.27,13.6506409553158
"TOWN-OF-COLBURN-WARD-1-ADAMS","01006","TOWN-OF-COLBURN-WARD-1-ADAMS","TOWN OF COLBURN WARD 1","ADAMS","TOWN OF COLBURN ADAMS",38.4615384615385,58.974358974359,2.56410256410256,0.78125,0.936,0,0.048,117,0,0,0.0375,125,160,0.008,117,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,285,20075,1.71428571428571,9.80392156862745,98.2456140350877,0.350877192982456,1.75438596491228,52.280701754386,53.6,2.42,3.06426786135655
"TOWN-OF-DELL-PRAIRIE-WARDS-13-ADAMS","01008","TOWN-OF-DELL-PRAIRIE-WARDS-13-ADAMS","TOWN OF DELL PRAIRIE WARDS 1-3","ADAMS","TOWN OF DELL PRAIRIE ADAMS",49.3946731234867,49.1525423728814,1.45278450363196,0.861336032388664,0,0,0.0810810810810811,0,0,0,0.105263157894737,851,988,0.0082256169212691,826,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1617,24790,7.98029556650246,16.2222222222222,94.9907235621521,0.494743351886209,3.58688930117502,50.8967223252938,45.2,2.72,46.4111072909669
"TOWN-OF-EASTON-WARDS-1-2-ADAMS","01010","TOWN-OF-EASTON-WARDS-1-2-ADAMS","TOWN OF EASTON WARDS 1 & 2","ADAMS","TOWN OF EASTON ADAMS",47.0824949698189,51.1066398390342,1.81086519114688,0.898423817863398,0.584795321637427,0,0.0584795321637427,300,0,0,0.119089316987741,513,571,0.00389863547758285,497,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,993,20561,9.15032679738562,11.3879003558719,96.5760322255791,1.81268882175227,0,53.0715005035247,50.3,2.61,17.3700312049274
"TOWN-OF-JACKSON-WARDS-1-2-ADAMS","01012","TOWN-OF-JACKSON-WARDS-1-2-ADAMS","TOWN OF JACKSON WARDS 1 & 2","ADAMS","TOWN OF JACKSON ADAMS",45.8407079646018,52.5663716814159,1.5929203539823,0.882716049382716,0,0,0.0891608391608392,0,0.00524475524475524,0,0.0848765432098765,572,648,0,565,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1189,27590,6.33093525179856,12.6139817629179,93.6080740117746,0,4.70984020185029,48.2758620689655,55.2,2.55,26.5475259157289
"TOWN-OF-LEOLA-WARD-1-ADAMS","01014","TOWN-OF-LEOLA-WARD-1-ADAMS","TOWN OF LEOLA WARD 1","ADAMS","TOWN OF LEOLA ADAMS",64,34,2,0.870056497175141,0,0,0,0,0,0.0779220779220779,0.0903954802259887,154,177,0,150,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,324,19373,10.6796116504854,11.2359550561798,95.9876543209877,0,0,58.9506172839506,44.2,2.89,3.35469626681109
"TOWN-OF-LINCOLN-WARD-1-ADAMS","01016","TOWN-OF-LINCOLN-WARD-1-ADAMS","TOWN OF LINCOLN Ward 1","ADAMS","TOWN OF LINCOLN ADAMS",43.125,51.25,5.625,0.871134020618557,0.810650887573965,0,0.100591715976331,137,0,0,0.0824742268041237,169,194,0.00591715976331361,160,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,362,21312,4,14.0243902439024,93.9226519337017,1.65745856353591,1.10497237569061,55.524861878453,51.8,2.7,3.86734924122314
"TOWN-OF-MONROE-WARD-1-ADAMS","01018","TOWN-OF-MONROE-WARD-1-ADAMS","TOWN OF MONROE WARD 1","ADAMS","TOWN OF MONROE ADAMS",42.1455938697318,55.5555555555556,2.29885057471264,0.862295081967213,0.790874524714829,0,0.0950570342205323,208,0,0,0.039344262295082,263,305,0,261,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,431,29463,8.94308943089431,15.3846153846154,98.6078886310905,0,0,59.8607888631091,58.8,2.13,4.32475926945851
"TOWN-OF-NEW-CHESTER-WARD-13-ADAMS","01020","TOWN-OF-NEW-CHESTER-WARD-13-ADAMS","TOWN OF NEW CHESTER WARD 1-3","ADAMS","TOWN OF NEW CHESTER ADAMS",41.866028708134,55.2631578947368,2.87081339712919,0.828516377649326,0.588372093023256,0,0,253,0,0,0.10597302504817,430,519,0.00697674418604651,418,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,2010,15366,9.41619585687382,3.32880434782609,60.1492537313433,27.6119402985075,14.7761194029851,76.5671641791045,37.6,2.57,60.2318510587298
