"","county","reporting_unit","muni_county","municipality","votes_rec_cruz","votes_rec_kasich","votes_rec_other","votes_rec_trump","votes_tot","votes_perc_cruz","votes_perc_kasich","votes_perc_other","votes_perc_trump","trump_prim_won","total_ballots","tch_prop","turnout_perc","sameday_reg_prop","counted_absent_prop","rejected_absent_prop","registrants","late_registrants","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","coll_deg_plus25_2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010","os_model_off","tch_bmd_model_off","tch_use_off","bmd_use_off","os_use_off","tch_model_off","bmd_model_off","tch_use_off_true","tch_model_off_full","log.pop.sq.mile.2010"
"1637","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-167-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",91,33,8,31,2119,55.8282208588957,20.2453987730061,4.9079754601227,19.0184049079755,0,294,0,0.303092783505155,0.0278350515463918,0.0476190476190476,0,970,0.00340136054421769,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1638","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-168-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",172,52,11,50,3705,60.3508771929825,18.2456140350877,3.85964912280702,17.5438596491228,0,561,0,0.336330935251799,0.0179856115107914,0.0819964349376114,0,1668,0,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1639","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-169-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",2,1,3,8,182,14.2857142857143,7.14285714285714,21.4285714285714,57.1428571428571,1,61,0,0.0771175726927939,0.00379266750948167,0.0491803278688525,0,791,0.0163934426229508,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1640","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-170-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",1,1,0,5,91,14.2857142857143,14.2857142857143,0,71.4285714285714,1,52,0,0.0888888888888889,0.011965811965812,0.0769230769230769,0,585,0,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1641","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-171-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",1,0,0,0,13,100,0,0,0,0,14,0,0.0551181102362205,0.00393700787401575,0.142857142857143,0,254,0.0714285714285714,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1642","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-172-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",5,0,4,5,182,35.7142857142857,0,28.5714285714286,35.7142857142857,0,108,0,0.154727793696275,0.0143266475644699,0.0555555555555556,0,698,0.00925925925925926,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1643","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-173-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",6,1,5,8,260,30,5,25,40,1,132,0,0.148816234498309,0.0146561443066516,0.106060606060606,0,887,0.00757575757575758,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1644","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-174-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",13,3,2,8,338,50,11.5384615384615,7.69230769230769,30.7692307692308,0,229,0,0.176561295296839,0.00693909020817271,0.139737991266376,0,1297,0.00436681222707424,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1645","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-175-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",8,4,3,11,338,30.7692307692308,15.3846153846154,11.5384615384615,42.3076923076923,1,157,0,0.212737127371274,0.0230352303523035,0.0382165605095541,0,738,0,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
"1646","MILWAUKEE","CITY-OF-MILWAUKEE-WARD-176-MILWAUKEE","CITY OF MILWAUKEE MILWAUKEE","CITY OF MILWAUKEE",8,2,4,7,273,38.0952380952381,9.52380952380952,19.047619047619,33.3333333333333,0,154,0,0.146806482364156,0.0181124880838894,0.116883116883117,0.00649350649350649,1049,0.012987012987013,"561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",8.27537637483641
