"","X","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","turnout.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop.1","use.machines.prop","machine.most.used","all.machines","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","X._collegedegreepersons25._2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010"
"95",95,"Green",2012,11206,57.9960666597661,7857,40.6634923920919,259,1.34044094814201,-3349,-17.3325742676742,"Dem","Obama",19322,68.9554262874273,28021,-4.06285208416401,4.35184892602955,-0.288996841865539,2.81217658184933,1423,8.41470101019355,788,2.81217658184933,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly optical scanners","21670","86.71%","9,121","8,693",977,"18,791",428,"-18.61%","10.64%","277.22%","-2.75%","48.54%","46.26%","5.20%","0.64%",1,0,1,"11,206","7,857","259","19,322","58.00%","40.66%","1.34%","0.63%",1,2,37063,28427,36842,23.3,97.6,0.6,171,94.9,26978,1450,20.6,5856,18.6,158.2,3.9,55584,63.1
"96",96,"Green Lake",2012,3793,39.2041343669251,5782,59.7622739018088,100,1.03359173126615,1989,20.5581395348837,"Rep","Romney",9675,65.5044008124577,14770,-2.74217435790715,3.20816316355375,-0.465988805646602,0.941096817874069,596,5.9503375214609,139,0.941096817874069,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.5625,"ES&S","Some or no optical scanners","11154","83.51%","2,700","6,210",405,"9,315",-3510,"-28.82%","7.40%","305.00%","-3.72%","28.99%","66.67%","4.35%","0.32%",0,0,2,"3,793","5,782","100","9,675","39.20%","59.76%","1.03%","0.32%",0,2,18836,14523,19051,22.9,97.6,0.6,87,93.3,13550,973,16.6,2411,13.9,155.5,5,46994,54.5
"97",97,"Iowa",2012,8105,64.6641136109781,4287,34.2029679272379,142,1.13291846178395,-3818,-30.4611456837402,"Dem","Obama",12534,70.002792516057,17905,-2.06660741834763,2.21199123745598,-0.145383819108358,3.15554314437308,340,4.27859865580361,565,3.15554314437308,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",0.16,"ES&S","Some or no optical scanners","14415","84.10%","6,669","4,809",645,"12,123",1860,"-17.72%","12.18%","354.23%","-3.28%","55.01%","39.67%","5.32%","0.41%",1,0,2,"8,105","4,287","142","12,534","64.66%","34.20%","1.13%","0.41%",1,2,23825,18178,23687,23.7,97.8,0.5,91,96.3,17506,673,21.7,3945,26,192.6,3.6,55659,31.1
"98",98,"Iron",2012,1784,49.1189427312775,1790,49.284140969163,58,1.59691629955947,6,0.165198237885463,"Rep","Romney",3632,74.1981613891726,4895,-6.65028803795324,6.62679831182034,0.0234897261328977,4.08580183861083,456,13.2770863497736,200,4.08580183861083,2,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",0,NA,"Some or no optical scanners","4259","81.64%","1,273","2,090",114,"3,477",-817,"-28.64%","16.76%","96.55%","-4.27%","36.61%","60.11%","3.28%","0.12%",0,0,2,"1,784","1,790","58","3,632","49.12%","49.28%","1.60%","0.12%",0,2,5917,4976,5916,15.9,97.3,0.2,10,96.8,4817,159,20.8,1035,30.2,484,3.8,39051,7.8
"99",99,"Jackson",2012,5298,56.8882207666703,3900,41.8769462042306,115,1.23483302909911,-1398,-15.0112745624396,"Dem","Obama",9313,58.4216799447964,15941,-3.3431055764278,3.48109710683578,-0.137991530407972,0.388934194843486,622,6.82420268326358,62,0.388934194843485,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.037037037037037,"ES&S","Some or no optical scanners","11091","82.97%","3,821","4,907",474,"9,202",-1086,"-27.88%","25.82%","312.17%","-1.19%","41.52%","53.33%","5.15%","0.31%",0,1,2,"5,298","3,900","115","9,313","56.89%","41.88%","1.23%","0.30%",1,2,20652,15985,20449,22.6,88.9,2.1,336,86.8,13875,2110,14.8,2366,6.6,41.3,5.8,44149,20.7
"100",100,"Jefferson",2012,20158,45.5229105033762,23517,53.108556717328,606,1.36853277929586,3359,7.58564621395181,"Rep","Romney",44281,68.9498925601819,64222,-4.16434335382626,4.23675946949403,-0.0724161156677683,1.73616517704214,3711,8.4011028233203,1115,1.73616517704214,1,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","50796","83.32%","16,559","23,409",2356,"42,324",-6850,"-17.85%","-0.46%","288.78%","-4.42%","39.12%","55.31%","5.57%","1.44%",0,0,1,"20,158","23,517","606","44,281","45.52%","53.11%","1.37%","1.44%",0,2,84395,65237,83686,22.7,96.6,1,652,90.3,58909,6328,23,15005,9.3,90.3,3.3,53454,150.4
"101",101,"Juneau",2012,6242,52.77754291029,5411,45.75124714636,174,1.47120994334996,-831,-7.02629576392999,"Dem","Obama",11827,55.6564705882353,21250,-0.873801408877384,1.10250473525855,-0.228703326381174,1.39764705882354,207,1.97630614413593,297,1.39764705882353,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0357142857142857,"ES&S","Some or no optical scanners","13820","84.92%","4,100","7,188",448,"11,736",-3088,"-34.32%","32.84%","157.47%","-0.77%","34.94%","61.25%","3.82%","0.40%",0,1,2,"6,242","5,411","174","11,827","52.78%","45.75%","1.47%","0.39%",1,2,26395,21010,26664,20.4,94.4,2.4,504,92,19330,1681,12.4,2605,11.5,38.3,7.1,45297,34.8
"102",102,"Kenosha",2012,44867,55.4618836298009,34977,43.2364611790301,1053,1.30165519116902,-9890,-12.2254224507707,"Dem","Obama",80897,65.0245157141709,124410,-2.71375002464329,3.11791671216292,-0.404166687519632,1.69439755646653,4337,5.83166673680622,2108,1.69439755646652,4,"Mostly Dem","Rep2016","Little turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9
"103",103,"Kewaunee",2012,5153,46.6884117060795,5747,52.0703089607683,137,1.24127933315212,594,5.38189725468877,"Rep","Romney",11037,69.6956302096489,15836,-8.02559589566329,8.39736931119013,-0.371773415526841,1.57868148522354,1785,16.4229652068534,250,1.57868148522354,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly optical scanners","12568","85.47%","3,623","6,616",503,"10,742",-2993,"-29.69%","15.12%","267.15%","-2.67%","33.73%","61.59%","4.68%","0.36%",0,0,2,"5,153","5,747","137","11,037","46.69%","52.07%","1.24%","0.36%",0,1,20444,15865,20574,22.4,97.7,0.4,63,95.6,15167,698,13.5,2142,21.7,239,6.4,53588,60.1
"104",104,"La Crosse",2012,36693,57.8188522265293,25751,40.5770382276008,1018,1.60410954586997,-10942,-17.2418139989285,"Dem","Obama",63462,69.5222549653276,91283,-3.1194881195747,3.08613373837301,0.033354381201679,0.267300592662394,3881,6.20562185794771,244,0.26730059266238,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly optical scanners","77583","80.93%","32,402","26,384",3999,"62,785",6018,"-11.69%","2.46%","292.83%","-1.07%","51.61%","42.02%","6.37%","2.13%",1,0,1,"36,693","25,751","1,018","63,462","57.82%","40.58%","1.60%","2.07%",1,1,118011,93583,114638,20.7,92,1.5,1404,90.7,84880,8703,29.9,27981,9.8,60.5,2.3,51339,253.8
"105",105,"Lafayette",2012,4536,57.0422535211268,3314,41.6750503018109,102,1.28269617706237,-1222,-15.3672032193159,"Dem","Obama",7952,63.191354100445,12584,-3.38425650313579,3.57008286470194,-0.185826361566153,0.96153846153846,526,6.95433936783773,121,0.961538461538462,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0384615384615385,"ES&S","Some or no optical scanners","9273","81.98%","3,288","3,977",337,"7,602",-689,"-27.51%","20.01%","230.39%","-4.40%","43.25%","52.32%","4.43%","0.26%",0,1,2,"4,536","3,314","102","7,952","57.04%","41.68%","1.28%","0.26%",1,2,16853,12690,16836,24.7,97.9,0.4,51,94.8,12030,660,16.5,2094,18.2,237,5.1,49107,26.6
"106",106,"Langlade",2012,4573,43.4737142313908,5816,55.2904268466584,130,1.23585892195076,1243,11.8167126152676,"Rep","Romney",10519,66.7576315288443,15757,-6.3436285872979,6.44405114967708,-0.100422562379181,0.742527130799004,1344,12.787679736975,117,0.74252713079901,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0526315789473684,"ES&S","Some or no optical scanners","11983","84.23%","3,260","6,436",397,"10,093",-3176,"-28.71%","10.66%","205.38%","-4.05%","32.30%","63.77%","3.93%","0.34%",0,0,2,"4,573","5,816","130","10,519","43.47%","55.29%","1.24%","0.34%",0,2,19410,15489,19977,20.2,96.3,0.7,108,94.9,14699,790,13.2,2045,18.6,135.6,6.6,42389,22.9
"107",107,"Lincoln",2012,7563,49.7042586750789,7455,48.9944794952681,198,1.301261829653,-108,-0.709779179810726,"Dem","Obama",15216,67.297655904467,22610,-5.46996191700917,6.29733514106326,-0.827373224054103,-0.229986731534723,1797,11.7672970580724,-52,-0.229986731534719,2,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","17121","85.06%","5,370","8,400",793,"14,563",-3030,"-29.00%","12.68%","300.51%","-4.29%","36.87%","57.68%","5.45%","0.49%",0,1,1,"7,563","7,455","198","15,216","49.70%","48.99%","1.30%","0.50%",1,1,28493,22766,28743,20.1,97.2,0.9,205,96,21855,911,14.5,3301,24,106.7,5.9,49021,32.7
"108",108,"Manitowoc",2012,20403,47.8752610460614,21604,50.6933852687894,610,1.43135368514912,1201,2.81812422272802,"Rep","Romney",42617,67.1144427471299,63499,-5.0035053989803,5.34515119513453,-0.341645796154224,0.319690073859434,4395,10.3486565941148,203,0.319690073859431,1,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",0.566666666666667,"ES&S","Some or no optical scanners","47634","83.95%","14,563","23,234",2194,"39,991",-8671,"-28.62%","7.54%","259.67%","-6.16%","36.42%","58.10%","5.49%","1.36%",0,0,2,"20,403","21,604","610","42,617","47.88%","50.69%","1.43%","1.39%",0,2,80160,63086,81442,21.3,94.8,0.7,442,91.8,57913,5173,18.7,11797,11.2,131.1,4.3,48881,138.3
"109",109,"Marathon",2012,32363,46.3241819587186,36617,52.4133291345796,882,1.26248890670178,4254,6.08914717586098,"Rep","Romney",69862,68.5109637939827,101972,-7.20393108219984,7.74891936125019,-0.54498827905035,1.88483113011415,10276,14.95285044345,1922,1.88483113011415,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly optical scanners","80465","85.56%","26,476","39,010",3363,"68,849",-12534,"-18.19%","6.54%","281.29%","-1.45%","38.46%","56.66%","4.88%","2.34%",0,0,2,"32,363","36,617","882","69,862","46.32%","52.41%","1.26%","2.28%",0,2,135780,103600,134063,23.7,91.8,0.8,829,89.6,92826,10774,22.2,22999,8.6,112,3.5,53363,86.8
"110",110,"Marinette",2012,9882,47.5622082110025,10619,51.1093998171054,276,1.328391971892,737,3.5471916061029,"Rep","Romney",20777,62.4046374722172,33294,-5.10775179840701,5.35075479240538,-0.243002993998383,-1.43569411906049,2206,10.4585065908124,-478,-1.43569411906049,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.08,"ES&S","Some or no optical scanners","24615","81.17%","6,243","12,995",741,"19,979",-6752,"-36.82%","22.37%","168.48%","-3.84%","31.25%","65.04%","3.71%","0.68%",0,0,2,"9,882","10,619","276","20,777","47.56%","51.11%","1.33%","0.68%",0,2,41298,33245,41749,19.5,97.2,0.4,133,95.9,31882,1363,13.6,4521,23.4,239.8,6.4,40490,29.8
"111",111,"Marquette",2012,4014,49.5249845774213,3992,49.2535471930907,99,1.22146822948797,-22,-0.27143738433066,"Dem","Obama",8105,65.5479175090983,12365,-2.32309087503851,2.68204579110241,-0.358954916063903,2.09462191670038,392,5.00513666614092,259,2.09462191670036,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no optical scanners","9267","84.31%","2,808","4,712",293,"7,813",-1904,"-30.04%","18.04%","195.96%","-3.60%","35.94%","60.31%","3.75%","0.27%",0,1,2,"4,014","3,992","99","8,105","49.52%","49.25%","1.22%","0.26%",1,2,15050,12070,15404,19.8,97.3,0.6,72,94.5,11406,664,12.9,1557,17.2,157.5,6.8,46077,33.8
"112",112,"Menominee",2012,1191,86.4923747276688,179,12.9992737835875,7,0.508351488743646,-1012,-73.4931009440813,"Dem","Obama",1377,48.2649842271293,2853,-0.317017537524535,0.223030689664856,0.0939868478596677,-2.48860848229933,60,0.540048227189402,-71,-2.48860848229933,5,"Mostly Dem","Dem2016","Little turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","1911","66.93%","1,003","269",7,"1,279",734,"-15.79%","50.28%","0.00%","-7.12%","78.42%","21.03%","0.55%","0.04%",1,0,2,"1,191","179","7","1,377","86.49%","13.00%","0.51%","0.04%",1,2,4522,3030,4232,33,12.2,0.8,24,11.6,351,2678,15.8,479,0.1,14.5,5.3,33333,11.8
"113",113,"Milwaukee",2012,332438,67.4896868706555,154924,31.4517962710323,5214,1.05851685831222,-177514,-36.0378905996232,"Dem","Obama",492576,68.9059149223687,714853,0.18657570716789,0.00240318360657454,-0.188978890774465,2.43182864169276,-7140,-0.184172523561323,17384,2.43182864169277,5,"Mostly Dem","Dem2016","Little turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","561,965","77.40%","288,986","126,091",19893,"434,970",162895,"-13.07%","-18.61%","281.53%","-11.69%","66.44%","28.99%","4.57%","14.77%",1,0,1,"332,438","154,924","5,214","492,576","67.49%","31.45%","1.06%","16.05%",1,2,956406,722087,947735,24.5,65.6,27.1,195685,53.4,385594,336492,28.1,202906,1.1,2,2.6,43193,3926
"114",114,"Monroe",2012,9515,48.8324352065692,9675,49.6535796766744,295,1.51398511675648,160,0.821144470105209,"Rep","Romney",19485,58.2877142600736,33429,-4.4152673832387,4.40504166497846,0.0102257182602388,0.996141075114423,1692,8.82030904821716,333,0.996141075114422,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.147058823529412,"ES&S","Some or no optical scanners","23177","84.37%","7,047","11,442",1065,"19,554",-4395,"-25.94%","18.26%","261.02%","0.35%","36.04%","58.51%","5.45%","0.66%",0,0,2,"9,515","9,675","295","19,485","48.83%","49.65%","1.51%","0.63%",0,2,45379,33762,44673,25.6,95,1.5,506,91.6,30926,2836,17.4,5875,10.9,61.1,4.7,49774,49.6
"115",115,"Oconto",2012,8865,44.639709955184,10741,54.086308474747,253,1.27398157006899,1876,9.44659851956292,"Rep","Romney",19859,67.355175688509,29484,-7.69580248682355,7.92962353168497,-0.233821044861423,3.02197802197803,3048,15.6254260185085,891,3.02197802197802,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.642857142857143,"ES&S","Some or no optical scanners","23184","85.94%","5,886","13,255",783,"19,924",-7369,"-33.60%","23.41%","209.49%","0.33%","29.54%","66.53%","3.93%","0.68%",0,0,2,"8,865","10,741","253","19,859","44.64%","54.09%","1.27%","0.65%",0,2,37417,29634,37660,20.8,96.9,0.3,89,95.6,28330,1304,14.9,4416,21.7,318.7,5.7,51615,37.7
"116",116,"Oneida",2012,10452,48.272676888971,10917,50.4202845002771,283,1.30703861075189,465,2.14760761130611,"Rep","Romney",21652,73.307150595883,29536,-6.03023732637995,6.50182780305451,-0.471590476674567,-0.931067172264349,2742,12.5320651294345,-275,-0.931067172264355,1,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",0.619047619047619,"ES&S","Some or no optical scanners","25116","82.96%","8,103","11,677",1057,"20,837",-3574,"-22.47%","6.96%","273.50%","-3.76%","38.89%","56.04%","5.07%","0.71%",0,0,2,"10,452","10,917","283","21,652","48.27%","50.42%","1.31%","0.71%",0,2,35563,29339,35998,17.5,96.6,0.5,147,95.5,28019,1320,23.6,6924,21.2,191,3.2,45759,32.3
"117",117,"Outagamie",2012,45659,48.2673685990951,47372,50.0782274091928,1565,1.65440399171212,1713,1.81085881009768,"Rep","Romney",94596,70.6309266034496,133930,-6.66093213373366,6.74522171912146,-0.0842895853877972,2.26461584409766,12330,13.4061538528551,3033,2.26461584409766,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.67741935483871,"ES&S","Some or no optical scanners","109491","86.91%","38,117","51,579",5466,"95,162",-13462,"-16.52%","8.88%","255.40%","0.63%","40.05%","54.20%","5.74%","3.23%",0,0,2,"45,659","47,372","1,538","94,569","48.28%","50.09%","1.63%","3.08%",0,2,182006,137779,176695,24.3,92.2,1.2,1653,88.8,122347,15431,26.4,36374,7.9,74,2.8,58318,277.2
"118",118,"Ozaukee",2012,19159,34.3246681118656,36077,64.6344303706756,581,1.04090151745884,16918,30.30976225881,"Rep","Romney",55817,83.9492246837823,66489,-4.2380602681588,4.34772560163223,-0.10966533347342,3.68782806178464,5325,8.58578586979103,2452,3.68782806178466,0,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","63515","84.02%","20,167","30,458",2743,"53,368",-10291,"5.26%","-15.58%","372.12%","-4.39%","37.79%","57.07%","5.14%","1.81%",0,0,1,"19,159","36,077","581","55,817","34.32%","64.63%","1.04%","1.82%",0,2,87470,68052,86395,22.2,95,1.5,1021,92.7,63084,4968,44.9,30555,12.7,61.8,1.2,75457,370.7
"119",119,"Pepin",2012,1876,50.7164098404974,1794,48.4995944849959,29,0.783995674506623,-82,-2.21681535550149,"Dem","Obama",3699,63.9080856945404,5788,-5.02477286965902,5.64623993713066,-0.621467067471632,-1.24395300621977,404,10.6710128067897,-72,-1.24395300621977,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no optical scanners","4324","86.63%","1,345","2,228",173,"3,746",-883,"-28.30%","24.19%","496.55%","1.27%","35.90%","59.48%","4.62%","0.13%",0,1,2,"1,876","1,794","29","3,699","50.72%","48.50%","0.78%","0.12%",1,2,7335,5692,7469,22.4,98.1,0.5,28,96.9,5516,176,17.1,973,31.3,193.8,4.8,47701,32.2
"120",120,"Pierce",2012,10235,48.6917221693625,10397,49.4624167459562,388,1.84586108468126,162,0.77069457659372,"Rep","Romney",21020,65.5543427413067,32065,-4.69860668575125,5.07828502297256,-0.379678337221309,-3.38998908467175,2153,9.77689170872381,-1087,-3.38998908467176,3,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.76,"ES&S","Mostly optical scanners","25044","84.21%","8,380","11,260",1449,"21,089",-2880,"-18.12%","8.30%","273.45%","0.33%","39.74%","53.39%","6.87%","0.72%",0,0,2,"10,235","10,397","388","21,020","48.69%","49.46%","1.85%","0.69%",0,2,40958,32152,41019,21.5,96.7,0.6,193,95.1,30577,1575,25.7,8263,19.4,158.5,2.9,59226,71.5
"121",121,"Polk",2012,10073,44.624108448146,12094,53.5772825942498,406,1.79860895760422,2021,8.95317414610375,"Rep","Romney",22573,66.6341953005077,33876,-3.4083960786393,3.75172944316555,-0.343333364526242,-0.206635966465925,1615,7.16012552180485,-70,-0.206635966465935,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.285714285714286,"ES&S","Some or no optical scanners","26328","86.19%","7,568","13,864",1259,"22,691",-6296,"-24.87%","14.64%","210.10%","0.52%","33.35%","61.10%","5.55%","0.77%",0,0,2,"10,073","12,094","406","22,573","44.62%","53.58%","1.80%","0.74%",0,2,43437,33794,44205,22.2,96.9,0.3,101,95.6,32307,1487,19.3,6522,21.7,318.7,4.2,48538,48.4
"122",122,"Portage",2012,22075,56.1176500495717,16615,42.2375880214556,647,1.64476192897272,-5460,-13.880062028116,"Dem","Obama",39337,69.8232099116049,56338,-6.83450864354387,7.20638716913966,-0.371878525595792,-0.15087507543754,5547,14.0408958126835,-85,-0.150875075437538,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",0.407407407407407,"ES&S","Some or no optical scanners","46378","82.20%","18,524","17,310",2289,"38,123",1214,"-16.09%","4.18%","253.79%","-3.09%","48.59%","45.41%","6.00%","1.29%",1,0,1,"22,075","16,615","647","39,337","56.12%","42.24%","1.64%","1.28%",1,1,70482,56456,70019,19.9,94.7,0.7,395,92.2,52053,4404,27.5,15525,11.8,131.7,2.6,50996,87.4
"123",123,"Price",2012,3887,49.1963042652829,3884,49.1583343880521,130,1.64536134666498,-3,-0.0379698772307303,"Dem","Obama",7901,69.1553610503282,11425,-6.44196764099001,6.92011129798625,-0.478143656996237,-2.56455142231948,1095,13.3620789389763,-293,-2.56455142231947,3,"Mostly Dem","Rep2016","Little turnout change 2016","Large turnout change 2016",0,NA,"Some or no optical scanners","8848","85.44%","2,671","4,562",327,"7,560",-1891,"-31.28%","17.46%","151.54%","-4.32%","35.33%","60.34%","4.33%","0.26%",0,1,2,"3,887","3,884","130","7,901","49.20%","49.16%","1.65%","0.26%",1,2,13675,11227,14159,17.9,96.8,0.5,56,95.5,10722,505,15.3,1718,21.2,191,5.5,42644,11.3
"124",124,"Racine",2012,53008,51.2828450911342,49347,47.7409929956271,1009,0.976161913238652,-3661,-3.54185209550714,"Dem","Obama",103364,70.0701623563705,147515,-1.78446279225441,2.08013569946844,-0.295672907214042,1.84523607768701,3793,3.86459849172285,2722,1.84523607768701,2,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","115618","81.02%","42,506","46,620",4552,"93,678",-4114,"-19.81%","-5.53%","351.14%","-9.37%","45.37%","49.77%","4.86%","3.18%",0,1,2,"53,008","49,347","1,009","103,364","51.28%","47.74%","0.98%","3.37%",1,2,195163,148129,195408,24.1,84.4,11.6,17183,73.5,108875,39254,23,34070,2.8,6.3,3.3,54090,587.7
"125",125,"Richland",2012,4969,57.4119006354708,3573,41.2824956672444,113,1.30560369728481,-1396,-16.1294049682265,"Dem","Obama",8655,62.2930761479775,13894,-2.24490409825699,2.2529098684278,-0.00800577017081472,1.47545703181229,347,4.49781396668478,205,1.47545703181229,2,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",0,NA,"Some or no optical scanners","9924","80.23%","3,577","4,021",364,"7,962",-444,"-28.01%","12.54%","222.12%","-8.01%","44.93%","50.50%","4.57%","0.27%",0,1,2,"4,969","3,573","113","8,655","57.41%","41.28%","1.31%","0.28%",1,2,17662,13688,18021,22.5,97.5,0.6,82,95.4,13058,630,15,2053,20.7,159,5.7,45271,30.7
"126",126,"Rock",2012,49219,60.9976453092081,30517,37.8200520510596,954,1.18230263973231,-18702,-23.1775932581485,"Dem","Obama",80690,66.9570989959339,120510,-2.82657881892288,3.25601814890094,-0.429439329978057,1.2621359223301,4463,6.08259696782381,1521,1.2621359223301,5,"Mostly Dem","Dem2016","Little turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","92058","81.52%","39,336","31,483",4224,"75,043",7853,"-20.08%","3.17%","342.77%","-7.00%","52.42%","41.95%","5.63%","2.55%",1,0,1,"49,219","30,517","954","80,690","61.00%","37.82%","1.18%","2.63%",1,1,161188,122503,160331,24,91,5.1,6248,83.9,102780,19723,19.4,23766,5.2,16.5,4.2,49435,223.3
"127",127,"Rusk",2012,3397,47.2396050618829,3676,51.1194548741482,118,1.64094006396885,279,3.87984981226533,"Rep","Romney",7191,62.5848563968668,11490,-5.7719460932326,6.386231551816,-0.614285458583405,-0.704960835509141,881,12.1581776450486,-81,-0.704960835509138,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0303030303030303,"ES&S","Some or no optical scanners","8218","85.53%","2,171","4,564",294,"7,029",-2393,"-36.09%","24.16%","149.15%","-2.25%","30.89%","64.93%","4.18%","0.24%",0,0,2,"3,397","3,676","118","7,191","47.24%","51.12%","1.64%","0.23%",0,2,14333,11280,14755,21.3,97.5,0.6,68,96.1,10840,440,14.3,1613,24.6,160.2,6,38658,16.2
"128",128,"Sauk",2012,18736,58.683872584333,12838,40.2104801578601,353,1.10564725780687,-5898,-18.4733924264729,"Dem","Obama",31927,67.3167749009024,47428,-2.10434657585768,2.45824349620009,-0.353896920342413,2.74310533861853,1157,4.56259007205777,1301,2.74310533861854,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly optical scanners","37195","91.00%","16,050","15,871",1927,"33,848",179,"-14.34%","23.63%","445.89%","6.02%","47.42%","46.89%","5.69%","1.15%",1,0,1,"18,736","12,838","353","31,927","58.68%","40.21%","1.11%","1.04%",1,2,63379,48675,61976,23.2,95.9,0.8,389,91.7,44635,4040,21,10222,11,114.6,3.8,52140,74.6
"129",129,"Sawyer",2012,4486,49.7063711911357,4442,49.218836565097,97,1.07479224376731,-44,-0.487534626038781,"Dem","Obama",9025,68.1543573478326,13242,-2.74272071860559,2.99979418755154,-0.257073468945951,-0.453103760761223,522,5.74251490615714,-60,-0.453103760761214,2,"Mostly Rep","Rep2016","Little turnout change 2016","Large turnout change 2016",0,NA,"Some or no optical scanners","10872","71.44%","2,846","4,625",296,"7,767",-1779,"-36.56%","4.12%","205.15%","-13.94%","36.64%","59.55%","3.81%","0.26%",0,1,2,"4,486","4,442","97","9,025","49.71%","49.22%","1.07%","0.29%",1,2,16437,13117,16557,20.2,78.8,0.6,79,77.6,10179,2938,22,2886,3.5,129.3,3.5,39904,13.2
"130",130,"Shawano",2012,9000,44.3808866314907,11022,54.3517924946989,257,1.26732087381035,2022,9.97090586320824,"Rep","Romney",20279,62.3892444006892,32504,-6.68686188759935,6.87307279735214,-0.186210909752798,0.584543440807288,2743,13.5599346849515,190,0.584543440807285,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.5,"ES&S","Some or no optical scanners","23630","83.36%","6,056","12,742",899,"19,697",-6686,"-32.71%","15.61%","249.81%","-2.87%","30.75%","64.69%","4.56%","0.67%",0,0,2,"9,000","11,022","257","20,279","44.38%","54.35%","1.27%","0.66%",0,2,41579,32473,41949,21.9,88.9,0.4,130,87.3,28349,4124,15.3,4968,6.9,218.3,5.5,46559,47
