"","X","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","turnout.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop.1","use.machines.prop","machine.most.used","all.machines","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","X._collegedegreepersons25._2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010"
"11",11,"Columbia",2016,13525,46.18,14160,48.35,1602,5.46,635,2.17,"Rep","Trump",29287,65.8756579243331,44458,-10.0466745236692,5.70611864073856,4.33055588293066,-3.93738774006333,4784,15.7527931644078,-1259,-3.93738774006333,3,"Mostly Dem","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"Dominion","Mostly optical scanners","34751","84.28%","13,525","14,160",1602,"29,287",-635,"-21.25%","8.71%","253.64%","-4.46%","46.18%","48.35%","5.47%","0.99%",0,1,1,"17,175","13,026","453","30,654","56.03%","42.49%","1.48%","1.00%",1,1,56615,43763,56833,22.7,96.2,1.4,613,93.8,41050,2713,21.3,9322,15.1,67,3.7,57922,74.2
"12",12,"Crawford",2016,3426,44.62,3844,50.07,408,5.32,418,5.45,"Rep","Trump",7678,58.2637729549249,13178,-14.5970909556096,10.8349993603684,3.77209159524114,-2.01072777759113,1980,25.432090315978,-139,-2.01072777759113,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no optical scanners","9238","83.11%","3,426","3,844",408,"7,678",-418,"-25.99%","25.33%","237.19%","-1.78%","44.62%","50.07%","5.31%","0.26%",0,1,2,"4,629","3,067","121","7,817","59.22%","39.24%","1.55%","0.25%",1,2,16392,12933,16644,21.1,96.5,2,259,95.6,12364,569,15.4,1992,21.7,47.8,5.5,42235,29.2
"13",13,"Dane",2016,217506,71.38,71270,23.39,15953,5.25,-146236,-47.99,"Dem","Clinton",304729,77.6296549159071,392542,0.346306245294727,-4.10810145932849,3.78179521403375,-1.10680736484916,-13809,-4.45440770462323,548,-1.10680736484916,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly optical scanners","378210","80.57%","217,506","71,270",15953,"304,729",146236,"0.66%","-14.79%","257.21%","0.18%","71.38%","23.39%","5.24%","10.35%",1,0,1,"216,071","83,644","4,466","304,181","71.03%","27.50%","1.47%","9.91%",1,1,516284,406832,488073,21.2,86.4,5.4,21969,81.1,329941,76891,46.6,189584,4.3,15,1.1,61721,407.7
"14",14,"Dodge",2016,13968,32.62,26643,62.22,2207,5.15,12675,29.6,"Rep","Trump",42818,60.7295832978754,70506,-9.55317029311275,5.55078582988671,3.99238446322604,-3.38432524670664,6226,15.1039561229995,-1670,-3.38432524670664,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly optical scanners","50327","85.08%","13,968","26,643",2207,"42,818",-12675,"-25.55%","5.68%","328.54%","-3.75%","32.62%","62.22%","5.15%","1.45%",0,0,2,"18,762","25,211","515","44,488","42.17%","56.67%","1.16%","1.45%",0,2,88574,70062,88759,20.9,95,3,2102,90.9,63686,6376,15.8,11070,10,30.3,5.3,53075,101.4
"15",15,"Door",2016,8026,46.13,8584,49.34,788,4.53,558,3.21,"Rep","Trump",17398,74.8462034846203,23245,-6.82116292230207,3.38334785807255,3.43781506422953,-2.39731620764699,1794,10.2045107803746,-273,-2.39731620764699,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly optical scanners","20530","84.74%","8,026","8,584",788,"17,398",-558,"-14.22%","5.70%","308.29%","-1.54%","46.13%","49.34%","4.53%","0.59%",0,1,1,"9,357","8,121","193","17,671","52.95%","45.96%","1.09%","0.58%",1,2,27766,22990,27785,17.2,97.1,0.6,138,94.6,21749,1241,29,6667,17.5,157.7,2.4,50438,57.6
"16",16,"Douglas",2016,11342,51.12,9657,43.53,1186,5.35,-1685,-7.59,"Dem","Clinton",22185,62.6199616122841,35428,-13.8009399842754,9.87489385865292,3.92604612562243,-3.04097853169161,5473,23.6758338429283,-709,-3.04097853169161,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly optical scanners","27136","81.75%","11,342","9,657",1186,"22,185",1685,"-23.69%","25.33%","263.80%","-3.10%","51.12%","43.53%","5.35%","0.75%",1,0,1,"14,863","7,705","326","22,894","64.92%","33.66%","1.42%","0.75%",1,1,43698,34521,44159,21,93.1,1.2,414,92.1,31794,2727,21.7,7491,11.7,76.8,3.6,45418,33.9
"17",17,"Dunn",2016,9025,40.97,11487,52.14,1517,6.89,2462,11.17,"Rep","Trump",22029,62.0780025925717,35486,-10.4850745725718,5.65036740632957,4.83470716624227,-0.893020199777375,3554,16.1354419789014,37,-0.893020199777375,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.733333333333333,"Dominion","Some or no optical scanners","26463","83.24%","9,025","11,487",1517,"22,029",-2462,"-20.25%","12.35%","235.62%","0.17%","40.97%","52.14%","6.89%","0.75%",0,1,2,"11,316","10,224","452","21,992","51.46%","46.49%","2.06%","0.72%",1,2,44305,35400,43857,20.1,94.9,0.6,212,93.5,33099,2301,24.7,8744,14.4,155.8,3,48893,51.6
"18",18,"Eau Claire",2016,27271,50.43,23301,43.09,3508,6.49,-3970,-7.34,"Dem","Clinton",54080,67.7032474523649,79878,-5.5237276940481,0.656689778491405,4.87703791555669,-2.01295724660351,3440,6.18041747253951,-726,-2.01295724660351,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly optical scanners","65486","82.58%","27,271","23,301",3508,"54,080",3970,"-11.07%","0.19%","296.83%","-1.32%","50.43%","43.09%","6.49%","1.84%",1,0,2,"30,666","23,256","884","54,806","55.95%","42.43%","1.61%","1.79%",1,2,101564,80642,98736,20.6,93.1,1,806,91.4,73707,6935,31,24999,10.6,91.4,2.2,48090,154.8
"19",19,"Florence",2016,666,25.12,1897,71.56,88,3.32,1231,46.44,"Rep","Trump",2651,72.2343324250681,3670,-11.1847619047619,8.89333333333333,2.29142857142857,-0.460212022453334,539,20.0780952380952,26,-0.460212022453334,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no optical scanners","3025","87.64%","666","1,897",88,"2651",-1231,"-30.12%","15.32%","225.93%","0.99%","25.12%","71.56%","3.32%","0.09%",0,0,2,"953","1,645","27","2,625","36.30%","62.67%","1.03%","0.09%",0,2,4481,3769,4423,15.9,97.1,0.4,15,96.3,3629,139,14.5,546,26,240.8,5.9,47960,9.1
"20",20,"Fond du Lac",2016,17391,34.04,31044,60.76,2659,5.21,13653,26.72,"Rep","Trump",51094,63.4857916775388,80481,-7.86667016216621,3.91755964196097,3.95911052020524,-3.93501708936312,5677,11.7842298041272,-2308,-3.93501708936312,0,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly optical scanners","59492","85.88%","17,391","31,044",2659,"51,094",-13653,"-22.29%","2.27%","298.05%","-4.32%","34.04%","60.76%","5.20%","1.74%",0,0,1,"22,379","30,355","668","53,402","41.91%","56.84%","1.25%","1.74%",0,2,101759,79474,101633,21.9,95.4,1.5,1192,91.1,72401,7073,20,15895,10.2,60.7,4,53820,141.2
