"muni_county_2016","hindi","MCD_FIPS"
"VILLAGE OF OREGON DANE","13165",5502560200
"VILLAGE OF OREGON DANE","13165",5502560200
"VILLAGE OF OREGON DANE","13165",5502560200
"VILLAGE OF ROCKDALE DANE","13176",5502568725
"VILLAGE OF SHOREWOOD HILLS DANE","13181",5502573750
"VILLAGE OF WAUNAKEE DANE","13191",5502584350
"VILLAGE OF WAUNAKEE DANE","13191",5502584350
"VILLAGE OF WINDSOR DANE","13196",5502587750
"VILLAGE OF WINDSOR DANE","13196",5502587750
"VILLAGE OF WINDSOR DANE","13196",5502587750
"CITY OF EDGERTON DANE","13221",NA
"CITY OF FITCHBURG DANE","13225",5502525950
"CITY OF FITCHBURG DANE","13225",5502525950
"CITY OF FITCHBURG DANE","13225",5502525950
"CITY OF FITCHBURG DANE","13225",5502525950
"CITY OF FITCHBURG DANE","13225",5502525950
"CITY OF FITCHBURG DANE","13225",5502525950
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MADISON DANE","13251",5502546850
"CITY OF MIDDLETON DANE","13255",5502551575
"CITY OF MIDDLETON DANE","13255",5502551575
"CITY OF MIDDLETON DANE","13255",5502551575
"CITY OF MIDDLETON DANE","13255",5502551575
"CITY OF MONONA DANE","13258",5502553675
"CITY OF MONONA DANE","13258",5502553675
"CITY OF STOUGHTON DANE","13281",5502577675
"CITY OF STOUGHTON DANE","13281",5502577675
"CITY OF STOUGHTON DANE","13281",5502577675
"CITY OF STOUGHTON DANE","13281",5502577675
"CITY OF SUN PRAIRIE DANE","13282",5502578600
"CITY OF SUN PRAIRIE DANE","13282",5502578600
"CITY OF SUN PRAIRIE DANE","13282",5502578600
"CITY OF SUN PRAIRIE DANE","13282",5502578600
"CITY OF VERONA DANE","13286",5502582600
"CITY OF VERONA DANE","13286",5502582600
"CITY OF VERONA DANE","13286",5502582600
"TOWN OF ASHIPPUN DODGE","14002",5502703200
"TOWN OF BEAVER DAM DODGE","14004",5502705925
"TOWN OF BEAVER DAM DODGE","14004",5502705925
"TOWN OF BURNETT DODGE","14006",5502711275
"TOWN OF CALAMUS DODGE","14008",5502711850
"TOWN OF CHESTER DODGE","14010",5502714300
"TOWN OF CLYMAN DODGE","14012",5502715925
"TOWN OF ELBA DODGE","14014",5502723000
"TOWN OF EMMET DODGE","14016",5502724000
"TOWN OF FOX LAKE DODGE","14018",5502727025
"TOWN OF HERMAN DODGE","14020",5502734000
"TOWN OF HUBBARD DODGE","14022",5502736100
"TOWN OF HUSTISFORD DODGE","14024",5502736650
"TOWN OF LEBANON DODGE","14026",5502743050
"TOWN OF LEROY DODGE","14028",5502743650
"TOWN OF LOMIRA DODGE","14030",5502745500
"TOWN OF LOMIRA DODGE","14030",5502745500
"TOWN OF LOWELL DODGE","14032",5502745975
"TOWN OF LOWELL DODGE","14032",5502745975
"TOWN OF OAK GROVE DODGE","14034",5502759000
"TOWN OF PORTLAND DODGE","14036",5502764375
"TOWN OF RUBICON DODGE","14038",5502769962
"TOWN OF SHIELDS DODGE","14040",5502773575
"TOWN OF THERESA DODGE","14042",5502779425
"TOWN OF THERESA DODGE","14042",5502779425
"TOWN OF TRENTON DODGE","14044",5502780525
"TOWN OF WESTFORD DODGE","14046",5502785650
"TOWN OF WESTFORD DODGE","14046",5502785650
"TOWN OF WILLIAMSTOWN DODGE","14048",5502787225
"VILLAGE OF BROWNSVILLE DODGE","14106",5502710450
"VILLAGE OF CLYMAN DODGE","14111",5502715900
"VILLAGE OF HUSTISFORD DODGE","14136",5502736625
"VILLAGE OF IRON RIDGE DODGE","14141",5502737150
"VILLAGE OF KEKOSKEE DODGE","14143",5502738900
"VILLAGE OF LOMIRA DODGE","14146",5502745475
"VILLAGE OF LOWELL DODGE","14147",5502745950
"VILLAGE OF NEOSHO DODGE","14161",5502756075
"VILLAGE OF RANDOLPH DODGE","14176",5502766150
"VILLAGE OF REESEVILLE DODGE","14177",5502766900
"VILLAGE OF THERESA DODGE","14186",5502779375
"CITY OF BEAVER DAM DODGE","14206",5502705900
"CITY OF BEAVER DAM DODGE","14206",5502705900
"CITY OF BEAVER DAM DODGE","14206",5502705900
"CITY OF BEAVER DAM DODGE","14206",5502705900
"CITY OF BEAVER DAM DODGE","14206",5502705900
"CITY OF BEAVER DAM DODGE","14206",5502705900
"CITY OF FOX LAKE DODGE","14226",5502727000
"CITY OF HORICON DODGE","14236",5502735750
"CITY OF HORICON DODGE","14236",5502735750
"CITY OF JUNEAU DODGE","14241",5502738675
"CITY OF MAYVILLE DODGE","14251",5502750200
"CITY OF WATERTOWN DODGE","14291",NA
"CITY OF WATERTOWN DODGE","14291",NA
"CITY OF WATERTOWN DODGE","14291",NA
"CITY OF WATERTOWN DODGE","14291",NA
"CITY OF WAUPUN DODGE","14292",5502784425
"TOWN OF BAILEYS HARBOR DOOR","15002",5502904325
"TOWN OF BRUSSELS DOOR","15004",5502910700
"TOWN OF CLAY BANKS DOOR","15006",5502915025
"TOWN OF EGG HARBOR DOOR","15008",5502922875
"TOWN OF FORESTVILLE DOOR","15010",5502926650
"TOWN OF GARDNER DOOR","15012",5502928300
"TOWN OF GIBRALTAR DOOR","15014",5502928950
"TOWN OF JACKSONPORT DOOR","15016",5502937750
"TOWN OF LIBERTY GROVE DOOR","15018",5502943925
"TOWN OF NASEWAUPEE DOOR","15020",5502955500
"TOWN OF SEVASTOPOL DOOR","15022",5502972600
"TOWN OF STURGEON BAY DOOR","15024",5502977900
"TOWN OF UNION DOOR","15026",5502981525
"TOWN OF WASHINGTON DOOR","15028",5502983600
"VILLAGE OF EGG HARBOR DOOR","15118",5502922850
"VILLAGE OF EPHRAIM DOOR","15121",5502924150
"VILLAGE OF FORESTVILLE DOOR","15127",5502926625
"VILLAGE OF SISTER BAY DOOR","15181",5502974225
"CITY OF STURGEON BAY DOOR","15281",5502977875
"CITY OF STURGEON BAY DOOR","15281",5502977875
"CITY OF STURGEON BAY DOOR","15281",5502977875
"TOWN OF AMNICON DOUGLAS","16002",5503101825
"TOWN OF BENNETT DOUGLAS","16004",5503106775
"TOWN OF BRULE DOUGLAS","16006",5503110575
"TOWN OF CLOVERLAND DOUGLAS","16008",5503115825
"TOWN OF DAIRYLAND DOUGLAS","16010",5503118425
"TOWN OF GORDON DOUGLAS","16012",5503129925
"TOWN OF HAWTHORNE DOUGLAS","16014",5503133350
"TOWN OF HIGHLAND DOUGLAS","16016",5503134425
"TOWN OF LAKESIDE DOUGLAS","16018",5503141800
"TOWN OF MAPLE DOUGLAS","16020",5503148725
"TOWN OF OAKLAND DOUGLAS","16022",5503159100
"TOWN OF PARKLAND DOUGLAS","16024",5503161250
"TOWN OF SOLON SPRINGS DOUGLAS","16026",5503174600
"TOWN OF SUMMIT DOUGLAS","16028",5503178275
"TOWN OF SUPERIOR DOUGLAS","16030",5503178675
"TOWN OF WASCOTT DOUGLAS","16032",5503183512
"VILLAGE OF LAKE NEBAGAMON DOUGLAS","16146",5503141725
"VILLAGE OF OLIVER DOUGLAS","16165",5503159800
"VILLAGE OF POPLAR DOUGLAS","16171",5503163975
"VILLAGE OF SOLON SPRINGS DOUGLAS","16181",5503174575
"VILLAGE OF SUPERIOR DOUGLAS","16182",5503178660
"CITY OF SUPERIOR DOUGLAS","16281",5503178650
"CITY OF SUPERIOR DOUGLAS","16281",5503178650
"CITY OF SUPERIOR DOUGLAS","16281",5503178650
"CITY OF SUPERIOR DOUGLAS","16281",5503178650
"CITY OF SUPERIOR DOUGLAS","16281",5503178650
"TOWN OF COLFAX DUNN","17002",5503316300
"TOWN OF DUNN DUNN","17004",5503321150
"TOWN OF EAU GALLE DUNN","17006",5503322375
"TOWN OF ELK MOUND DUNN","17008",5503323350
"TOWN OF GRANT DUNN","17010",5503330300
"TOWN OF HAY RIVER DUNN","17012",5503333400
"TOWN OF LUCAS DUNN","17014",5503346175
"TOWN OF MENOMONIE DUNN","17016",5503351050
"TOWN OF NEW HAVEN DUNN","17018",5503356775
"TOWN OF OTTER CREEK DUNN","17020",5503360725
"TOWN OF PERU DUNN","17022",5503362125
"TOWN OF RED CEDAR DUNN","17024",5503366550
"TOWN OF ROCK CREEK DUNN","17026",5503368700
"TOWN OF SAND CREEK DUNN","17028",5503371425
"TOWN OF SHERIDAN DUNN","17030",5503373300
"TOWN OF SHERMAN DUNN","17032",5503373375
"TOWN OF SPRING BROOK DUNN","17034",5503375750
"TOWN OF STANTON DUNN","17036",5503376650
"TOWN OF TAINTER DUNN","17038",5503378975
"TOWN OF TIFFANY DUNN","17040",5503379775
"TOWN OF WESTON DUNN","17042",5503385975
"TOWN OF WILSON DUNN","17044",5503387375
"VILLAGE OF BOYCEVILLE DUNN","17106",5503309050
"VILLAGE OF COLFAX DUNN","17111",5503316275
"VILLAGE OF DOWNING DUNN","17116",5503320675
"VILLAGE OF ELK MOUND DUNN","17121",5503323325
"VILLAGE OF KNAPP DUNN","17141",5503339975
"VILLAGE OF RIDGELAND DUNN","17176",5503367800
"VILLAGE OF WHEELER DUNN","17191",5503386575
"CITY OF MENOMONIE DUNN","17251",5503351025
"CITY OF MENOMONIE DUNN","17251",5503351025
"CITY OF MENOMONIE DUNN","17251",5503351025
"CITY OF MENOMONIE DUNN","17251",5503351025
"CITY OF MENOMONIE DUNN","17251",5503351025
"CITY OF MENOMONIE DUNN","17251",5503351025
"TOWN OF BRIDGE CREEK EAU CLAIRE","18002",5503509500
"TOWN OF BRUNSWICK EAU CLAIRE","18004",5503510625
"TOWN OF CLEAR CREEK EAU CLAIRE","18006",5503515200
"TOWN OF DRAMMEN EAU CLAIRE","18008",5503520800
"TOWN OF FAIRCHILD EAU CLAIRE","18010",5503524850
"TOWN OF LINCOLN EAU CLAIRE","18012",5503544350
"TOWN OF LUDINGTON EAU CLAIRE","18014",5503546275
"TOWN OF OTTER CREEK EAU CLAIRE","18016",5503560750
"TOWN OF PLEASANT VALLEY EAU CLAIRE","18018",5503563400
"TOWN OF SEYMOUR EAU CLAIRE","18020",5503572675
"TOWN OF UNION EAU CLAIRE","18022",5503581550
"TOWN OF WASHINGTON EAU CLAIRE","18024",5503583612
"TOWN OF WILSON EAU CLAIRE","18026",5503587400
"VILLAGE OF FAIRCHILD EAU CLAIRE","18126",5503524825
"VILLAGE OF FALL CREEK EAU CLAIRE","18127",5503525125
"CITY OF ALTOONA EAU CLAIRE","18201",5503501550
"CITY OF ALTOONA EAU CLAIRE","18201",5503501550
"CITY OF AUGUSTA EAU CLAIRE","18202",5503503825
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"CITY OF EAU CLAIRE EAU CLAIRE","18221",5503522300
"TOWN OF AURORA FLORENCE","19002",5503703875
"TOWN OF COMMONWEALTH FLORENCE","19004",5503716550
"TOWN OF FENCE FLORENCE","19006",5503725575
"TOWN OF FERN FLORENCE","19008",5503725675
"TOWN OF FLORENCE FLORENCE","19010",5503726200
"TOWN OF HOMESTEAD FLORENCE","19012",5503735600
"TOWN OF LONG LAKE FLORENCE","19014",5503745625
"TOWN OF TIPLER FLORENCE","19016",5503779975
"TOWN OF ALTO FOND DU LAC","20002",5503901525
"TOWN OF ASHFORD FOND DU LAC","20004",5503903150
"TOWN OF AUBURN FOND DU LAC","20006",5503903750
"TOWN OF BYRON FOND DU LAC","20008",5503911600
"TOWN OF CALUMET FOND DU LAC","20010",5503912075
"TOWN OF CALUMET FOND DU LAC","20010",5503912075
"TOWN OF EDEN FOND DU LAC","20012",5503922500
"TOWN OF ELDORADO FOND DU LAC","20014",5503923150
"TOWN OF EMPIRE FOND DU LAC","20016",5503924050
"TOWN OF FOND DU LAC FOND DU LAC","20018",5503926300
"TOWN OF FOREST FOND DU LAC","20020",5503926450
"TOWN OF FRIENDSHIP FOND DU LAC","20022",5503927975
"TOWN OF LAMARTINE FOND DU LAC","20024",5503942125
"TOWN OF MARSHFIELD FOND DU LAC","20026",5503949650
"TOWN OF METOMEN FOND DU LAC","20028",5503951450
"TOWN OF OAKFIELD FOND DU LAC","20030",5503958925
"TOWN OF OSCEOLA FOND DU LAC","20032",5503960425
"TOWN OF RIPON FOND DU LAC","20034",5503968200
"TOWN OF ROSENDALE FOND DU LAC","20036",5503969550
"TOWN OF SPRINGVALE FOND DU LAC","20038",5503976250
"TOWN OF TAYCHEEDAH FOND DU LAC","20040",5503979125
"TOWN OF WAUPUN FOND DU LAC","20042",5503984450
"VILLAGE OF BRANDON FOND DU LAC","20106",5503909300
"VILLAGE OF CAMPBELLSPORT FOND DU LAC","20111",5503912325
"VILLAGE OF EDEN FOND DU LAC","20121",5503922475
"VILLAGE OF FAIRWATER FOND DU LAC","20126",5503925075
"VILLAGE OF MOUNT CALVARY FOND DU LAC","20151",5503954650
"VILLAGE OF NORTH FOND DU LAC FOND DU LAC","20161",5503958000
"VILLAGE OF OAKFIELD FOND DU LAC","20165",5503958900
"VILLAGE OF ROSENDALE FOND DU LAC","20176",5503969525
"VILLAGE OF ST. CLOUD FOND DU LAC","20181",5503970500
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF FOND DU LAC FOND DU LAC","20226",5503926275
"CITY OF RIPON FOND DU LAC","20276",5503968175
"CITY OF RIPON FOND DU LAC","20276",5503968175
"CITY OF RIPON FOND DU LAC","20276",5503968175
"CITY OF RIPON FOND DU LAC","20276",5503968175
"CITY OF WAUPUN FOND DU LAC","20292",NA
"TOWN OF ALVIN FOREST","21002",5504101625
"TOWN OF ARGONNE FOREST","21004",5504102625
"TOWN OF ARMSTRONG CREEK FOREST","21006",5504102950
"TOWN OF BLACKWELL FOREST","21008",5504107950
"TOWN OF CASWELL FOREST","21010",5504113125
"TOWN OF CRANDON FOREST","21012",5504117450
"TOWN OF FREEDOM FOREST","21014",5504127600
"TOWN OF HILES FOREST","21016",5504134650
"TOWN OF LAONA FOREST","21018",5504142500
"TOWN OF LINCOLN FOREST","21020",5504144375
"TOWN OF NASHVILLE FOREST","21022",5504155575
"TOWN OF NASHVILLE FOREST","21022",5504155575
"TOWN OF NASHVILLE FOREST","21022",5504155575
"TOWN OF POPPLE RIVER FOREST","21024",5504164050
"TOWN OF ROSS FOREST","21026",5504169625
"TOWN OF WABENO FOREST","21028",5504183025
"CITY OF CRANDON FOREST","21211",5504117425
"TOWN OF BEETOWN GRANT","22002",5504306100
"TOWN OF BLOOMINGTON GRANT","22004",5504308400
"TOWN OF BOSCOBEL GRANT","22006",5504308875
"TOWN OF CASSVILLE GRANT","22008",5504313075
"TOWN OF CASTLE ROCK GRANT","22010",5504313100
"TOWN OF CLIFTON GRANT","22012",5504315500
"TOWN OF ELLENBORO GRANT","22014",5504323400
"TOWN OF FENNIMORE GRANT","22016",5504325625
"TOWN OF GLEN HAVEN GRANT","22018",5504329525
"TOWN OF HARRISON GRANT","22020",5504332825
"TOWN OF HAZEL GREEN GRANT","22022",5504333525
"TOWN OF HICKORY GROVE GRANT","22024",5504334300
"TOWN OF JAMESTOWN GRANT","22026",5504337800
"TOWN OF LIBERTY GRANT","22028",5504343825
"TOWN OF LIMA GRANT","22030",5504344050
"TOWN OF LITTLE GRANT GRANT","22032",5504345025
"TOWN OF MARION GRANT","22034",5504349350
"TOWN OF MILLVILLE GRANT","22036",5504352150
"TOWN OF MOUNT HOPE GRANT","22038",5504354700
"TOWN OF MOUNT IDA GRANT","22040",5504354775
"TOWN OF MUSCODA GRANT","22042",5504355225
"TOWN OF NORTH LANCASTER GRANT","22044",5504358125
"TOWN OF PARIS GRANT","22046",5504361150
"TOWN OF PATCH GROVE GRANT","22048",5504361450
"TOWN OF PLATTEVILLE GRANT","22050",5504363275
"TOWN OF POTOSI GRANT","22052",5504364650
"TOWN OF SMELSER GRANT","22054",5504374450
"TOWN OF SOUTH LANCASTER GRANT","22056",5504375075
"TOWN OF WATERLOO GRANT","22058",5504383900
"TOWN OF WATTERSTOWN GRANT","22060",5504384075
"TOWN OF WINGVILLE GRANT","22062",5504387800
"TOWN OF WOODMAN GRANT","22064",5504388850
"TOWN OF WYALUSING GRANT","22066",5504389250
"VILLAGE OF BAGLEY GRANT","22106",5504304250
"VILLAGE OF BLOOMINGTON GRANT","22107",5504308375
"VILLAGE OF BLUE RIVER GRANT","22108",5504308525
"VILLAGE OF CASSVILLE GRANT","22111",5504313050
"VILLAGE OF DICKEYVILLE GRANT","22116",5504320175
"VILLAGE OF HAZEL GREEN GRANT","22136",5504333500
"VILLAGE OF LIVINGSTON GRANT","22147",5504345325
"VILLAGE OF MONTFORT GRANT","22151",5504353950
"VILLAGE OF MOUNT HOPE GRANT","22152",5504354675
"VILLAGE OF MUSCODA GRANT","22153",5504355200
"VILLAGE OF PATCH GROVE GRANT","22171",5504361425
"VILLAGE OF POTOSI GRANT","22172",5504364625
"VILLAGE OF TENNYSON GRANT","22186",5504379250
"VILLAGE OF WOODMAN GRANT","22191",5504388825
"CITY OF BOSCOBEL GRANT","22206",5504308850
"CITY OF CUBA CITY GRANT","22211",5504317950
"CITY OF FENNIMORE GRANT","22226",5504325600
"CITY OF LANCASTER GRANT","22246",5504342250
"CITY OF PLATTEVILLE GRANT","22271",5504363250
"CITY OF PLATTEVILLE GRANT","22271",5504363250
"CITY OF PLATTEVILLE GRANT","22271",5504363250
"CITY OF PLATTEVILLE GRANT","22271",5504363250
"TOWN OF ADAMS GREEN","23002",5504500325
"TOWN OF ALBANY GREEN","23004",5504500775
"TOWN OF BROOKLYN GREEN","23006",5504510100
"TOWN OF CADIZ GREEN","23008",5504511725
"TOWN OF CLARNO GREEN","23010",5504515000
"TOWN OF DECATUR GREEN","23012",5504519075
"TOWN OF EXETER GREEN","23014",5504524725
"TOWN OF JEFFERSON GREEN","23016",5504537875
"TOWN OF JORDAN GREEN","23018",5504538550
