"muni_county_2016","hindi","MCD_FIPS"
"TOWN OF HUMBOLDT BROWN","5022",5500936425
"TOWN OF LAWRENCE BROWN","5024",5500942900
"TOWN OF LAWRENCE BROWN","5024",5500942900
"TOWN OF LEDGEVIEW BROWN","5025",5500943090
"TOWN OF LEDGEVIEW BROWN","5025",5500943090
"TOWN OF MORRISON BROWN","5026",5500954300
"TOWN OF NEW DENMARK BROWN","5028",5500956575
"TOWN OF PITTSFIELD BROWN","5030",5500963075
"TOWN OF ROCKLAND BROWN","5034",5500968875
"TOWN OF SCOTT BROWN","5036",5500972200
"TOWN OF WRIGHTSTOWN BROWN","5040",5500989175
"VILLAGE OF ALLOUEZ BROWN","5102",5500901150
"VILLAGE OF ALLOUEZ BROWN","5102",5500901150
"VILLAGE OF ALLOUEZ BROWN","5102",5500901150
"VILLAGE OF ALLOUEZ BROWN","5102",5500901150
"VILLAGE OF ASHWAUBENON BROWN","5104",5500903425
"VILLAGE OF ASHWAUBENON BROWN","5104",5500903425
"VILLAGE OF ASHWAUBENON BROWN","5104",5500903425
"VILLAGE OF ASHWAUBENON BROWN","5104",5500903425
"VILLAGE OF ASHWAUBENON BROWN","5104",5500903425
"VILLAGE OF ASHWAUBENON BROWN","5104",5500903425
"VILLAGE OF BELLEVUE BROWN","5106",5500906350
"VILLAGE OF BELLEVUE BROWN","5106",5500906350
"VILLAGE OF DENMARK BROWN","5116",5500919700
"VILLAGE OF HOBART BROWN","5126",5500935150
"VILLAGE OF HOWARD BROWN","5136",5500935950
"VILLAGE OF HOWARD BROWN","5136",5500935950
"VILLAGE OF HOWARD BROWN","5136",5500935950
"VILLAGE OF HOWARD BROWN","5136",5500935950
"VILLAGE OF HOWARD BROWN","5136",5500935950
"VILLAGE OF HOWARD BROWN","5136",5500935950
"VILLAGE OF HOWARD BROWN","5136",5500935950
"VILLAGE OF HOWARD BROWN","5136",5500935950
"VILLAGE OF PULASKI BROWN","5171",5500965675
"VILLAGE OF SUAMICO BROWN","5178",5500977975
