"","X","muni_county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","voters.tot2016","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","turnout.2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","turnout.2016.perc","turnout.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","muni_county_veri_mach_agreed","bmd_makedominion_voting_systems","bmd_makeelection_systems_software","bmd_makenot_applicable","bmd_makepopulex","bmd_makepremier_diebold_dominion","bmd_makesequoia_dominion","bmd_makevote_pad","bmd_modelaccuvote_os","bmd_modelaccuvote_tsx","bmd_modelautomark","bmd_modelavc_edge","bmd_modelds200","bmd_modelexpressvote","bmd_modelimagecast_evolution","bmd_modelimagecast_precinct","bmd_modelivotronic","bmd_modelmodel_100","bmd_modelnot_applicable","bmd_modeloptech_iiip_eagle","bmd_modeloptech_insight","bmd_modelpopulexslate","bmd_modelvote_pad_ballot_marking_system","bmd_accessible_useno","bmd_accessible_useyes","bmd_absentee_ballotsno","bmd_absentee_ballotsyes","bmd_vvpatn_a","bmd_vvpatyes","hand_accessible_useno","hand_accessible_useyes","hand_absentee_ballotsno","hand_absentee_ballotsyes","hand_vvpatn_a","hand_vvpatyes","os_makedominion_voting_systems","os_makeelection_systems_software","os_makenot_applicable","os_makepopulex","os_makepremier_diebold_dominion","os_makesequoia_dominion","os_makevote_pad","os_modelaccuvote_os","os_modelaccuvote_tsx","os_modelautomark","os_modelavc_edge","os_modelds200","os_modelexpressvote","os_modelimagecast_evolution","os_modelimagecast_precinct","os_modelivotronic","os_modelmodel_100","os_modelnot_applicable","os_modeloptech_iiip_eagle","os_modeloptech_insight","os_modelpopulexslate","os_modelvote_pad_ballot_marking_system","os_accessible_useno","os_accessible_useyes","os_absentee_ballotsno","os_absentee_ballotsyes","os_vvpatn_a","os_vvpatyes","tch_makedominion_voting_systems","tch_makeelection_systems_software","tch_makenot_applicable","tch_makepopulex","tch_makepremier_diebold_dominion","tch_makesequoia_dominion","tch_makevote_pad","tch_modelaccuvote_os","tch_modelaccuvote_tsx","tch_modelautomark","tch_modelavc_edge","tch_modelds200","tch_modelexpressvote","tch_modelimagecast_evolution","tch_modelimagecast_precinct","tch_modelivotronic","tch_modelmodel_100","tch_modelnot_applicable","tch_modeloptech_iiip_eagle","tch_modeloptech_insight","tch_modelpopulexslate","tch_modelvote_pad_ballot_marking_system","tch_accessible_useno","tch_accessible_useyes","tch_absentee_ballotsno","tch_absentee_ballotsyes","tch_vvpatn_a","tch_vvpatyes","MCD_FIPS","precincts","total_registration","state","jurisdiction","division","equipment_type","polling_place","habitation","municipality.1","county.1","hand","os.use","tch.use","bmd.use"
"368",368,"TOWN OF BUFFALO BUFFALO",151,37.9396984924623,22,398,5.52763819095477,488,225,56.5326633165829,207,9,406,190,83.1967213114754,50.9852216748768,46.7980295566502,2.21674876847291,-56,35,13,-13.0455231824145,9.73463375993267,3.31088942248187,81.5573770491803,-1.6393442622951,0,1,"BUFFALO","TOWN OF BUFFALO","TOWN OF BUFFALO WARD 1",0,NA,NA,NA,"TOWN OF BUFFALO BUFFALO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5501111025,1,489,"Wisconsin","Buffalo Town","Buffalo","DRE-Touchscreen","Yes","Town","TOWN OF BUFFALO","BUFFALO",1,0,1,0
"369",369,"TOWN OF BUFFALO MARQUETTE",223,38.448275862069,21,580,3.62068965517241,720,336,57.9310344827586,321,1,582,260,80.8333333333333,55.1546391752577,44.6735395189003,0.171821305841924,-98,76,20,-16.7063633131888,13.2574949638583,3.44886834933049,80.5555555555556,-0.277777777777771,0,1,"MARQUETTE","TOWN OF BUFFALO","TOWN OF BUFFALO WARD 1-2",0,NA,NA,NA,"TOWN OF BUFFALO MARQUETTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5507711050,1,684,"Wisconsin","Marquette Town","Buffalo","DRE-Touchscreen","Yes","Town","TOWN OF BUFFALO","MARQUETTE",1,0,1,0
"370",370,"TOWN OF BURKE DANE",1076,55.3213367609255,107,1945,5.5012853470437,2224,762,39.1773778920308,1168,25,1990,797,89.4784172661871,58.6934673366834,40.0502512562814,1.25628140703518,-92,-35,82,-3.37213057575796,-0.872873364250559,4.24500394000853,87.455035971223,-2.02338129496404,1,1,"DANE","TOWN OF BURKE","TOWN OF BURKE WARDS 1-4",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF BURKE DANE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5502511150,1,2239,"Wisconsin","Dane Town","Burke","Optical Scan","Yes","Town","TOWN OF BURKE","DANE",0,1,0,1
"371",371,"TOWN OF BURLINGTON RACINE",1063,30.9822209268435,172,3431,5.01311570970563,3935,2196,64.0046633634509,1299,28,3588,2261,91.1817026683609,36.2040133779264,63.015607580825,0.780379041248606,-236,-65,144,-5.22179245108294,0.989055782625918,4.23273666845702,87.1918678526048,-3.98983481575604,0,0,"RACINE","TOWN OF BURLINGTON","TOWN OF BURLINGTON WARDS 1-7",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","TOWN OF BURLINGTON RACINE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,5510111225,3,3934,"Wisconsin","Racine Town","Burlington","DRE-Touchscreen","Yes","Town","TOWN OF BURLINGTON","RACINE",0,1,1,0
"372",372,"TOWN OF BURNETT DODGE",135,26.1121856866538,34,517,6.57640232108317,641,348,67.3114119922631,232,6,549,311,85.6474258970359,42.2586520947177,56.6484517304189,1.09289617486339,-97,37,28,-16.1464664080639,10.6629602618441,5.48350614621978,80.6552262090484,-4.99219968798751,0,0,"DODGE","TOWN OF BURNETT","TOWN OF BURNETT WARDS 1-2",1,"Dominion","Dominion (Premier)-Accuvote-OS","Dominion (Premier)-Accuvote TSX","TOWN OF BURNETT DODGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5502711275,1,608,"Wisconsin","Dodge Town","Burnett","Optical Scan","Yes","Town","TOWN OF BURNETT","DODGE",0,1,1,0
"373",373,"TOWN OF BURNS LA CROSSE",188,36.223506743738,25,519,4.81695568400771,635,306,58.9595375722543,290,3,559,266,88.0314960629921,51.8783542039356,47.5849731663685,0.536672629695885,-102,40,22,-15.6548474601976,11.3745644058858,4.28028305431182,81.7322834645669,-6.2992125984252,0,1,"LA CROSSE","TOWN OF BURNS","TOWN OF BURNS WARD 1",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF BURNS LA CROSSE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5506311300,1,628,"Wisconsin","La Crosse Town","Burns","Ballot Marking Device or System","Yes","Town","TOWN OF BURNS","LA CROSSE",0,1,0,1
"374",374,"TOWN OF BURNSIDE TREMPEALEAU",76,37.0731707317073,9,205,4.39024390243902,275,120,58.5365853658537,133,2,228,93,82.9090909090909,58.3333333333333,40.7894736842105,0.87719298245614,-57,27,7,-21.260162601626,17.7471116816431,3.51305091998288,74.5454545454545,-8.36363636363636,0,1,"TREMPEALEAU","TOWN OF BURNSIDE","TOWN OF BURNSIDE WARDS 1-2",0,NA,NA,NA,"TOWN OF BURNSIDE TREMPEALEAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5512111325,1,258,"Wisconsin","Trempealeau Town","Burnside","DRE-Touchscreen","Yes","Town","TOWN OF BURNSIDE","TREMPEALEAU",1,0,1,0
"375",375,"TOWN OF BUTLER CLARK",14,27.4509803921569,1,51,1.96078431372549,51,36,70.5882352941177,21,0,47,26,92.156862745098,44.6808510638298,55.3191489361702,0,-7,10,1,-17.2298706716729,15.2690863579474,1.96078431372549,100,7.84313725490196,0,0,"CLARK","TOWN OF BUTLER","TOWN OF BUTLER WARD 1",0,NA,NA,NA,"TOWN OF BUTLER CLARK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,5501911425,1,51,"Wisconsin","Clark Town","Butler","DRE-Touchscreen","Yes","Town","TOWN OF BUTLER","CLARK",1,0,1,0
"376",376,"TOWN OF BYRON FOND DU LAC",212,21.9689119170984,56,965,5.80310880829016,1101,697,72.2279792746114,300,9,1005,696,91.2806539509537,29.8507462686567,69.2537313432836,0.895522388059702,-88,1,47,-7.88183435155827,2.97424793132781,4.90758642023045,87.6475930971844,-3.63306085376931,0,0,"FOND DU LAC","TOWN OF BYRON","TOWN OF BYRON WARDS 1-2",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF BYRON FOND DU LAC",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5503911600,1,1112,"Wisconsin","Fond du Lac Town","Byron","Ballot Marking Device or System","Yes","Town","TOWN OF BYRON","FOND DU LAC",0,1,0,1
"377",377,"TOWN OF BYRON MONROE",184,30.6666666666667,43,600,7.16666666666667,657,373,62.1666666666667,281,9,581,291,88.4322678843227,48.3648881239243,50.0860585197935,1.54905335628227,-97,82,34,-17.6982214572576,12.0806081468732,5.6176133103844,91.324200913242,2.89193302891933,0,0,"MONROE","TOWN OF BYRON","TOWN OF BYRON WARD 1",0,NA,NA,NA,"TOWN OF BYRON MONROE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5508111625,1,667,"Wisconsin","Monroe Town","Byron","DRE-Touchscreen","Yes","Town","TOWN OF BYRON","MONROE",1,0,1,0
"378",378,"TOWN OF CABLE BAYFIELD",193,37.6953125,20,512,3.90625,606,299,58.3984375,256,2,528,270,87.1287128712871,48.4848484848485,51.1363636363636,0.378787878787879,-63,29,18,-10.7895359848485,7.26207386363637,3.52746212121212,84.4884488448845,-2.64026402640265,0,0,"BAYFIELD","TOWN OF CABLE","TOWN OF CABLE WARD 1",1,"ES&S","ES&S M100","ES&S Automark","TOWN OF CABLE BAYFIELD",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500711675,1,602,"Wisconsin","Bayfield Town","Cable","Ballot Marking Device or System","Yes","Town","TOWN OF CABLE","BAYFIELD",0,1,0,1
"379",379,"TOWN OF CADIZ GREEN",161,35.7777777777778,15,450,3.33333333333333,540,274,60.8888888888889,214,11,430,205,79.6296296296296,49.7674418604651,47.6744186046512,2.55813953488372,-53,69,4,-13.9896640826873,13.2144702842377,0.775193798449612,83.3333333333333,3.70370370370371,0,1,"GREEN","TOWN OF CADIZ","TOWN OF CADIZ WARD 1",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF CADIZ GREEN",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5504511725,1,506,"Wisconsin","Green Town","Cadiz","Ballot Marking Device or System","Yes","Town","TOWN OF CADIZ","GREEN",0,1,0,1
"380",380,"TOWN OF CADY ST. CROIX",131,27.8131634819533,34,471,7.21868365180467,561,306,64.968152866242,186,12,485,287,86.4527629233512,38.3505154639175,59.1752577319588,2.47422680412371,-55,19,22,-10.5373519819642,5.79289513428327,4.74445684768096,83.9572192513369,-2.49554367201426,0,0,"ST. CROIX","TOWN OF CADY","TOWN OF CADY WARD 1",1,"Dominion","Dominion (Premier)/Command Central-Accuvote-OS","Dominion (Sequoia)/Command Central-Edge","TOWN OF CADY ST. CROIX",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5510911775,1,542,"Wisconsin","St. Croix Town","Cady","Ballot Marking Device or System","Yes","Town","TOWN OF CADY","ST. CROIX",0,1,0,1
"381",381,"TOWN OF CALAMUS DODGE",181,35.5599214145383,26,509,5.10805500982318,636,302,59.3320235756385,258,6,537,273,84.4339622641509,48.0446927374302,50.8379888268156,1.11731843575419,-77,29,20,-12.4847713228919,8.49403474882286,3.99073657406899,80.0314465408805,-4.40251572327044,0,0,"DODGE","TOWN OF CALAMUS","TOWN OF CALAMUS WARDS 1-2",1,"Dominion","Dominion (Premier)-Accuvote-OS","Dominion (Premier)-Accuvote TSX","TOWN OF CALAMUS DODGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5502711850,1,608,"Wisconsin","Dodge Town","Calamus","DRE-Touchscreen","Yes","Town","TOWN OF CALAMUS","DODGE",0,1,1,0
"382",382,"TOWN OF CALEDONIA COLUMBIA",455,51.7633674630262,55,879,6.25711035267349,1029,369,41.9795221843003,485,5,879,389,85.4227405247813,55.1763367463026,44.254835039818,0.568828213879408,-30,-20,50,-3.41296928327645,-2.27531285551764,5.68828213879408,85.4227405247813,0,1,1,"COLUMBIA","TOWN OF CALEDONIA","TOWN OF CALEDONIA WARDS 1-2",1,"ES&S","ES&S M100","ES&S Automark","TOWN OF CALEDONIA COLUMBIA",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5502111900,1,957,"Wisconsin","Columbia Town","Caledonia","Ballot Marking Device or System","Yes","Town","TOWN OF CALEDONIA","COLUMBIA",0,1,0,1
"383",383,"TOWN OF CALEDONIA TREMPEALEAU",188,37.375745526839,28,503,5.56660039761431,572,287,57.0576540755467,262,8,506,236,88.4615384615385,51.7786561264822,46.6403162055336,1.58102766798419,-74,51,20,-14.4029105996432,10.4173378700131,3.98557272963012,87.9370629370629,-0.52447552447552,0,1,"TREMPEALEAU","TOWN OF CALEDONIA","TOWN OF CALEDONIA WARDS 1-2",0,NA,NA,NA,"TOWN OF CALEDONIA TREMPEALEAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5512111975,1,576,"Wisconsin","Trempealeau Town","Caledonia","DRE-Touchscreen","Yes","Town","TOWN OF CALEDONIA","TREMPEALEAU",1,0,1,0
"384",384,"TOWN OF CALEDONIA WAUPACA",259,26.6187050359712,59,973,6.06372045220966,1097,655,67.3175745118191,352,11,979,616,89.2433910665451,35.9550561797753,62.9213483146067,1.12359550561798,-93,39,48,-9.33635114380406,4.39622619721238,4.94012494659168,88.6964448495898,-0.54694621695532,0,0,"WAUPACA","TOWN OF CALEDONIA","TOWN OF CALEDONIA WARDS 1-2",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","TOWN OF CALEDONIA WAUPACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5513512000,1,1099,"Wisconsin","Waupaca Town","Caledonia","DRE-Touchscreen","Yes","Town","TOWN OF CALEDONIA","WAUPACA",0,1,1,0
"385",385,"TOWN OF CALUMET FOND DU LAC",229,27.1648873072361,50,843,5.93119810201661,931,564,66.9039145907473,310,5,864,549,92.8034371643394,35.8796296296296,63.5416666666667,0.578703703703704,-81,15,45,-8.71474232239356,3.36224792408066,5.3524943983129,90.5477980665951,-2.25563909774435,0,0,"FOND DU LAC","TOWN OF CALUMET","TOWN OF CALUMET WARD 1",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF CALUMET FOND DU LAC",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5503912075,2,938,"Wisconsin","Fond du Lac Town","Calumet","Ballot Marking Device or System","Yes","Town","TOWN OF CALUMET","FOND DU LAC",0,1,0,1
"386",386,"TOWN OF CAMERON WOOD",79,27.0547945205479,11,292,3.76712328767123,348,202,69.1780821917808,115,1,297,181,85.3448275862069,38.7205387205387,60.9427609427609,0.336700336700337,-36,21,10,-11.6657441999908,8.23532124901988,3.4304229509709,83.9080459770115,-1.43678160919539,0,0,"WOOD","TOWN OF CAMERON","TOWN OF CAMERON WARD 1",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF CAMERON WOOD",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514112275,1,314,"Wisconsin","Wood Town","Cameron","Ballot Marking Device or System","Yes","Town","TOWN OF CAMERON","WOOD",0,1,0,1
"387",387,"TOWN OF CAMPBELL LA CROSSE",1192,48.952772073922,142,2435,5.83162217659138,3157,1101,45.2156057494867,1525,35,2545,985,80.6145074437757,59.9214145383104,38.7033398821218,1.37524557956778,-333,116,107,-10.9686424643884,6.51226586736485,4.4563765970236,77.1301868862844,-3.48432055749129,1,1,"LA CROSSE","TOWN OF CAMPBELL","TOWN OF CAMPBELL WARD 1-6",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF CAMPBELL LA CROSSE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5506312300,1,2954,"Wisconsin","La Crosse Town","Campbell","Ballot Marking Device or System","Yes","Town","TOWN OF CAMPBELL","LA CROSSE",0,1,0,1
"388",388,"TOWN OF CANTON BUFFALO",53,37.5886524822695,8,141,5.67375886524823,168,80,56.7375886524823,76,1,140,63,83.3333333333333,54.2857142857143,45,0.714285714285714,-23,17,7,-16.6970618034448,11.7375886524823,4.95947315096251,83.9285714285714,0.595238095238088,0,1,"BUFFALO","TOWN OF CANTON","TOWN OF CANTON WARD 1",0,NA,NA,NA,"TOWN OF CANTON BUFFALO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5501112500,1,168,"Wisconsin","Buffalo Town","Canton","DRE-Touchscreen","Yes","Town","TOWN OF CANTON","BUFFALO",1,0,1,0
"389",389,"TOWN OF CAREY IRON",28,28.5714285714286,8,98,8.16326530612245,128,62,63.265306122449,42,2,102,58,79.6875,41.1764705882353,56.8627450980392,1.96078431372549,-14,4,6,-12.6050420168067,6.40256102440977,6.20248099239696,76.5625,-3.125,0,0,"IRON","TOWN OF CAREY","TOWN OF CAREY WARD 1",0,NA,NA,NA,"TOWN OF CAREY IRON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5505112525,1,118,"Wisconsin","Iron Town","Carey","DRE-Touchscreen","Yes","Town","TOWN OF CAREY","IRON",1,0,1,0
"390",390,"TOWN OF CARLTON KEWAUNEE",181,31.2068965517241,31,580,5.3448275862069,649,368,63.448275862069,275,8,601,318,92.6040061633282,45.757071547421,52.9118136439268,1.33111480865225,-94,50,23,-14.5501749956968,10.5364622181422,4.01371277755465,89.3682588597843,-3.2357473035439,0,0,"KEWAUNEE","TOWN OF CARLTON","TOWN OF CARLTON WARD 1-2",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF CARLTON KEWAUNEE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5506112575,1,653,"Wisconsin","Kewaunee Town","Carlton","DRE-Touchscreen","Yes","Town","TOWN OF CARLTON","KEWAUNEE",0,1,1,0
"391",391,"TOWN OF CARSON PORTAGE",292,35.8722358722359,29,814,3.56265356265356,884,493,60.5651105651106,396,8,779,375,88.1221719457014,50.8344030808729,48.1386392811297,1.02695763799743,-104,118,21,-14.962167208637,12.4264712839809,2.53569592465613,92.0814479638009,3.95927601809954,0,1,"PORTAGE","TOWN OF CARSON","TOWN OF CARSON WARDS 1-2",0,NA,NA,NA,"TOWN OF CARSON PORTAGE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5509712725,1,890,"Wisconsin","Portage Town","Carson","Ballot Marking Device or System","Yes","Town","TOWN OF CARSON","PORTAGE",1,0,0,1
"392",392,"TOWN OF CARY WOOD",70,29.045643153527,8,241,3.3195020746888,252,163,67.6348547717842,85,2,229,142,90.8730158730159,37.117903930131,62.0087336244542,0.873362445414847,-15,21,6,-8.07226077660403,5.62612114733008,2.44613962927395,95.6349206349206,4.76190476190476,0,0,"WOOD","TOWN OF CARY","TOWN OF CARY WARD 1",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF CARY WOOD",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5514112775,1,254,"Wisconsin","Wood Town","Cary","Ballot Marking Device or System","Yes","Town","TOWN OF CARY","WOOD",0,1,0,1
