"","MCD_FIPS","county","muni_county","democrat_votes.perc","republican_votes.perc","other_votes.perc","dem.change.perc","rep.change.perc","oth.change.perc","turnout.2016.perc","county_paper_or_paperplusmachine","county_use_opt_scan","county_machine_vendor_dealer","turnout.change.perc","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_use_verivote","os_use_verivote","bmd_use_verivote","medianhouseholdincome_2009.2013","voters.tot2016","votes.tot2016","dem.perc2012","rep.perc2012","oth.perc2012","turnout.2012","votes.tot2012","pct_hs","tch_prop","counted_absent_prop","rejected_absent_prop","sameday_reg_prop","turnout_reg_feb","total_ballots","registrants","late_registrants","tch_prop_2012","total_ballots_2012","turnout_reg_2012","counted_absent_prop_2012","rejected_absent_prop_2012","registrants_2012","late_registrants_2012","pop","inc_2015","unemp_rate","pct_graduate","coll_deg_plus25_2013","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","municipality_reprim","votes_rec_cruz_reprim","votes_rec_kasich_reprim","votes_rec_other_reprim","votes_rec_trump_reprim","votes_tot_reprim","votes_perc_cruz_reprim","votes_perc_kasich_reprim","votes_perc_other_reprim","votes_perc_trump_reprim","trump_prim_won_reprim","total_ballots_reprim","tch_prop_reprim","turnout_perc_reprim","sameday_reg_prop_reprim","counted_absent_prop_reprim","rejected_absent_prop_reprim","registrants_reprim","late_registrants_reprim","trump_vote_diff","tch_prop_reprim_diff","municipality_demprim","votes_rec_clinton_demprim","votes_rec_other_demprim","votes_rec_sanders_demprim","votes_tot_demprim","votes_perc_clinton_demprim","votes_perc_other_demprim","votes_perc_sanders_demprim","clinton_prim_won_demprim","total_ballots_demprim","tch_prop_demprim","turnout_perc_demprim","sameday_reg_prop_demprim","counted_absent_prop_demprim","rejected_absent_prop_demprim","registrants_demprim","late_registrants_demprim","Total.Voter.Reg_demprim","TotalTurnout_2016_demprim","clinton_vote_diff","tch_prop_demprim_diff","trump_prim_2012_vote_diff","clinton_prim_2012_vote_diff","tch_prop_2012_reprim_diff","tch_prop_2012_demprim_diff","tch_prop_2012_2016_diff","os_model_off","tch_bmd_model_off","tch_use_off","bmd_use_off","os_use_off","tch_model_off","bmd_model_off","tch_use_off_true","tch_model_off_full","demwinner","demwinner2012","muni.dense"
"1","5501900100","CLARK","CITY OF ABBOTSFORD CLARK",36.25,58.28125,5.46875,-5.18070044709389,0.755169523099838,4.42553092399404,82.2622107969152,2,1,"ES&S",-3.98457583547558,7.6,3.35689712276558,28.7,0,1,1,43276,778,640,41.4307004470939,57.5260804769002,1.04321907600596,86.2467866323908,671,44.2,0,0.134674922600619,0,0.0625,0.538333333333333,646,1200,0.00619195046439629,0,673,0.824754901960784,0.153046062407132,0.00148588410104012,816,0.037147102526003,1582,23413,3.86473429951691,15.3945666235446,15.3945666235446,92.4146649810367,0,21.3021491782554,52.4652338811631,41.6,2.33,"CITY OF ABBOTSFORD",138,23,6,146,313,44.0894568690096,7.3482428115016,1.91693290734824,46.6453674121406,1,90,0,0.122448979591837,0.00272108843537415,0.233333333333333,0,735,0.0111111111111111,11.6358825878594,0,"CITY OF ABBOTSFORD",101,0,92,193,52.3316062176166,0,47.6683937823834,1,90,0,0.122448979591837,0.00272108843537415,0.233333333333333,0,735,0.0111111111111111,"16236","83.44%",-16.0816062176166,0,-10.8807130647596,10.9009057705227,0,0,0,"ES&S M100","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone","0","0",551.064679407949
"2","5507300100","MARATHON","CITY OF ABBOTSFORD MARATHON",39.1891891891892,57.4324324324324,3.37837837837838,-4.07322215832855,2.82250335441825,1.25071880391029,87.0588235294118,2,0,NA,4.11764705882352,3.5,4.4636066216663,86.8,0,1,1,53363,170,148,43.2624113475177,54.6099290780142,2.12765957446809,82.9411764705882,141,37.6,0,0.155405405405405,0,0.175757575757576,0.896969696969697,148,165,0.0135135135135135,0,284,0.682692307692308,0.197183098591549,0,416,0.0352112676056338,597,32501,1.57232704402516,1.5625,1.5625,96.3149078726968,0,37.0184254606365,45.8961474036851,49.1,2.64,"CITY OF ABBOTSFORD",18,7,3,31,59,30.5084745762712,11.864406779661,5.08474576271187,52.5423728813559,1,14,0,0.105263157894737,0.0075187969924812,0,0,133,0,4.8900595510765,0,"CITY OF ABBOTSFORD",11,0,19,30,36.6666666666667,0,63.3333333333333,0,14,0,0.105263157894737,0.0075187969924812,0,0,133,0,"80465","85.56%",2.5225225225225,0,-2.06755619665829,-6.595744680851,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",152.078106484752
"3","5500100275","ADAMS","CITY OF ADAMS ADAMS",43.4491978609626,50.4010695187166,6.14973262032086,-18.8315038934234,13.0577111227266,5.7737927706968,70.3007518796992,2,1,"Optech",-4.69924812030075,7.3,3.47506723022861,32.3,0,1,1,44897,1064,748,62.280701754386,37.34335839599,0.37593984962406,75,798,42.7,0,0.155263157894737,0,0.120167189132706,0.794148380355277,760,957,0.0197368421052632,0,806,0.809236947791165,0.153846153846154,0.00248138957816377,996,0.0148883374689826,1660,18198,6.65110851808635,17.7083333333333,17.7083333333333,95.4819277108434,0.301204819277108,4.87951807228916,46.8674698795181,46.5,2.35,"CITY OF ADAMS",83,16,13,140,252,32.9365079365079,6.34920634920635,5.15873015873016,55.5555555555556,1,113,0,0.121244635193133,0.00536480686695279,0.150442477876106,0,932,0,-5.154486036839,0,"CITY OF ADAMS",130,1,123,254,51.1811023622047,0.393700787401575,48.4251968503937,1,113,0,0.121244635193133,0.00536480686695279,0.150442477876106,0,932,0,"11892","84.99%",-7.7319045012421,0,18.2121971595656,-11.0995993921813,0,0,0,"Optech/Command Central- Eagle","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone","0","1",217.614171880416
"4","5506101000","KEWAUNEE","CITY OF ALGOMA KEWAUNEE",46.9871360866622,47.1225457007448,5.89031821259309,-10.6652633945311,6.20166372927913,4.46359966525198,79.622641509434,2,1,"Dominion",-3.50404312668464,6.4,4.09600984154116,60.1,1,1,0,53588,1855,1477,57.6523994811932,40.9208819714656,1.42671854734112,83.1266846361186,1542,45.6,0.320979483785572,0.326273990734613,0.00198544010589014,0.062125340599455,0.823433242506812,1511,1835,0.0172071475843812,0.136276391554703,1563,0.85831960461285,0,0.000639795265515035,1821,0.0236724248240563,3131,21398,7.04794916233391,16.7868852459016,16.7868852459016,97.0935803257745,1.46917917598211,2.26764611945065,49.4730118173108,43.5,2.22,"CITY OF ALGOMA",242,51,32,251,576,42.0138888888889,8.85416666666667,5.55555555555556,43.5763888888889,1,377,0.851458885941645,0.217793183131138,0.00924321201617562,0.143236074270557,0.013262599469496,1731,0,3.5461568118559,-0.530479402156073,"CITY OF ALGOMA",283,1,319,603,46.9320066334992,0.165837479270315,52.9021558872305,0,377,0.851458885941645,0.217793183131138,0.00924321201617562,0.143236074270557,0.013262599469496,1731,0,"12568","85.47%",0.0551294531629978,-0.530479402156073,2.6555069174233,-10.720392847694,0.715182494386942,0.715182494386942,0.18470309223087,"Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge","0","1",483.583817315607
"5","5501101225","BUFFALO","CITY OF ALMA BUFFALO",41.1904761904762,53.5714285714286,5.23809523809524,-10.8095238095238,6.90476190476191,3.9047619047619,76.2250453720508,2,0,NA,-5.44464609800363,4.8,3.00568260440716,20.2,1,0,0,47384,551,420,52,46.6666666666667,1.33333333333333,81.6696914700544,450,42,0.829439252336449,0.14018691588785,0,0.0821917808219178,0.837573385518591,428,511,0.014018691588785,0.819383259911894,454,0.81508078994614,0.145374449339207,0.00220264317180617,557,0.00881057268722467,678,27960,3.96600566572238,18.4971098265896,18.4971098265896,99.1150442477876,0.884955752212389,3.68731563421829,53.0973451327434,55,1.88,"CITY OF ALMA",58,15,2,62,137,42.3357664233577,10.9489051094891,1.45985401459854,45.2554744525547,1,76,0.934210526315789,0.149019607843137,0.00392156862745098,0.0526315789473684,0,510,0.0131578947368421,8.3159541188739,-0.10477127397934,"CITY OF ALMA",63,0,82,145,43.448275862069,0,56.551724137931,0,76,0.934210526315789,0.149019607843137,0.00392156862745098,0.0526315789473684,0,510,0.0131578947368421,"8313","83.26%",-2.25779967159281,-0.10477127397934,-1.411192214112,-8.551724137931,0.114827266403895,0.114827266403895,0.0100559924245542,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge","0","1",33.010651283742
"6","5503501550","EAU CLAIRE","CITY OF ALTOONA EAU CLAIRE",47.4027669015923,44.8185852257896,7.77864787261811,-7.88246799773659,1.33424518104688,6.5482228166897,78.2475490196078,2,1,"Optech",5.20833333333334,2.2,5.04213396115563,154.8,1,1,0,48090,4896,3831,55.2852348993289,43.4843400447427,1.23042505592841,73.0392156862745,3576,27.1,0.0282456594972791,0.399585384814719,0.000777403472402177,0.114884887166629,0.879644403920675,3859,4387,0.0310961388960871,0.0427822246756831,3623,0.868200335490055,0.265801821694728,0.000276014352746343,4173,0.0311896218603367,7053,27517,3.91971664698937,23.4807417974322,23.4807417974322,92.315326811286,0.226853821069049,0.609669644123068,49.7944137246562,36.4,2.48,"CITY OF ALTOONA",576,196,40,492,1304,44.1717791411043,15.0306748466258,3.06748466257669,37.7300613496933,0,613,0.109298531810767,0.149987766087595,0.00734034744311231,0.280587275693312,0,4087,0.0130505709624796,7.0885238760963,-0.0810528723134879,"CITY OF ALTOONA",575,8,828,1411,40.7512402551382,0.566973777462792,58.681785967399,0,613,0.109298531810767,0.149987766087595,0.00734034744311231,0.280587275693312,0,4087,0.0130505709624796,"65486","82.58%",6.6515266464541,-0.0810528723134879,-5.7542786950494,-14.5339946441907,0.0665163071350839,0.0665163071350839,-0.014536565178404,"Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge","1","1",549.85085582298
"7","5509501725","POLK","CITY OF AMERY POLK",41.9402985074627,51.6417910447761,6.41791044776119,-9.64341189977714,4.20589360887869,5.43751829089845,81.4094775212637,2,1,"Dominion",0.850546780072904,4.2,3.87949981372259,48.4,1,1,0,48538,1646,1340,51.5837104072398,47.4358974358974,0.980392156862745,80.5589307411908,1326,39.2,0.747643219724438,0.250906453952139,0.00290065264684554,0.129132875857767,0.860262008733624,1379,1603,0.0348078317621465,0.942322097378277,1335,0.86970684039088,0.19625468164794,0,1535,0.0307116104868914,2865,24632,3.89972144846797,23.1530845392232,23.1530845392232,95.2879581151832,1.98952879581152,0.383944153577661,50.1221640488656,51.1,2.16,"CITY OF AMERY",178,50,20,168,416,42.7884615384615,12.0192307692308,4.80769230769231,40.3846153846154,0,176,0.693181818181818,0.117255163224517,0.00466355762824783,0.301136363636364,0.0227272727272727,1501,0.0284090909090909,11.2571756601607,0.05446140154262,"CITY OF AMERY",214,2,173,389,55.012853470437,0.51413881748072,44.4730077120823,1,176,0.693181818181818,0.117255163224517,0.00466355762824783,0.301136363636364,0.0227272727272727,1501,0.0284090909090909,"26328","86.19%",-13.0725549629743,0.05446140154262,-7.051282051282,3.4291430631972,-0.249140279196459,-0.249140279196459,-0.194678877653839,"Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge","0","1",286.315962828202
"8","5506702250","LANGLADE","CITY OF ANTIGO LANGLADE",37.9269729093051,57.5088339222615,4.56419316843345,-10.1246110548104,7.4107122513896,2.71389880342084,76.6245487364621,2,1,"Dominion",-3.85830324909747,6.6,3.13113691056019,22.9,1,1,0,42389,4432,3396,48.0515839641155,50.0981216708719,NA,80.4828519855596,3567,44.1,0.149898521310525,0.155407364453465,0.000869817338358945,0.128571428571429,0.895844155844156,3449,3850,0.0231951290229052,0.0876216968011127,3595,0.980365421325334,0.172461752433936,0.00166898470097357,3667,0.0242002781641168,8001,20110,7.24919093851133,15.5138339920949,15.5138339920949,94.9131358580178,1.71228596425447,2.61217347831521,48.1439820022497,42.2,2.06,"CITY OF ANTIGO",581,144,49,670,1444,40.2354570637119,9.97229916897507,3.39335180055402,46.398891966759,1,478,0,0.12184552638287,0.00433341830231965,0.190376569037657,0,3923,0.0292887029288703,11.1099419555025,0.149898521310525,"CITY OF ANTIGO",477,5,563,1045,45.6459330143541,0.478468899521531,53.8755980861244,0,478,0,0.12184552638287,0.00433341830231965,0.190376569037657,0,3923,0.0292887029288703,"11983","84.23%",-7.718960105049,0.149898521310525,-3.69922970411289,-2.4056509497614,-0.0876216968011127,-0.0876216968011127,0.0622768245094121,"Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge","0","0",488.816522591396
"9","5501502375","CALUMET","CITY OF APPLETON CALUMET",46.3703172611579,46.6212582900161,7.00842444882595,-4.9260112580695,-0.516378737998487,5.44238999606799,85.4495328534232,2,0,NA,-2.57313524276304,2.6,5.03630304084483,153.9,0,1,1,65130,6529,5579,51.2963285192274,47.1376370280146,1.56603445275796,88.0226680961862,5747,34.5,0,0.267007402185407,0.000352485019386676,0.109154929577465,0.868646662584201,5674,6532,0.013041945717307,0,5753,0.902997959504003,0.206848600730054,0.000173822353554667,6371,0.0253780636189814,11260,27663,2.93501048218029,28.3118971061093,28.3118971061093,85.8703374777975,2.38898756660746,8.63232682060391,51.563055062167,35.8,2.7,"CITY OF APPLETON",1032,270,46,715,2063,50.0242365487155,13.08773630635,2.22976248182259,34.658264663112,0,780,0,0.126767430521697,0.00650089387290752,0.0730769230769231,0,6153,0.00512820512820513,11.9629936269041,0,"CITY OF APPLETON",755,4,1138,1897,39.7996837111228,0.210859251449657,59.9894570374275,0,780,0,0.126767430521697,0.00650089387290752,0.0730769230769231,0,6153,0.00512820512820513,"30495","86.67%",6.5706335500351,0,-12.4793723649026,-11.4966448081046,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",1235.11191465653
"10","5508702375","OUTAGAMIE","CITY OF APPLETON OUTAGAMIE",49.6588324488249,43.3332234565053,7.00794409466988,-3.75658917690316,-1.01977730318074,4.7763664800839,82.7861918406331,2,1,"ES&S",-3.4247509892209,2.8,5.62473926731575,277.2,0,1,1,58318,36645,30337,53.415421625728,44.353000759686,2.23157761458597,86.210942829854,31592,34,0,0.295826064482781,0.000646120049105124,0.103640528828903,0.854351246170407,30954,36231,0.017154487303741,0,31659,0.895764366352602,0.246091158912158,0.000758078271581541,35343,0.0286174547522032,60740,27435,3.30846492499934,26.4983446269996,26.4983446269996,85.7046427395456,1.99703654922621,5.17945340796839,48.8870595982878,35.8,2.47,"CITY OF APPLETON",5525,1533,266,3762,11086,49.8376330506946,13.8282518491791,2.39942269529136,33.9346924048349,0,4907,0,0.145284974093264,0.00781643227239082,0.0996535561442837,0.00122274302017526,33775,0.00794782963113919,9.3985310516704,0,"CITY OF APPLETON",4185,26,7508,11719,35.7112381602526,0.221861933612083,64.0668999061353,0,4907,0,0.145284974093264,0.00781643227239082,0.0996535561442837,0.00122274302017526,33775,0.00794782963113919,"109491","86.91%",13.9475942885723,0,-10.4183083548511,-17.7041834654754,0,0,0,"ES&S M100","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone","1","1",1052.40944999253
