OBJECTID,GEOID,B03001e1,B03001m1,B03001e2,B03001m2,B03001e3,B03001m3,B03001e4,B03001m4,B03001e5,B03001m5,B03001e6,B03001m6,B03001e7,B03001m7,B03001e8,B03001m8,B03001e9,B03001m9,B03001e10,B03001m10,B03001e11,B03001m11,B03001e12,B03001m12,B03001e13,B03001m13,B03001e14,B03001m14,B03001e15,B03001m15,B03001e16,B03001m16,B03001e17,B03001m17,B03001e18,B03001m18,B03001e19,B03001m19,B03001e20,B03001m20,B03001e21,B03001m21,B03001e22,B03001m22,B03001e23,B03001m23,B03001e24,B03001m24,B03001e25,B03001m25,B03001e26,B03001m26,B03001e27,B03001m27,B03001e28,B03001m28,B03001e29,B03001m29,B03001e30,B03001m30,B03001e31,B03001m31,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3
1,06000US5500100275,1660,245,1579,240,81,60,67,64,6,9,0,9,0,9,8,7,0,9,0,9,0,9,0,9,8,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1660,245,1579,240,1510,234,5,12,14,17,4,6,0,9,0,9,46,53,0,9,46,53,81,60,75,63,0,9,0,9,0,9,0,9,0,9,6,9,6,9,0,9,1660,245,1579,240,81,60
2,06000US5500100300,1438,194,1371,186,67,44,33,22,32,35,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,2,3,0,9,0,9,1438,194,1371,186,1269,184,4,7,9,8,18,23,0,9,0,9,71,39,0,9,71,39,67,44,54,41,0,9,0,9,0,9,0,9,4,6,9,12,9,12,0,9,1438,194,1371,186,67,44
3,06000US5500107300,853,130,795,117,58,53,56,53,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,853,130,795,117,784,115,4,8,0,9,0,9,0,9,0,9,7,15,0,9,7,15,58,53,48,52,0,9,0,9,0,9,0,9,3,4,7,8,7,8,0,9,853,130,795,117,58,53
4,06000US5500116075,285,82,280,82,5,6,2,3,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,285,82,280,82,275,82,1,2,0,9,0,9,0,9,0,9,4,7,0,9,4,7,5,6,5,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,285,82,280,82,5,6
5,06000US5500119575,1617,209,1559,199,58,31,53,31,2,4,0,9,0,9,3,4,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1617,209,1559,199,1502,192,8,13,0,9,0,9,0,9,6,9,43,38,0,9,43,38,58,31,34,23,0,9,0,9,0,9,0,9,15,15,9,12,0,9,9,12,1617,209,1559,199,58,31
6,06000US5500122000,993,150,993,150,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,993,150,993,150,959,142,18,28,0,9,0,9,0,9,0,9,16,22,3,4,13,22,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,993,150,993,150,0,9
7,06000US5500127950,696,158,681,157,15,18,13,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,696,158,681,157,659,159,15,18,0,9,7,11,0,9,0,9,0,9,0,9,0,9,15,18,15,18,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,696,158,681,157,15,18
8,06000US5500137625,1189,142,1133,134,56,52,44,50,12,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1189,142,1133,134,1101,132,0,9,11,12,0,9,0,9,0,9,21,18,10,13,11,11,56,52,12,16,0,9,0,9,0,9,0,9,13,20,31,32,31,32,0,9,1189,142,1133,134,56,52
9,06000US5500143425,324,98,324,98,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,324,98,324,98,311,95,0,9,8,11,0,9,0,9,0,9,5,12,0,9,5,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,324,98,324,98,0,9
10,06000US5500144250,362,86,358,86,4,5,2,4,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,362,86,358,86,336,78,6,9,0,9,13,15,0,9,0,9,3,6,0,9,3,6,4,5,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,362,86,358,86,4,5
11,06000US5500153725,431,60,431,60,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,431,60,431,60,425,60,0,9,0,9,0,9,0,9,0,9,6,7,0,9,6,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,431,60,431,60,0,9
12,06000US5500156525,2010,206,1713,188,297,79,204,74,50,39,18,25,0,9,25,31,0,9,11,22,0,9,0,9,0,9,14,21,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2010,206,1713,188,1039,158,544,110,48,34,13,24,41,31,0,9,28,37,0,9,28,37,297,79,170,73,11,22,12,25,6,13,0,9,81,56,17,25,0,9,17,25,2010,206,1713,188,297,79
13,06000US5500156750,692,129,676,130,16,14,11,11,3,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,2,3,0,9,0,9,692,129,676,130,675,129,0,9,0,9,0,9,0,9,0,9,1,2,0,9,1,2,16,14,16,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,692,129,676,130,16,14
14,06000US5500165450,1460,180,1436,179,24,17,13,12,0,9,0,9,0,9,1,4,0,9,0,9,1,4,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,8,9,8,9,0,9,0,9,0,9,1460,180,1436,179,1421,180,1,3,0,9,0,9,0,9,0,9,14,13,0,9,14,13,24,17,16,12,0,9,0,9,0,9,0,9,8,10,0,9,0,9,0,9,1460,180,1436,179,24,17
15,06000US5500165825,1229,138,1195,138,34,40,34,40,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1229,138,1195,138,1175,138,5,11,0,9,0,9,0,9,0,9,15,17,0,9,15,17,34,40,34,40,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1229,138,1195,138,34,40
16,06000US5500167425,146,38,137,36,9,14,9,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,146,38,137,36,137,36,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,14,9,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,146,38,137,36,9,14
17,06000US5500169275,2712,22,2705,27,7,12,7,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2712,22,2705,27,2669,47,0,9,0,9,19,27,0,9,0,9,17,25,0,9,17,25,7,12,7,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2712,22,2705,27,7,12
18,06000US5500176350,1233,126,1206,122,27,28,23,27,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1233,126,1206,122,1195,119,2,5,0,9,0,9,0,9,0,9,9,12,0,9,9,12,27,28,4,6,0,9,0,9,0,9,0,9,17,24,6,11,0,9,6,11,1233,126,1206,122,27,28
19,06000US5500177800,1109,151,1083,146,26,20,25,20,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,2,0,9,0,9,0,9,0,9,0,9,0,9,1,2,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1109,151,1083,146,1075,147,0,9,0,9,0,9,0,9,0,9,8,11,0,9,8,11,26,20,26,20,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1109,151,1083,146,26,20
20,06000US5500188150,12,17,12,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,12,17,12,17,12,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,12,17,12,17,0,9
21,06000US5500300000,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
22,06000US5500300550,441,74,441,74,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,441,74,441,74,420,69,0,9,6,5,1,2,0,9,0,9,14,11,0,9,14,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,441,74,441,74,0,9
23,06000US5500303225,8116,27,7938,71,178,66,101,67,45,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,32,0,12,14,19,18,25,0,12,8116,27,7938,71,6778,176,64,34,586,148,55,43,0,12,7,12,448,172,0,12,448,172,178,66,177,67,0,12,0,12,0,12,0,12,1,3,0,12,0,12,0,12,8116,27,7938,71,178,66
24,06000US5500303250,552,65,552,65,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,552,65,552,65,528,64,0,9,9,8,1,2,0,9,0,9,14,16,0,9,14,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,552,65,552,65,0,9
25,06000US5500311525,385,68,379,67,6,7,6,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,385,68,379,67,372,69,0,9,4,6,0,9,0,9,0,9,3,4,0,9,3,4,6,7,6,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,385,68,379,67,6,7
26,06000US5500314550,351,63,345,61,6,7,6,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,351,63,345,61,342,64,0,9,0,9,0,9,0,9,0,9,3,5,0,9,3,5,6,7,6,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,351,63,345,61,6,7
27,06000US5500329250,825,95,822,95,3,4,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,825,95,822,95,756,94,0,9,42,18,0,9,0,9,0,9,24,20,0,9,24,20,3,4,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,825,95,822,95,3,4
28,06000US5500329875,289,49,289,49,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,289,49,289,49,285,49,0,9,3,6,0,9,0,9,0,9,1,3,0,9,1,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,289,49,289,49,0,9
29,06000US5500337775,664,108,652,108,12,15,12,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,664,108,652,108,641,111,0,9,11,9,0,9,0,9,0,9,0,9,0,9,0,9,12,15,12,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,664,108,652,108,12,15
30,06000US5500342562,185,69,167,63,18,27,18,27,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,185,69,167,63,167,63,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,18,27,18,27,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,185,69,167,63,18,27
31,06000US5500349200,469,74,456,73,13,12,9,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,0,9,0,9,0,9,4,5,469,74,456,73,447,73,1,3,7,7,1,2,0,9,0,9,0,9,0,9,0,9,13,12,9,11,0,9,0,9,0,9,0,9,4,5,0,9,0,9,0,9,469,74,456,73,13,12
32,06000US5500350700,699,93,689,91,10,10,4,5,0,9,0,9,6,8,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,699,93,689,91,654,86,11,11,8,9,0,9,0,9,0,9,16,11,0,9,16,11,10,10,6,8,0,9,0,9,0,9,0,9,4,5,0,9,0,9,0,9,699,93,689,91,10,10
33,06000US5500354400,591,82,573,84,18,20,0,9,18,20,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,591,82,573,84,557,82,0,9,16,18,0,9,0,9,0,9,0,9,0,9,0,9,18,20,18,20,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,591,82,573,84,18,20
34,06000US5500361600,134,34,130,33,4,5,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,134,34,130,33,127,33,0,9,0,9,1,2,0,9,0,9,2,2,0,9,2,2,4,5,0,9,0,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,134,34,130,33,4,5
35,06000US5500371350,1276,157,1176,152,100,57,42,33,58,37,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1276,157,1176,152,222,65,8,10,867,149,23,26,1,2,0,9,55,30,0,9,55,30,100,57,43,48,0,9,48,34,0,9,0,9,9,11,0,9,0,9,0,9,1276,157,1176,152,100,57
36,06000US5500372825,119,27,119,27,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,119,27,119,27,118,26,0,9,0,9,1,2,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,119,27,119,27,0,9
37,06000US5500386850,897,89,897,89,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,897,89,897,89,879,89,0,9,10,7,0,9,0,9,0,9,8,9,0,9,8,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,897,89,897,89,0,9
38,06000US5500501325,684,116,635,110,49,47,49,47,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,684,116,635,110,599,105,13,26,23,16,0,9,0,9,0,9,0,9,0,9,0,9,49,47,10,10,0,9,0,9,0,9,0,9,39,48,0,9,0,9,0,9,684,116,635,110,49,47
39,06000US5500501350,847,121,839,119,8,12,0,9,8,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,847,121,839,119,828,116,0,9,6,10,5,7,0,9,0,9,0,9,0,9,0,9,8,12,0,9,0,9,8,12,0,9,0,9,0,9,0,9,0,9,0,9,847,121,839,119,8,12
40,06000US5500502775,763,114,759,114,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,6,0,9,0,9,0,9,4,6,763,114,759,114,757,114,0,9,0,9,0,9,0,9,0,9,2,3,2,3,0,9,4,6,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,763,114,759,114,4,6
41,06000US5500504875,3366,18,3269,47,97,44,78,43,13,13,6,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3366,18,3269,47,2808,254,454,244,0,9,0,9,0,9,0,9,7,14,0,9,7,14,97,44,90,45,0,9,0,9,0,9,0,9,7,14,0,9,0,9,0,9,3366,18,3269,47,97,44
42,06000US5500504900,720,123,703,118,17,19,13,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,6,0,9,0,9,0,9,0,9,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,720,123,703,118,673,112,8,14,0,9,17,22,0,9,0,9,5,11,0,9,5,11,17,19,14,18,0,9,0,9,0,9,0,9,3,5,0,9,0,9,0,9,720,123,703,118,17,19
43,06000US5500505650,670,112,665,111,5,6,3,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,2,4,670,112,665,111,665,111,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,6,3,5,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,670,112,665,111,5,6
44,06000US5500512250,1974,168,1961,169,13,12,8,10,5,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1974,168,1961,169,1858,169,5,16,13,14,25,19,0,9,0,9,60,40,0,9,60,40,13,12,11,11,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,1974,168,1961,169,13,12
45,06000US5500513500,937,112,923,106,14,16,11,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,4,0,9,0,9,1,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,2,3,937,112,923,106,896,100,0,9,3,5,12,16,0,9,0,9,12,12,0,9,12,12,14,16,14,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,937,112,923,106,14,16
46,06000US5500514325,2345,245,2235,214,110,93,52,44,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,58,79,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,58,79,0,9,0,9,0,9,0,9,0,9,0,9,2345,245,2235,214,2220,217,0,9,0,9,0,9,0,9,0,9,15,23,0,9,15,23,110,93,110,93,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2345,245,2235,214,110,93
47,06000US5500514350,1639,185,1631,183,8,13,6,11,0,9,0,9,0,9,2,4,0,9,2,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1639,185,1631,183,1618,185,0,9,11,12,0,9,0,9,0,9,2,4,0,9,2,4,8,13,6,11,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,1639,185,1631,183,8,13
48,06000US5500515600,742,80,738,79,4,5,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,742,80,738,79,716,78,0,9,6,6,11,13,0,9,0,9,5,7,0,9,5,7,4,5,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,742,80,738,79,4,5
49,06000US5500517875,784,130,770,128,14,19,14,19,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,784,130,770,128,729,104,7,11,0,9,0,9,0,9,0,9,34,41,0,9,34,41,14,19,14,19,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,784,130,770,128,14,19
50,06000US5500518025,2434,222,2278,229,156,105,131,100,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,5,0,9,0,9,3,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,22,31,22,31,0,9,0,9,0,9,2434,222,2278,229,2203,229,0,9,41,36,0,9,0,9,0,9,34,17,0,9,34,17,156,105,97,86,0,9,0,9,0,9,0,9,59,85,0,9,0,9,0,9,2434,222,2278,229,156,105
51,06000US5500518050,783,74,769,72,14,15,14,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,783,74,769,72,766,71,0,9,0,9,0,9,0,9,0,9,3,5,0,9,3,5,14,15,14,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,783,74,769,72,14,15
52,06000US5500518575,368,68,366,69,2,3,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,368,68,366,69,365,69,0,9,0,9,0,9,0,9,0,9,1,2,0,9,1,2,2,3,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,368,68,366,69,2,3
53,06000US5500518600,521,91,482,84,39,53,36,53,0,9,0,9,0,9,3,4,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,521,91,482,84,471,82,0,9,6,7,2,5,0,9,0,9,3,4,0,9,3,4,39,53,2,4,0,9,0,9,0,9,0,9,37,53,0,9,0,9,0,9,521,91,482,84,39,53
54,06000US5500520650,806,111,804,111,2,4,0,9,2,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,806,111,804,111,804,111,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,4,2,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,806,111,804,111,2,4
55,06000US5500520750,505,79,503,78,2,3,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,505,79,503,78,494,76,0,9,0,9,0,9,0,9,0,9,9,12,0,9,9,12,2,3,0,9,0,9,0,9,0,9,0,9,0,9,2,3,2,3,0,9,505,79,503,78,2,3
56,06000US5500533225,361,74,353,74,8,11,5,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,5,0,9,3,5,0,9,0,9,361,74,353,74,350,73,0,9,0,9,0,9,0,9,0,9,3,5,0,9,3,5,8,11,5,11,0,9,0,9,0,9,0,9,3,5,0,9,0,9,0,9,361,74,353,74,8,11
57,06000US5500541600,952,149,939,143,13,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,10,15,0,9,10,15,0,9,0,9,952,149,939,143,931,142,0,9,0,9,0,9,0,9,0,9,8,10,0,9,8,10,13,16,13,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,952,149,939,143,13,16
