OBJECTID,GEOID,B03001e1,B03001m1,B03001e2,B03001m2,B03001e3,B03001m3,B03001e4,B03001m4,B03001e5,B03001m5,B03001e6,B03001m6,B03001e7,B03001m7,B03001e8,B03001m8,B03001e9,B03001m9,B03001e10,B03001m10,B03001e11,B03001m11,B03001e12,B03001m12,B03001e13,B03001m13,B03001e14,B03001m14,B03001e15,B03001m15,B03001e16,B03001m16,B03001e17,B03001m17,B03001e18,B03001m18,B03001e19,B03001m19,B03001e20,B03001m20,B03001e21,B03001m21,B03001e22,B03001m22,B03001e23,B03001m23,B03001e24,B03001m24,B03001e25,B03001m25,B03001e26,B03001m26,B03001e27,B03001m27,B03001e28,B03001m28,B03001e29,B03001m29,B03001e30,B03001m30,B03001e31,B03001m31,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3
340,06000US5502510075,933,144,908,145,25,19,12,14,0,9,0,9,0,9,4,6,0,9,0,9,2,3,0,9,0,9,2,3,0,9,7,10,0,9,0,9,0,9,0,9,0,9,0,9,7,10,0,9,0,9,0,9,2,3,0,9,0,9,0,9,2,3,933,144,908,145,875,142,0,9,13,14,0,9,0,9,0,9,20,28,0,9,20,28,25,19,19,17,0,9,0,9,0,9,0,9,6,9,0,9,0,9,0,9,933,144,908,145,25,19
341,06000US5502511150,3344,45,3294,91,50,81,50,81,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3344,45,3294,91,3227,120,46,75,5,7,0,9,0,9,0,9,16,28,0,9,16,28,50,81,50,81,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3344,45,3294,91,50,81
342,06000US5502512225,1165,112,1150,110,15,14,9,12,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,3,4,0,9,0,9,0,9,1165,112,1150,110,1138,108,5,5,0,9,0,9,0,9,0,9,7,8,0,9,7,8,15,14,12,13,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1165,112,1150,110,15,14
343,06000US5502514650,1171,122,1169,122,2,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,2,4,1171,122,1169,122,1133,127,4,6,22,24,3,4,0,9,0,9,7,11,0,9,7,11,2,4,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,0,9,1171,122,1169,122,2,4
344,06000US5502517175,6639,23,5829,565,810,561,399,499,0,12,16,26,0,12,34,57,0,12,34,57,0,12,0,12,0,12,0,12,0,12,171,151,0,12,0,12,0,12,142,151,0,12,0,12,0,12,0,12,29,44,0,12,190,273,190,273,0,12,0,12,0,12,6639,23,5829,565,5049,625,41,50,0,12,690,436,0,12,0,12,49,56,0,12,49,56,810,561,440,313,0,12,0,12,0,12,0,12,370,503,0,12,0,12,0,12,6639,23,5829,565,810,561
345,06000US5502517200,3878,34,3843,68,35,57,0,9,35,57,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3878,34,3843,68,3750,96,14,18,0,9,30,50,0,9,0,9,49,49,0,9,49,49,35,57,35,57,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3878,34,3843,68,35,57
346,06000US5502517775,3834,36,3786,48,48,33,30,27,0,9,9,13,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,13,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,13,0,9,0,9,0,9,0,9,0,9,0,9,3834,36,3786,48,3716,69,13,19,0,9,22,24,0,9,0,9,35,32,0,9,35,32,48,33,6,9,0,9,0,9,0,9,0,9,22,24,20,20,20,20,0,9,3834,36,3786,48,48,33
347,06000US5502517800,1535,155,1489,152,46,44,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,14,9,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,34,38,34,38,0,9,0,9,0,9,1535,155,1489,152,1465,148,8,8,0,9,8,8,0,9,0,9,8,9,0,9,8,9,46,44,46,44,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1535,155,1489,152,46,44
348,06000US5502518700,1171,164,1123,154,48,56,12,13,0,9,0,9,0,9,32,55,0,9,0,9,0,9,32,55,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,7,0,9,4,7,0,9,0,9,1171,164,1123,154,1034,143,12,21,6,11,66,70,0,9,0,9,5,8,0,9,5,8,48,56,10,11,0,9,0,9,0,9,0,9,38,55,0,9,0,9,0,9,1171,164,1123,154,48,56
349,06000US5502518725,939,119,891,113,48,58,12,12,0,9,0,9,0,9,36,57,0,9,0,9,31,49,5,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,939,119,891,113,873,108,3,4,0,9,8,11,0,9,0,9,7,8,0,9,7,8,48,58,45,57,0,9,0,9,0,9,0,9,3,5,0,9,0,9,0,9,939,119,891,113,48,58
