"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"VILLAGE-OF-POYNETTE-WARD-1-4-COLUMBIA","11172","VILLAGE-OF-POYNETTE-WARD-1-4-COLUMBIA","VILLAGE OF POYNETTE WARDS 1-4","COLUMBIA","VILLAGE OF POYNETTE COLUMBIA",40.4360753221011,58.2755203171457,1.28840436075322,0.714487632508834,0,1,0.126607319485658,0,0.000989119683481701,0,0.113780918727915,1011,1415,0.0118694362017804,1009,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,2636,27748,5.35384615384615,21.1978465679677,93.6267071320182,2.31411229135053,1.66919575113809,50.4172989377845,36.2,2.46,787.521490681124
"VILLAGE-OF-RANDOLPH-WARD-3-COLUMBIA","11176","VILLAGE-OF-RANDOLPH-WARD-3-COLUMBIA","VILLAGE OF RANDOLPH WARD 3","COLUMBIA","VILLAGE OF RANDOLPH COLUMBIA",72.8723404255319,26.063829787234,1.06382978723404,0.716981132075472,0.305263157894737,0.694736842105263,0.0894736842105263,58,0,0,0.0905660377358491,190,265,0.0105263157894737,188,1,3.7,4.30676415017333,74.2,NA,NA,NA,57922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VILLAGE-OF-RIO-WARD-1-2-COLUMBIA","11177","VILLAGE-OF-RIO-WARD-1-2-COLUMBIA","VILLAGE OF RIO Ward 1 - 2","COLUMBIA","VILLAGE OF RIO COLUMBIA",40.5034324942792,56.7505720823799,2.74599542334096,0.703703703703704,0,0,0.0778032036613272,0,0,0,0.0660225442834139,437,621,0.0251716247139588,437,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,1102,24028,6.06980273141123,17.9054054054054,95.5535390199637,1.27041742286751,2.08711433756806,50.0907441016334,35.9,2.53,498.902813929069
"VILLAGE-OF-WYOCENA-WARD-1-COLUMBIA","11191","VILLAGE-OF-WYOCENA-WARD-1-COLUMBIA","VILLAGE OF WYOCENA WARD 1","COLUMBIA","VILLAGE OF WYOCENA COLUMBIA",45.7337883959044,51.5358361774744,2.73037542662116,0.743073047858942,0,1,0.088135593220339,0,0,0,0.0806045340050378,295,397,0,293,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,694,23123,14.4329896907216,8.53333333333333,98.8472622478386,0,6.48414985590778,46.3976945244957,44.8,2.44,171.677074542539
"CITY-OF-COLUMBUS-WARD-1-8-COLUMBIA","11211","CITY-OF-COLUMBUS-WARD-1-8-COLUMBIA","CITY OF COLUMBUS Wards 1-8","COLUMBIA","CITY OF COLUMBUS COLUMBIA",44.6935041171089,53.6596523330284,1.64684354986276,0.693426042983565,0,1,0.128532360984503,0,0.000455788514129444,0,0.0755372945638432,2194,3164,0.0145852324521422,2186,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,4999,30365,6.72436750998668,30.4775792927452,96.2192438487698,0.800160032006401,2.78055611122224,46.7693538707742,39.3,2.37,10237.7638802641
"CITY-OF-COLUMBUS-WARD-10-COLUMBIA","11211","CITY-OF-COLUMBUS-WARD-10-COLUMBIA","CITY OF COLUMBUS Ward 10","COLUMBIA","CITY OF COLUMBUS COLUMBIA",0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,4999,30365,6.72436750998668,30.4775792927452,96.2192438487698,0.800160032006401,2.78055611122224,46.7693538707742,39.3,2.37,10237.7638802641
"CITY-OF-LODI-WARD-1-6-COLUMBIA","11246","CITY-OF-LODI-WARD-1-6-COLUMBIA","CITY OF LODI WARDS 1 - 6","COLUMBIA","CITY OF LODI COLUMBIA",38.6785960082588,60.2202339986235,1.10116999311769,0.893186003683241,0,0.998625429553265,0.195189003436426,0,0,0,0.096378146101903,1455,1629,0.0219931271477663,1453,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,3047,29228,4.59016393442623,28.6082474226804,97.4401050213325,0.82047915982934,0.72202166064982,44.043321299639,40.5,2.32,3596.36969991474
"CITY-OF-PORTAGE-WARD-1910-COLUMBIA",NA,"CITY-OF-PORTAGE-WARD-1910-COLUMBIA","CITY OF PORTAGE Wards 1910","COLUMBIA","CITY OF PORTAGE COLUMBIA",42.0316868592731,56.5703634669152,1.39794967381174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,12,NA,0,50,100,0,0,75,20.5,4,2.92788157921484
"CITY-OF-PORTAGE-WARD-235-COLUMBIA",NA,"CITY-OF-PORTAGE-WARD-235-COLUMBIA","CITY OF PORTAGE Wards 235","COLUMBIA","CITY OF PORTAGE COLUMBIA",34.9624060150376,63.5338345864662,1.50375939849624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,12,NA,0,50,100,0,0,75,20.5,4,2.92788157921484
"CITY-OF-PORTAGE-WARD-4678-COLUMBIA",NA,"CITY-OF-PORTAGE-WARD-4678-COLUMBIA","CITY OF PORTAGE Wards 4678","COLUMBIA","CITY OF PORTAGE COLUMBIA",38.3040935672515,60.4288499025341,1.26705653021442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026,1,3.7,4.30676415017333,74.2,"aNone","ES&S M100","ES&S Automark",57922,12,NA,0,50,100,0,0,75,20.5,4,2.92788157921484
