"","county","municipality","muni_county","reporting_unit_orig","reporting_unit","democrat_votes.rec","democrat_votes.perc","other_votes.rec","other_votes.perc","republican_votes.rec","republican_votes.perc","votes.tot"
"1","MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD MARATHON","CITY OF ABBOTSFORD WARD 1 MARATHON","CITY-OF-ABBOTSFORD-WARD-1-MARATHON",82,50.9316770186335,5,3.1055900621118,74,45.9627329192547,161
"2","CLARK","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD CLARK","CITY OF ABBOTSFORD WARDS 2 - 4 CLARK","CITY-OF-ABBOTSFORD-WARD-2-4-CLARK",330,48.0349344978166,16,2.32896652110626,341,49.6360989810771,687
"3","ADAMS","CITY OF ADAMS","CITY OF ADAMS ADAMS","CITY OF ADAMS WARDS 1 - 5 ADAMS","CITY-OF-ADAMS-WARD-1-5-ADAMS",539,68.0555555555556,24,3.03030303030303,229,28.9141414141414,792
"4","KEWAUNEE","CITY OF ALGOMA","CITY OF ALGOMA KEWAUNEE","CITY OF ALGOMA WARDS 1 - 7 KEWAUNEE","CITY-OF-ALGOMA-WARD-1-7-KEWAUNEE",965,61.1146295123496,33,2.08993033565548,581,36.7954401519949,1579
"5","BUFFALO","CITY OF ALMA","CITY OF ALMA BUFFALO","CITY OF ALMA WARDS 1 & 2 BUFFALO","CITY-OF-ALMA-WARD-1-2-BUFFALO",252,56.3758389261745,6,1.34228187919463,189,42.2818791946309,447
"6","EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA EAU CLAIRE","CITY OF ALTOONA WARDS 1 - 7, 9 - 11 EAU CLAIRE","CITY-OF-ALTOONA-WARD-1-7-9-11-EAU-CLAIRE",1590,59.2620201267238,45,1.6772269847186,1048,39.0607528885576,2683
"7","EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA EAU CLAIRE","CITY OF ALTOONA WARDS 8, 12 & 13 EAU CLAIRE","CITY-OF-ALTOONA-WARD-8-12-13-EAU-CLAIRE",477,59.4022415940224,9,1.12079701120797,317,39.4769613947696,803
"8","POLK","CITY OF AMERY","CITY OF AMERY POLK","CITY OF AMERY WARDS 1 - 5 POLK","CITY-OF-AMERY-WARD-1-5-POLK",737,51.3231197771588,23,1.6016713091922,676,47.075208913649,1436
"9","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 1 LANGLADE","CITY-OF-ANTIGO-WARD-1-LANGLADE",225,56.25,2,0.5,173,43.25,400
"10","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 2 LANGLADE","CITY-OF-ANTIGO-WARD-2-LANGLADE",217,50.3480278422274,7,1.62412993039443,207,48.0278422273782,431
"11","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 3 LANGLADE","CITY-OF-ANTIGO-WARD-3-LANGLADE",222,58.2677165354331,3,0.78740157480315,156,40.9448818897638,381
"12","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 4 LANGLADE","CITY-OF-ANTIGO-WARD-4-LANGLADE",234,57.2127139364303,8,1.9559902200489,167,40.8312958435208,409
"13","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 5 LANGLADE","CITY-OF-ANTIGO-WARD-5-LANGLADE",213,59.0027700831025,8,2.21606648199446,140,38.781163434903,361
"14","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 6 LANGLADE","CITY-OF-ANTIGO-WARD-6-LANGLADE",174,49.0140845070423,8,2.25352112676056,173,48.7323943661972,355
"15","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 7 LANGLADE","CITY-OF-ANTIGO-WARD-7-LANGLADE",235,49.6828752642706,5,1.05708245243129,233,49.2600422832981,473
"16","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 8 LANGLADE","CITY-OF-ANTIGO-WARD-8-LANGLADE",201,51.5384615384615,7,1.79487179487179,182,46.6666666666667,390
"17","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 9 LANGLADE","CITY-OF-ANTIGO-WARD-9-LANGLADE",234,55.9808612440191,6,1.43540669856459,178,42.5837320574163,418
"18","OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON OUTAGAMIE","CITY OF APPLETON WARD 1 OUTAGAMIE","CITY-OF-APPLETON-WARD-1-OUTAGAMIE",786,66.8936170212766,32,2.72340425531915,357,30.3829787234043,1175
"19","OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON OUTAGAMIE","CITY OF APPLETON WARD 10 OUTAGAMIE","CITY-OF-APPLETON-WARD-10-OUTAGAMIE",434,51.6052318668252,13,1.54577883472057,394,46.8489892984542,841
"20","OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON OUTAGAMIE","CITY OF APPLETON WARD 11 OUTAGAMIE","CITY-OF-APPLETON-WARD-11-OUTAGAMIE",394,63.1410256410256,8,1.28205128205128,222,35.5769230769231,624
"21","CALUMET","CITY OF APPLETON","CITY OF APPLETON CALUMET","CITY OF APPLETON WARD 12 CALUMET","CITY-OF-APPLETON-WARD-12-CALUMET",76,58.0152671755725,2,1.52671755725191,53,40.4580152671756,131
"22","CALUMET","CITY OF APPLETON","CITY OF APPLETON CALUMET","CITY OF APPLETON WARD 13 CALUMET","CITY-OF-APPLETON-WARD-13-CALUMET",298,53.5008976660682,14,2.51346499102334,245,43.9856373429084,557
"23","CALUMET","CITY OF APPLETON","CITY OF APPLETON CALUMET","CITY OF APPLETON WARD 14 CALUMET","CITY-OF-APPLETON-WARD-14-CALUMET",398,53.4228187919463,11,1.47651006711409,336,45.1006711409396,745
"24","OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON OUTAGAMIE","CITY OF APPLETON WARD 15 OUTAGAMIE","CITY-OF-APPLETON-WARD-15-OUTAGAMIE",417,64.8522550544323,11,1.71073094867807,215,33.4370139968896,643
"25","OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON OUTAGAMIE","CITY OF APPLETON WARD 16 OUTAGAMIE","CITY-OF-APPLETON-WARD-16-OUTAGAMIE",925,59.4091201027617,35,2.24791265253693,597,38.3429672447013,1557
