"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-ADAMS-WARD-1-3-ADAMS","01002","TOWN-OF-ADAMS-WARD-1-3-ADAMS","Town of ADAMS Wards 1-3","ADAMS","TOWN OF ADAMS ADAMS",52.6666666666667,47.1666666666667,0.166666666666667,0.815261044176707,0,0,0.0459770114942529,0,0.00492610837438424,0,0.0923694779116466,609,747,0.00164203612479475,600,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1438,18965,4.82673267326733,11.5819209039548,92.0027816411683,0.278164116828929,4.65924895688456,49.3741307371349,48.1,2.59,12.8384255135077
"TOWN-OF-BIG-FLATS-WARD-1-2-ADAMS","01004","TOWN-OF-BIG-FLATS-WARD-1-2-ADAMS","Town of BIG FLATS Wards 1-2","ADAMS","TOWN OF BIG FLATS ADAMS",53.8283062645012,45.9396751740139,0.232018561484919,0.764705882352941,0.902714932126697,0,0.0452488687782805,399,0,0,0.0778546712802768,442,578,0,431,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,853,20234,8.73015873015873,6.25,97.5381008206331,0.468933177022274,6.79953106682298,53.9273153575615,58.7,2.27,13.6506409553158
"TOWN-OF-COLBURN-WARD-1-ADAMS","01006","TOWN-OF-COLBURN-WARD-1-ADAMS","Town of COLBURN Ward 1","ADAMS","TOWN OF COLBURN ADAMS",52.4271844660194,47.5728155339806,0,0.697368421052632,0.858490566037736,0,0.122641509433962,91,0,0,0.0394736842105263,106,152,0,103,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,285,20075,1.71428571428571,9.80392156862745,98.2456140350877,0.350877192982456,1.75438596491228,52.280701754386,53.6,2.42,3.06426786135655
"TOWN-OF-DELL-PRAIRIE-WARD-1-3-ADAMS","01008","TOWN-OF-DELL-PRAIRIE-WARD-1-3-ADAMS","Town of DELL PRAIRIE Wards 1-3","ADAMS","TOWN OF DELL PRAIRIE ADAMS",48.2352941176471,51.6339869281046,0.130718954248366,0.759765625,0,0,0.0681233933161954,0,0,0,0.0771484375,778,1024,0.0038560411311054,765,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1617,24790,7.98029556650246,16.2222222222222,94.9907235621521,0.494743351886209,3.58688930117502,50.8967223252938,45.2,2.72,46.4111072909669
"TOWN-OF-EASTON-WARD-1-2-ADAMS","01010","TOWN-OF-EASTON-WARD-1-2-ADAMS","Town of EASTON Wards 1-2","ADAMS","TOWN OF EASTON ADAMS",54.6637744034707,45.119305856833,0.216919739696312,0.771615008156607,0.617336152219873,0,0.0380549682875264,292,0,0,0.0717781402936378,473,613,0.00211416490486258,461,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,993,20561,9.15032679738562,11.3879003558719,96.5760322255791,1.81268882175227,0,53.0715005035247,50.3,2.61,17.3700312049274
"TOWN-OF-JACKSON-WARD-1-2-ADAMS","01012","TOWN-OF-JACKSON-WARD-1-2-ADAMS","Town of JACKSON Wards 1-2","ADAMS","TOWN OF JACKSON ADAMS",52.6717557251908,47.3282442748092,0,0.781388478581979,0,0,0.0642722117202268,0,0,0,0.0723781388478582,529,677,0,524,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1189,27590,6.33093525179856,12.6139817629179,93.6080740117746,0,4.70984020185029,48.2758620689655,55.2,2.55,26.5475259157289
"TOWN-OF-LEOLA-WARD-1-ADAMS","01014","TOWN-OF-LEOLA-WARD-1-ADAMS","Town of LEOLA Ward 1","ADAMS","TOWN OF LEOLA ADAMS",78.4615384615385,21.5384615384615,0,0.779761904761905,0,0,0.00763358778625954,0,0,0,0.0714285714285714,131,168,0,130,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,324,19373,10.6796116504854,11.2359550561798,95.9876543209877,0,0,58.9506172839506,44.2,2.89,3.35469626681109
"TOWN-OF-LINCOLN-WARD-1-ADAMS","01016","TOWN-OF-LINCOLN-WARD-1-ADAMS","Town of LINCOLN Ward 1","ADAMS","TOWN OF LINCOLN ADAMS",44.5161290322581,55.4838709677419,0,0.742857142857143,0.91025641025641,0,0.0833333333333333,142,0,0,0.0571428571428571,156,210,0,155,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,362,21312,4,14.0243902439024,93.9226519337017,1.65745856353591,1.10497237569061,55.524861878453,51.8,2.7,3.86734924122314
"TOWN-OF-MONROE-WARD-1-ADAMS","01018","TOWN-OF-MONROE-WARD-1-ADAMS","Town of MONROE Ward 1","ADAMS","TOWN OF MONROE ADAMS",52.991452991453,47.008547008547,0,0.842857142857143,0,0,0.0932203389830508,0,0,0,0.0571428571428571,236,280,0.00847457627118644,234,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,431,29463,8.94308943089431,15.3846153846154,98.6078886310905,0,0,59.8607888631091,58.8,2.13,4.32475926945851
"TOWN-OF-NEW-CHESTER-WARD-1-3-ADAMS","01020","TOWN-OF-NEW-CHESTER-WARD-1-3-ADAMS","Town of NEW CHESTER Wards 1-3","ADAMS","TOWN OF NEW CHESTER ADAMS",49.1758241758242,50.5494505494505,0.274725274725275,0.714836223506744,0.55256064690027,0,0.0539083557951483,205,0,0,0.0905587668593449,371,519,0.00269541778975741,364,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,2010,15366,9.41619585687382,3.32880434782609,60.1492537313433,27.6119402985075,14.7761194029851,76.5671641791045,37.6,2.57,60.2318510587298
"TOWN-OF-NEW-HAVEN-WARD-1-ADAMS","01022","TOWN-OF-NEW-HAVEN-WARD-1-ADAMS","Town of NEW HAVEN Ward 1","ADAMS","TOWN OF NEW HAVEN ADAMS",46.7692307692308,53.2307692307692,0,0.774117647058824,0.723404255319149,0,0.103343465045593,238,0.00303951367781155,0,0.0823529411764706,329,425,0,325,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,692,22395,6.58536585365854,9.35064935064935,99.8554913294798,0,2.3121387283237,47.8323699421965,51.6,2.7,8.78846581577819
"TOWN-OF-PRESTON-WARD-1-2-ADAMS","01024","TOWN-OF-PRESTON-WARD-1-2-ADAMS","Town of PRESTON Wards 1-2","ADAMS","TOWN OF PRESTON ADAMS",51.963746223565,48.036253776435,0,0.801920768307323,0,0,0.0688622754491018,0,0,0,0.0828331332533013,668,833,0.00149700598802395,662,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1460,21437,7.18294051627385,8.51063829787234,98.4246575342466,0.0684931506849315,1.64383561643836,49.5890410958904,53.9,2.66,40.4382601573976
"TOWN-OF-QUINCY-WARD-1-3-ADAMS","01026","TOWN-OF-QUINCY-WARD-1-3-ADAMS","Town of QUINCY Wards 1-3","ADAMS","TOWN OF QUINCY ADAMS",48.772504091653,51.227495908347,0,0.782389937106918,0,0,0.14951768488746,0,0.00160771704180064,0,0.0540880503144654,622,795,0.00964630225080386,611,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1229,21313,7.35068912710567,8.42105263157895,98.3726606997559,0.406834825061025,2.76647681041497,55.166802278275,55.9,2.36,26.7732292005195
"TOWN-OF-RICHFIELD-WARD-1-ADAMS","01028","TOWN-OF-RICHFIELD-WARD-1-ADAMS","Town of RICHFIELD Ward 1","ADAMS","TOWN OF RICHFIELD ADAMS",56.0975609756098,43.9024390243902,0,0.836538461538462,0,0,0.114942528735632,0,0,0,0.0384615384615385,87,104,0,82,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,146,47984,3.79746835443038,17.1052631578947,100,0,6.16438356164384,53.4246575342466,55,2.21,1.58378793507245
