"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","demwinner","demwinner2012","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","MCD_FIPS"
"11","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-2-LANGLADE","CITY OF ANTIGO WARD 2 LANGLADE","CITY OF ANTIGO","LANGLADE",169,41.219512195122,19,410,4.63414634146341,222,54.1463414634146,201,9,393,183,51.1450381679389,46.5648854961832,2.29007633587786,-32,39,10,-9.92552597281698,7.58145596723143,2.34407000558555,0,1,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"12","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-3-LANGLADE","CITY OF ANTIGO WARD 3 LANGLADE","CITY OF ANTIGO","LANGLADE",113,33.9339339339339,22,333,6.60660660660661,198,59.4594594594595,161,4,362,197,44.475138121547,54.4198895027624,1.10497237569061,-48,1,18,-10.541204187613,5.03956995669703,5.501634230916,0,0,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"13","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-4-LANGLADE","CITY OF ANTIGO WARD 4 LANGLADE","CITY OF ANTIGO","LANGLADE",153,44.4767441860465,11,344,3.19767441860465,180,52.3255813953488,200,9,370,161,54.0540540540541,43.5135135135135,2.43243243243243,-47,19,2,-9.57730986800755,8.81206788183533,0.765241986172219,0,1,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"14","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-5-LANGLADE","CITY OF ANTIGO WARD 5 LANGLADE","CITY OF ANTIGO","LANGLADE",129,43.8775510204082,14,294,4.76190476190476,151,51.3605442176871,183,2,339,154,53.9823008849557,45.4277286135693,0.589970501474926,-54,-3,12,-10.1047498645476,5.93281560411776,4.17193426042984,0,1,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"15","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-6-LANGLADE","CITY OF ANTIGO WARD 6 LANGLADE","CITY OF ANTIGO","LANGLADE",115,32.5779036827195,21,353,5.94900849858357,217,61.4730878186969,164,12,392,216,41.8367346938776,55.1020408163265,3.06122448979592,-49,1,9,-9.25883101115801,6.37104700237036,2.88778400878765,0,0,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"16","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-7-LANGLADE","CITY OF ANTIGO WARD 7 LANGLADE","CITY OF ANTIGO","LANGLADE",203,41.0931174089069,13,494,2.63157894736842,278,56.2753036437247,236,6,518,276,45.5598455598456,53.2818532818533,1.15830115830116,-33,2,7,-4.46672815093867,2.99345036187141,1.47327778906726,0,0,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"17","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-8-LANGLADE","CITY OF ANTIGO WARD 8 LANGLADE","CITY OF ANTIGO","LANGLADE",120,33.3333333333333,10,360,2.77777777777778,230,63.8888888888889,184,7,373,182,49.3297587131367,48.7935656836461,1.87667560321716,-64,48,3,-15.9964253798034,15.0953232052428,0.90110217456062,0,1,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"18","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-9-LANGLADE","CITY OF ANTIGO WARD 9 LANGLADE","CITY OF ANTIGO","LANGLADE",136,31.554524361949,20,431,4.64037122969838,275,63.8051044083527,227,9,460,224,49.3478260869565,48.695652173913,1.95652173913044,-91,51,11,-17.7933017250076,15.1094522344396,2.68384949056794,0,1,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"19","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-1-OUTAGAMIE","CITY OF APPLETON WARD 1 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",334,52.3510971786834,56,638,8.77742946708464,248,38.871473354232,449,23,739,267,60.7577807848444,36.1299052774019,3.11231393775372,-115,-19,33,-8.406683606161,2.74156807683008,5.66511552933092,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"20","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-10-OUTAGAMIE","CITY OF APPLETON WARD 10 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",321,51.7741935483871,21,620,3.38709677419355,278,44.8387096774194,358,10,653,285,54.8238897396631,43.6447166921899,1.53139356814701,-37,-7,11,-3.04969619127599,1.19399298522946,1.85570320604654,1,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"21","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-11-OUTAGAMIE","CITY OF APPLETON WARD 11 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",233,46.9758064516129,30,496,6.04838709677419,233,46.9758064516129,269,6,529,254,50.8506616257089,48.0151228733459,1.13421550094518,-36,-21,24,-3.87485517409598,-1.03931642173303,4.91417159582901,0,1,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"22","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-12-CALUMET","CITY OF APPLETON WARD 12 CALUMET","CITY OF APPLETON","CALUMET",149,46.7084639498433,19,319,5.95611285266458,151,47.3354231974922,86,1,155,68,55.4838709677419,43.8709677419355,0.645161290322581,63,83,18,-8.77540701789868,3.46445545555668,5.310951562342,0,1,0,NA,NA,NA,0,NA,NA,NA,"5501502375"
"23","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-13-CALUMET","CITY OF APPLETON WARD 13 CALUMET","CITY OF APPLETON","CALUMET",445,47.23991507431,73,942,7.74946921443737,424,45.0106157112527,599,8,1025,418,58.4390243902439,40.780487804878,0.780487804878049,-154,6,65,-11.1991093159339,4.23012790637461,6.96898140955932,1,1,0,NA,NA,NA,0,NA,NA,NA,"5501502375"
"24","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-14-CALUMET","CITY OF APPLETON WARD 14 CALUMET","CITY OF APPLETON","CALUMET",362,45.7648546144121,41,791,5.18331226295828,388,49.0518331226296,364,14,783,405,46.4878671775224,51.7241379310345,1.78799489144317,-2,-17,27,-0.723012563110217,-2.6723048084049,3.39531737151511,0,0,0,NA,NA,NA,0,NA,NA,NA,"5501502375"
