"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-NEW-HAVEN-WARD-1-ADAMS","01022","TOWN-OF-NEW-HAVEN-WARD-1-ADAMS","TOWN OF NEW HAVEN Ward 1","ADAMS","TOWN OF NEW HAVEN ADAMS",53.2608695652174,46.3768115942029,0,0.644186046511628,0.527075812274368,0,0.108303249097473,146,0.0036101083032491,0,0.027906976744186,277,430,0.0036101083032491,276,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,692,22395,6.58536585365854,9.35064935064935,99.8554913294798,0,2.3121387283237,47.8323699421965,51.6,2.7,8.78846581577819
"TOWN-OF-PRESTON-WARD-1-3-ADAMS","01024","TOWN-OF-PRESTON-WARD-1-3-ADAMS","TOWN OF PRESTON Wards 1 - 3","ADAMS","TOWN OF PRESTON ADAMS",50.5791505791506,48.6486486486487,0,0.475551294343241,0,0,0.0342741935483871,0,0,0,0,496,1043,0,518,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1460,21437,7.18294051627385,8.51063829787234,98.4246575342466,0.0684931506849315,1.64383561643836,49.5890410958904,53.9,2.66,40.4382601573976
"TOWN-OF-QUINCY-WARD-1-2-ADAMS","01026","TOWN-OF-QUINCY-WARD-1-2-ADAMS","TOWN OF QUINCY Wards 1 & 2","ADAMS","TOWN OF QUINCY ADAMS",44.8430493273543,54.0358744394619,0,0.526995305164319,0,0,0.0868596881959911,0,0,0,0.028169014084507,449,852,0.0133630289532294,446,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1229,21313,7.35068912710567,8.42105263157895,98.3726606997559,0.406834825061025,2.76647681041497,55.166802278275,55.9,2.36,26.7732292005195
"TOWN-OF-RICHFIELD-WARD-1-ADAMS","01028","TOWN-OF-RICHFIELD-WARD-1-ADAMS","TOWN OF RICHFIELD Ward 1","ADAMS","TOWN OF RICHFIELD ADAMS",49.1228070175439,40.3508771929825,0,0.59375,0,0,0.0526315789473684,0,0,0,0,57,96,0,57,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,146,47984,3.79746835443038,17.1052631578947,100,0,6.16438356164384,53.4246575342466,55,2.21,1.58378793507245
"TOWN-OF-ROME-WARD-1-5-ADAMS","01030","TOWN-OF-ROME-WARD-1-5-ADAMS","TOWN OF ROME Wards 1 - 5","ADAMS","TOWN OF ROME ADAMS",58.5609593604264,39.8401065956029,0,0.655502392344498,0,1,0.117451891174519,0,0.0026542800265428,0.0039814200398142,0.0156589821661592,1507,2299,0.0106171201061712,1501,2,7.3,3.47506723022861,32.3,"aNone","Optech- Eagle","ES&S Automark",44897,2712,33203,7.04879938032533,28.7693561532192,98.6725663716814,0,0.25811209439528,53.3185840707965,62,2.21,31.9842109968517
"TOWN-OF-SPRINGVILLE-WARD-1-2-ADAMS","01032","TOWN-OF-SPRINGVILLE-WARD-1-2-ADAMS","TOWN OF SPRINGVILLE Wards 1 & 2","ADAMS","TOWN OF SPRINGVILLE ADAMS",53.6649214659686,45.2879581151832,0,0.538896746817539,0,0,0.0446194225721785,0,0,0,0.041018387553041,381,707,0.005249343832021,382,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1233,20753,5.80912863070539,10.828025477707,97.242497972425,0.16220600162206,2.18978102189781,51.0137875101379,48.3,2.56,68.1340770561265
"TOWN-OF-STRONGS-PRAIRIE-WARD-1-2-ADAMS","01034","TOWN-OF-STRONGS-PRAIRIE-WARD-1-2-ADAMS","TOWN OF STRONGS PRAIRIE Wards 1 & 2","ADAMS","TOWN OF STRONGS PRAIRIE ADAMS",48.792270531401,49.2753623188406,0.241545893719807,0.604255319148936,0.922535211267606,0,0.0610328638497653,393,0.00234741784037559,0,0.0326241134751773,426,705,0.00469483568075117,414,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,1109,22168,4.24778761061947,11.2936344969199,99.2786293958521,0,2.34445446348061,51.5779981965735,55.6,2.32,17.7699538993352
"VILLAGE-OF-FRIENDSHIP-WARD-1-ADAMS","01126","VILLAGE-OF-FRIENDSHIP-WARD-1-ADAMS","VILLAGE OF FRIENDSHIP Ward 1","ADAMS","VILLAGE OF FRIENDSHIP ADAMS",44.3786982248521,54.4378698224852,0,0.452685421994885,0,0,0.135593220338983,0,0,0,0.0127877237851662,177,391,0.0112994350282486,169,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,696,19998,10.1123595505618,14.7826086956522,96.8390804597701,2.1551724137931,2.1551724137931,51.1494252873563,50.5,2.75,284.249451687536
"CITY-OF-ADAMS-WARD-1-5-ADAMS","01201","CITY-OF-ADAMS-WARD-1-5-ADAMS","CITY OF ADAMS Wards 1 - 5","ADAMS","CITY OF ADAMS ADAMS",42.8274428274428,53.6382536382536,0,0.461174242424242,0,1,0.102669404517454,0,0,0,0.992424242424242,487,1056,0.00205338809034908,481,2,7.3,3.47506723022861,32.3,"aNone","Optech/Command Central- Eagle","ES&S Automark",44897,1660,18198,6.65110851808635,17.7083333333333,95.4819277108434,0.301204819277108,4.87951807228916,46.8674698795181,46.5,2.35,370.116847877082
"CITY-OF-WISCONSIN-DELLS-WARD-5-ADAMS","01291","CITY-OF-WISCONSIN-DELLS-WARD-5-ADAMS","CITY OF WISCONSIN DELLS Ward 5","ADAMS","CITY OF WISCONSIN DELLS ADAMS",58.3333333333333,41.6666666666667,0,0.571428571428571,0,1,0.0833333333333333,0,0,0,0,12,21,0,12,2,7.3,3.47506723022861,32.3,NA,NA,NA,44897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
