"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2008","other_votes.rec2008","votes.tot2008","republican_votes.rec2008","dem.perc2008","rep.perc2008","oth.perc2008","dem.change.2008.num","rep.change.2008.num","oth.change.2008.num","dem.change.2008.perc","rep.change.2008.perc","oth.change.2008.perc","demwinner","demwinner2008","county","municipality","reporting_unit"
"619","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-19-DANE","CITY OF MADISON WARD 19 DANE","CITY OF MADISON","DANE",558,80.4034582132565,44,694,6.34005763688761,92,13.2564841498559,1375,28,1754,351,78.3922462941847,20.0114025085519,1.5963511972634,-817,-259,16,2.01121191907177,-6.75491835869597,4.74370643962421,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"620","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-2-DANE","CITY OF MADISON WARD 2 DANE","CITY OF MADISON","DANE",731,73.9878542510121,65,988,6.57894736842105,192,19.4331983805668,1576,26,2249,647,70.0755891507337,28.7683414851045,1.15606936416185,-845,-455,39,3.91226510027847,-9.33514310453769,5.4228780042592,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"621","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-20-DANE","CITY OF MADISON WARD 20 DANE","CITY OF MADISON","DANE",137,81.0650887573965,7,169,4.14201183431953,25,14.792899408284,368,4,487,115,75.564681724846,23.6139630390144,0.82135523613963,-231,-90,3,5.50040703255046,-8.82106363073035,3.3206565981799,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"622","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-21-DANE","CITY OF MADISON WARD 21 DANE","CITY OF MADISON","DANE",644,77.125748502994,64,835,7.66467065868263,127,15.2095808383234,316,4,356,36,88.7640449438202,10.1123595505618,1.12359550561798,328,91,60,-11.6382964408262,5.09722128776156,6.54107515306466,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"623","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-22-DANE","CITY OF MADISON WARD 22 DANE","CITY OF MADISON","DANE",999,75.9695817490494,83,1315,6.31178707224335,233,17.7186311787072,784,14,1054,256,74.3833017077799,24.2884250474383,1.32827324478178,215,-23,69,1.58628004126955,-6.5697938687311,4.98351382746156,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"624","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-23-DANE","CITY OF MADISON WARD 23 DANE","CITY OF MADISON","DANE",415,68.7086092715232,48,604,7.94701986754967,141,23.3443708609272,700,13,824,111,84.9514563106796,13.4708737864078,1.57766990291262,-285,30,35,-16.2428470391564,9.87349707451939,6.36934996463705,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"625","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-24-DANE","CITY OF MADISON WARD 24 DANE","CITY OF MADISON","DANE",462,65.4390934844193,43,706,6.09065155807365,201,28.4702549575071,1037,25,1299,237,79.8306389530408,18.2448036951501,1.92455735180908,-575,-36,18,-14.3915454686215,10.225451262357,4.16609420626457,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"626","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-25-DANE","CITY OF MADISON WARD 25 DANE","CITY OF MADISON","DANE",1382,75.9758108851017,119,1819,6.54205607476635,318,17.4821330401319,1899,29,2650,722,71.6603773584906,27.2452830188679,1.09433962264151,-517,-404,90,4.31543352661114,-9.76314997873598,5.44771645212484,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"627","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-26-DANE","CITY OF MADISON WARD 26 DANE","CITY OF MADISON","DANE",722,70.7843137254902,76,1020,7.45098039215686,222,21.7647058823529,231,5,281,45,82.2064056939502,16.0142348754448,1.77935943060498,491,177,71,-11.42209196846,5.7504710069081,5.67162096155188,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"628","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-27-DANE","CITY OF MADISON WARD 27 DANE","CITY OF MADISON","DANE",11,68.75,3,16,18.75,2,12.5,1171,20,1436,245,81.5459610027855,17.0612813370474,1.39275766016713,-1160,-243,-17,-12.7959610027855,-4.56128133704735,17.3572423398329,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"629","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-28-DANE","CITY OF MADISON WARD 28 DANE","CITY OF MADISON","DANE",896,81.3805631244323,91,1101,8.26521344232516,114,10.3542234332425,217,5,251,29,86.4541832669323,11.5537848605578,1.99203187250996,679,85,86,-5.07362014249993,-1.19956142731526,6.2731815698152,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"630","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-29-DANE","CITY OF MADISON WARD 29 DANE","CITY OF MADISON","DANE",2016,87.9197557784562,149,2293,6.49803750545137,128,5.58220671609246,213,3,292,76,72.9452054794521,26.027397260274,1.02739726027397,1803,52,146,14.9745502990041,-20.4451905441815,5.4706402451774,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"631","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-3-DANE","CITY OF MADISON WARD 3 DANE","CITY OF MADISON","DANE",558,72.4675324675325,33,770,4.28571428571429,179,23.2467532467532,837,16,1175,322,71.2340425531915,27.4042553191489,1.36170212765957,-279,-143,17,1.23348991434098,-4.15750207239569,2.92401215805471,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"632","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-30-DANE","CITY OF MADISON WARD 30 DANE","CITY OF MADISON","DANE",716,78.941565600882,81,907,8.93054024255788,110,12.1278941565601,847,18,1037,172,81.6779170684667,16.5863066538091,1.7357762777242,-131,-62,63,-2.7363514675847,-4.45841249724898,7.19476396483368,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"633","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-31-DANE","CITY OF MADISON WARD 31 DANE","CITY OF MADISON","DANE",802,79.0147783251231,68,1015,6.69950738916256,145,14.2857142857143,787,25,928,116,84.8060344827586,12.5,2.69396551724138,15,29,43,-5.79125615763547,1.78571428571428,4.00554187192118,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"634","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-32-DANE","CITY OF MADISON WARD 32 DANE","CITY OF MADISON","DANE",527,80.2130898021309,35,657,5.32724505327245,95,14.4596651445967,1594,43,1766,129,90.2604756511891,7.30464326160815,2.43488108720272,-1067,-34,-8,-10.0473858490582,7.1550218829885,2.89236396606973,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"635","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-33-DANE","CITY OF MADISON WARD 33 DANE","CITY OF MADISON","DANE",641,81.0366624525917,34,791,4.29835651074589,116,14.6649810366625,2325,51,2509,133,92.6664009565564,5.30091669988043,2.03268234356317,-1684,-17,-17,-11.6297385039647,9.36406433678202,2.26567416718272,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"636","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-34-DANE","CITY OF MADISON WARD 34 DANE","CITY OF MADISON","DANE",664,81.9753086419753,41,810,5.06172839506173,105,12.962962962963,2594,56,2767,117,93.7477412359957,4.22840621611854,2.0238525478858,-1930,-12,-15,-11.7724325940204,8.73455674684442,3.03787584717593,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"637","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-35-DANE","CITY OF MADISON WARD 35 DANE","CITY OF MADISON","DANE",822,78.9625360230548,65,1041,6.24399615754083,154,14.7934678194044,1639,47,1761,75,93.0721181147075,4.25894378194208,2.66893810335037,-817,79,18,-14.1095820916528,10.5345240374623,3.57505805419046,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"638","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-36-DANE","CITY OF MADISON WARD 36 DANE","CITY OF MADISON","DANE",791,75.0474383301708,62,1054,5.88235294117647,201,19.0702087286528,474,11,536,51,88.4328358208955,9.51492537313433,2.05223880597015,317,150,51,-13.3853974907248,9.55528335551842,3.83011413520632,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"639","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-37-DANE","CITY OF MADISON WARD 37 DANE","CITY OF MADISON","DANE",1086,77.8494623655914,90,1395,6.45161290322581,219,15.6989247311828,1386,34,1537,117,90.1756668835394,7.61223162003904,2.2121014964216,-300,102,56,-12.326204517948,8.08669311114376,4.23951140680421,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"640","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-38-DANE","CITY OF MADISON WARD 38 DANE","CITY OF MADISON","DANE",1778,72.4826742763963,118,2453,4.81043620057073,557,22.706889523033,1199,36,1313,78,91.3175932977913,5.94059405940594,2.74181264280274,579,479,82,-18.8349190213951,16.7662954636271,2.06862355776799,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"641","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-39-DANE","CITY OF MADISON WARD 39 DANE","CITY OF MADISON","DANE",1232,87.3758865248227,94,1410,6.66666666666667,84,5.95744680851064,1927,59,2159,173,89.2542843909217,8.01296896711441,2.73274664196387,-695,-89,35,-1.87839786609902,-2.05552215860377,3.9339200247028,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"642","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-4-DANE","CITY OF MADISON WARD 4 DANE","CITY OF MADISON","DANE",394,69.7345132743363,31,565,5.48672566371681,140,24.7787610619469,1004,13,1402,385,71.6119828815977,27.4607703281027,0.927246790299572,-610,-245,18,-1.87746960726143,-2.68200926615581,4.55947887341724,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"643","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-40-DANE","CITY OF MADISON WARD 40 DANE","CITY OF MADISON","DANE",2067,89.8305084745763,137,2301,5.95393307257714,97,4.21555845284659,1287,35,1572,250,81.8702290076336,15.9033078880407,2.2264631043257,780,-153,102,7.96027946694269,-11.6877494351941,3.72746996825144,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"644","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-41-DANE","CITY OF MADISON WARD 41 DANE","CITY OF MADISON","DANE",2199,91.4725457570715,114,2404,4.74209650582363,91,3.78535773710483,1189,25,1418,204,83.8504936530324,14.3864598025388,1.76304654442877,1010,-113,89,7.6220521040391,-10.601102065434,2.97904996139485,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"645","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-42-DANE","CITY OF MADISON WARD 42 DANE","CITY OF MADISON","DANE",2252,91.2849614916903,158,2467,6.40453992703689,57,2.3104985812728,2074,35,2578,469,80.4499612102405,18.1923972071373,1.35764158262219,178,-412,123,10.8350002814498,-15.8818986258645,5.0468983444147,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"646","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-43-DANE","CITY OF MADISON WARD 43 DANE","CITY OF MADISON","DANE",338,84.7117794486216,34,399,8.52130325814536,27,6.76691729323308,1517,45,1845,283,82.2222222222222,15.3387533875339,2.4390243902439,-1179,-256,-11,2.48955722639934,-8.5718360943008,6.08227886790146,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"647","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-44-DANE","CITY OF MADISON WARD 44 DANE","CITY OF MADISON","DANE",1500,88.6524822695035,116,1692,6.85579196217494,76,4.49172576832151,2856,78,3586,652,79.6430563301729,18.1818181818182,2.17512548800892,-1356,-576,38,9.00942593933064,-13.6900924134967,4.68066647416602,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"648","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-45-DANE","CITY OF MADISON WARD 45 DANE","CITY OF MADISON","DANE",2432,87.4191229331416,217,2782,7.80014378145219,133,4.78073328540618,1601,38,2239,600,71.5051362215275,26.7976775346137,1.69718624385887,831,-467,179,15.9139867116142,-22.0169442492075,6.10295753759333,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"649","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-46-DANE","CITY OF MADISON WARD 46 DANE","CITY OF MADISON","DANE",1944,86.3616170590848,179,2251,7.95202132385606,128,5.68636161705908,1657,39,2023,327,81.9080573405833,16.1641127039051,1.92782995551162,287,-199,140,4.45355971850155,-10.477751086846,6.02419136834445,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"650","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-47-DANE","CITY OF MADISON WARD 47 DANE","CITY OF MADISON","DANE",1427,73.8612836438923,166,1932,8.59213250517598,339,17.5465838509317,1029,24,1349,296,76.2787249814677,21.9421793921423,1.77909562638992,398,43,142,-2.41744133757541,-4.39559554121065,6.81303687878607,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"651","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-48-DANE","CITY OF MADISON WARD 48 DANE","CITY OF MADISON","DANE",640,78.0487804878049,65,820,7.92682926829268,115,14.0243902439024,1471,34,2002,497,73.4765234765235,24.8251748251748,1.6983016983017,-831,-382,31,4.57225701128139,-10.8007845812724,6.22852756999098,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"652","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-49-DANE","CITY OF MADISON WARD 49 DANE","CITY OF MADISON","DANE",1883,73.4972677595628,180,2562,7.02576112412178,499,19.4769711163154,744,15,881,122,84.4494892167991,13.8479001135074,1.70261066969353,1139,377,165,-10.9522214572362,5.629071002808,5.32315045442825,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"653","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-5-DANE","CITY OF MADISON WARD 5 DANE","CITY OF MADISON","DANE",667,70.7317073170732,69,943,7.31707317073171,207,21.9512195121951,1833,23,2513,657,72.9407083167529,26.1440509351373,0.915240748109829,-1166,-450,46,-2.20900099967972,-4.19283142294216,6.40183242262188,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"654","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-50-DANE","CITY OF MADISON WARD 50 DANE","CITY OF MADISON","DANE",1813,75.4787676935887,187,2402,7.78517901748543,402,16.7360532889259,1981,45,2441,415,81.1552642359689,17.0012290045063,1.84350675952478,-168,-13,142,-5.67649654238018,-0.265175715580455,5.94167225796064,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"655","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-51-DANE","CITY OF MADISON WARD 51 DANE","CITY OF MADISON","DANE",1183,81.5299793246037,95,1451,6.54720882150241,173,11.9228118538939,914,26,1037,97,88.1388621022179,9.35390549662488,2.50723240115718,269,76,69,-6.60888277761423,2.56890635726899,4.03997642034523,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"656","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-52-DANE","CITY OF MADISON WARD 52 DANE","CITY OF MADISON","DANE",493,83.843537414966,43,588,7.31292517006803,52,8.84353741496599,1496,32,1694,166,88.3116883116883,9.79929161747343,1.88902007083825,-1003,-114,11,-4.46815089672234,-0.955754202507448,5.42390509922977,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"657","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-53-DANE","CITY OF MADISON WARD 53 DANE","CITY OF MADISON","DANE",2476,82.9202947086403,228,2986,7.63563295378433,282,9.44407233757535,545,12,581,24,93.8037865748709,4.13080895008606,2.06540447504303,1931,258,216,-10.8834918662306,5.31326338748929,5.5702284787413,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"658","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-54-DANE","CITY OF MADISON WARD 54 DANE","CITY OF MADISON","DANE",472,67.3323823109843,63,701,8.98716119828816,166,23.6804564907275,822,17,1033,194,79.5740561471442,18.7802516940949,1.64569215876089,-350,-28,46,-12.2416738361599,4.90020479663266,7.34146903952727,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"659","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-55-DANE","CITY OF MADISON WARD 55 DANE","CITY OF MADISON","DANE",2159,67.6802507836991,385,3190,12.0689655172414,646,20.2507836990596,93,3,100,4,93,4,3,2066,642,382,-25.3197492163009,16.2507836990596,9.06896551724138,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"660","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-56-DANE","CITY OF MADISON WARD 56 DANE","CITY OF MADISON","DANE",1280,61.1562350692786,173,2093,8.26564739608218,640,30.5781175346393,1047,25,1308,236,80.045871559633,18.0428134556575,1.91131498470948,233,404,148,-18.8896364903545,12.5353040789818,6.3543324113727,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"661","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-57-DANE","CITY OF MADISON WARD 57 DANE","CITY OF MADISON","DANE",817,78.1070745697897,75,1046,7.17017208413002,154,14.7227533460803,514,7,572,51,89.8601398601399,8.91608391608392,1.22377622377622,303,103,68,-11.7530652903502,5.80666942999639,5.9463958603538,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"662","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-58-DANE","CITY OF MADISON WARD 58 DANE","CITY OF MADISON","DANE",751,72.7008712487899,91,1033,8.80929332042594,191,18.4898354307841,375,9,437,53,85.812356979405,12.1281464530892,2.05949656750572,376,138,82,-13.1114857306151,6.36168897769488,6.74979675292022,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"663","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-59-DANE","CITY OF MADISON WARD 59 DANE","CITY OF MADISON","DANE",871,65,138,1340,10.2985074626866,331,24.7014925373134,924,13,1157,220,79.8617113223855,19.0146931719965,1.12359550561798,-53,111,125,-14.8617113223855,5.68679936531689,9.17491195706859,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"664","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-6-DANE","CITY OF MADISON WARD 6 DANE","CITY OF MADISON","DANE",1259,75.8433734939759,86,1660,5.18072289156627,315,18.9759036144578,998,21,1422,403,70.182841068917,28.3403656821378,1.47679324894515,261,-88,65,5.66053242505888,-9.36446206768001,3.70392964262112,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"665","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-60-DANE","CITY OF MADISON WARD 60 DANE","CITY OF MADISON","DANE",426,79.4776119402985,56,536,10.4477611940298,54,10.0746268656716,382,10,521,129,73.320537428023,24.7600767754319,1.91938579654511,44,-75,46,6.15707451227549,-14.6854499097602,8.52837539748474,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"666","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-61-DANE","CITY OF MADISON WARD 61 DANE","CITY OF MADISON","DANE",1754,78.268630075859,225,2241,10.0401606425703,262,11.6912092815707,1789,53,2298,456,77.8503046127067,19.8433420365535,2.30635335073977,-35,-194,172,0.4183254631523,-8.15213275498279,7.73380729183051,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"667","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-62-DANE","CITY OF MADISON WARD 62 DANE","CITY OF MADISON","DANE",746,89.7713598074609,41,831,4.9338146811071,44,5.29482551143201,789,33,1074,252,73.463687150838,23.463687150838,3.07262569832402,-43,-208,8,16.3076726566229,-18.168861639406,1.86118898278308,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"668","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-63-DANE","CITY OF MADISON WARD 63 DANE","CITY OF MADISON","DANE",1518,85.1851851851852,119,1782,6.67789001122334,145,8.13692480359147,491,21,611,99,80.3600654664484,16.20294599018,3.43698854337152,1027,46,98,4.82511971873674,-8.06602118658856,3.24090146785182,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"669","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-64-DANE","CITY OF MADISON WARD 64 DANE","CITY OF MADISON","DANE",1244,88.1644223954642,77,1411,5.45712260807938,90,6.37845499645641,1499,19,1714,196,87.4562427071179,11.4352392065344,1.10851808634772,-255,-106,58,0.708179688346362,-5.05678421007801,4.34860452173165,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"670","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-65-DANE","CITY OF MADISON WARD 65 DANE","CITY OF MADISON","DANE",2258,87.8599221789883,123,2570,4.78599221789883,189,7.35408560311284,1303,20,1489,166,87.5083948959033,11.1484217595702,1.34318334452653,955,23,103,0.351527283085048,-3.79433615645734,3.44280887337231,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"671","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-66-DANE","CITY OF MADISON WARD 66 DANE","CITY OF MADISON","DANE",1911,79.0322580645161,220,2418,9.09842845326716,287,11.8693134822167,1541,18,1737,178,88.7161773172136,10.2475532527346,1.03626943005181,370,109,202,-9.68391925269745,1.62176022948211,8.06215902321535,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"672","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-67-DANE","CITY OF MADISON WARD 67 DANE","CITY OF MADISON","DANE",913,84.6153846153846,81,1079,7.50695088044486,85,7.87766450417053,1846,28,2214,340,83.3785004516712,15.356820234869,1.2646793134598,-933,-255,53,1.23688416371344,-7.47915573069849,6.24227156698506,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"673","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-68-DANE","CITY OF MADISON WARD 68 DANE","CITY OF MADISON","DANE",917,85.8614232209738,80,1068,7.49063670411985,71,6.64794007490637,711,9,798,78,89.0977443609023,9.77443609022556,1.12781954887218,206,-7,71,-3.23632113992846,-3.1264960153192,6.36281715524767,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"674","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-69-DANE","CITY OF MADISON WARD 69 DANE","CITY OF MADISON","DANE",1522,86.0373092142453,104,1769,5.87902769926512,143,8.08366308648954,1207,17,1496,272,80.6818181818182,18.1818181818182,1.13636363636364,315,-129,87,5.35549103242717,-10.0981550953286,4.74266406290148,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"675","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-7-DANE","CITY OF MADISON WARD 7 DANE","CITY OF MADISON","DANE",678,67.1287128712871,71,1010,7.02970297029703,261,25.8415841584158,1263,21,1652,368,76.452784503632,22.2760290556901,1.27118644067797,-585,-107,50,-9.32407163234483,3.56555510272577,5.75851652961906,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"676","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-70-DANE","CITY OF MADISON WARD 70 DANE","CITY OF MADISON","DANE",836,75.4512635379061,66,1108,5.95667870036101,206,18.5920577617329,1468,18,1684,198,87.1733966745843,11.7577197149644,1.06888361045131,-632,8,48,-11.7221331366782,6.83433804676848,4.88779508990971,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"677","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-71-DANE","CITY OF MADISON WARD 71 DANE","CITY OF MADISON","DANE",1177,80.5061559507524,66,1462,4.51436388508892,219,14.9794801641587,827,9,922,86,89.6963123644252,9.32754880694143,0.976138828633406,350,133,57,-9.19015641367278,5.65193135721726,3.53822505645551,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"678","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-72-DANE","CITY OF MADISON WARD 72 DANE","CITY OF MADISON","DANE",504,87.3483535528596,31,577,5.37261698440208,42,7.2790294627383,1169,17,1419,233,82.3819591261452,16.4200140944327,1.19802677942213,-665,-191,14,4.96639442671444,-9.1409846316944,4.17459020497995,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"679","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-73-DANE","CITY OF MADISON WARD 73 DANE","CITY OF MADISON","DANE",584,83.4285714285714,52,700,7.42857142857143,64,9.14285714285714,1270,31,1593,292,79.7237915881984,18.330194601381,1.94601381042059,-686,-228,21,3.70477984037306,-9.1873374585239,5.48255761815084,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"680","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-74-DANE","CITY OF MADISON WARD 74 DANE","CITY OF MADISON","DANE",378,84.375,31,448,6.91964285714286,39,8.70535714285714,1483,26,1802,293,82.2974472807991,16.2597114317425,1.44284128745838,-1105,-254,5,2.0775527192009,-7.55435428888536,5.47680156968448,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"681","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-75-DANE","CITY OF MADISON WARD 75 DANE","CITY OF MADISON","DANE",895,77.6909722222222,94,1152,8.15972222222222,163,14.1493055555556,1751,26,2235,458,78.34451901566,20.4921700223714,1.16331096196868,-856,-295,68,-0.653546793437741,-6.34286446681581,6.99641126025354,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"682","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-76-DANE","CITY OF MADISON WARD 76 DANE","CITY OF MADISON","DANE",651,85.997357992074,39,757,5.15191545574637,67,8.85072655217966,786,13,1038,239,75.7225433526011,23.0250481695568,1.252408477842,-135,-172,26,10.2748146394728,-14.1743216173772,3.89950697790436,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"683","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-77-DANE","CITY OF MADISON WARD 77 DANE","CITY OF MADISON","DANE",1213,73.5597331716192,99,1649,6.00363856882959,337,20.4366282595512,503,12,672,157,74.8511904761905,23.3630952380952,1.78571428571429,710,180,87,-1.29145730457131,-2.926466978544,4.21792428311531,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"684","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-78-DANE","CITY OF MADISON WARD 78 DANE","CITY OF MADISON","DANE",1929,84.4201312910284,122,2285,5.33916849015317,234,10.2407002188184,1058,16,1408,334,75.1420454545455,23.7215909090909,1.13636363636364,871,-100,106,9.27808583648299,-13.4808906902725,4.20280485378954,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
