"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2008","other_votes.rec2008","votes.tot2008","republican_votes.rec2008","dem.perc2008","rep.perc2008","oth.perc2008","dem.change.2008.num","rep.change.2008.num","oth.change.2008.num","dem.change.2008.perc","rep.change.2008.perc","oth.change.2008.perc","demwinner","demwinner2008","county","municipality","reporting_unit"
"111","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-22-ROCK","CITY OF BELOIT WARD 22 ROCK","CITY OF BELOIT","ROCK",337,52.4922118380062,46,642,7.16510903426791,259,40.3426791277259,393,14,757,350,51.9154557463672,46.2351387054161,1.84940554821664,-56,-91,32,0.576756091638991,-5.89245957769026,5.31570348605127,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"112","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-23-ROCK","CITY OF BELOIT WARD 23 ROCK","CITY OF BELOIT","ROCK",523,46.4476021314387,63,1126,5.59502664298401,540,47.9573712255773,511,8,967,448,52.8438469493278,46.3288521199586,0.827300930713547,12,92,55,-6.3962448178891,1.62851910561864,4.76772571227047,0,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"113","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-24-ROCK","CITY OF BELOIT WARD 24 ROCK","CITY OF BELOIT","ROCK",295,49.5798319327731,40,595,6.72268907563025,260,43.6974789915966,259,4,459,196,56.4270152505447,42.7015250544662,0.871459694989107,36,64,36,-6.84718331777155,0.995953937130409,5.85122938064115,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"114","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-3-ROCK","CITY OF BELOIT WARD 3 ROCK","CITY OF BELOIT","ROCK",347,47.1467391304348,49,736,6.65760869565217,340,46.195652173913,481,20,771,270,62.3865110246433,35.0194552529183,2.59403372243839,-134,70,29,-15.2397718942085,11.1761969209948,4.06357497321378,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"115","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-4-ROCK","CITY OF BELOIT WARD 4 ROCK","CITY OF BELOIT","ROCK",308,48.8888888888889,46,630,7.3015873015873,276,43.8095238095238,475,10,757,272,62.7476882430647,35.9313077939234,1.32100396301189,-167,4,36,-13.8587993541758,7.87821601560043,5.98058333857541,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"116","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-5-ROCK","CITY OF BELOIT WARD 5 ROCK","CITY OF BELOIT","ROCK",319,50.7154213036566,52,629,8.2670906200318,258,41.0174880763116,546,13,873,314,62.5429553264605,35.9679266895762,1.48911798396334,-227,-56,39,-11.8275340228039,5.04956138673543,6.77797263606845,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"117","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-6-ROCK","CITY OF BELOIT WARD 6 ROCK","CITY OF BELOIT","ROCK",295,61.9747899159664,43,476,9.03361344537815,138,28.9915966386555,383,1,535,151,71.588785046729,28.2242990654206,0.186915887850467,-88,-13,42,-9.61399513076258,0.767297573234906,8.84669755752768,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"118","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-7-ROCK","CITY OF BELOIT WARD 7 ROCK","CITY OF BELOIT","ROCK",306,67.5496688741722,31,453,6.84326710816777,116,25.60706401766,467,15,667,185,70.0149925037481,27.736131934033,2.24887556221889,-161,-69,16,-2.46532362957595,-2.12906791637294,4.59439154594888,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"119","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-8-ROCK","CITY OF BELOIT WARD 8 ROCK","CITY OF BELOIT","ROCK",30,68.1818181818182,1,44,2.27272727272727,13,29.5454545454545,329,12,519,178,63.3911368015414,34.2967244701349,2.3121387283237,-299,-165,-11,4.79068138027674,-4.75126992468033,-0.0394114555964262,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"120","CITY OF BELOIT ROCK","CITY-OF-BELOIT-WARD-9-ROCK","CITY OF BELOIT WARD 9 ROCK","CITY OF BELOIT","ROCK",272,59.1304347826087,33,460,7.17391304347826,155,33.695652173913,361,12,476,103,75.8403361344538,21.6386554621849,2.52100840336134,-89,52,21,-16.7099013518451,12.0569967117282,4.65290464011692,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1 ROCK"
"121","CITY OF BERLIN GREEN LAKE","CITY-OF-BERLIN-WARD-1-6-GREEN-LAKE","CITY OF BERLIN WARD 1-6 GREEN LAKE","CITY OF BERLIN","GREEN LAKE",774,34.6463742166517,114,2234,5.10295434198747,1346,60.2506714413608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"GREEN LAKE","CITY OF BERLIN","CITY OF BERLIN WARD 1-6 GREEN LAKE"
"122","CITY OF BERLIN WAUSHARA","CITY-OF-BERLIN-WARD-7-WAUSHARA","CITY OF BERLIN WARD 7 WAUSHARA","CITY OF BERLIN","WAUSHARA",15,28.3018867924528,3,53,5.66037735849057,35,66.0377358490566,17,0,50,33,34,66,0,-2,2,3,-5.69811320754717,0.0377358490566024,5.66037735849057,0,0,"WAUSHARA","CITY OF BERLIN","CITY OF BERLIN WARD 7 WAUSHARA"
