"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit"
"13","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-5-LANGLADE","CITY OF ANTIGO WARD 5 LANGLADE","CITY OF ANTIGO","LANGLADE",129,43.728813559322,14,295,4.74576271186441,152,51.5254237288136,183,2,339,154,53.9823008849557,45.4277286135693,0.589970501474926,-54,-2,12,-10.2534873256337,6.09769511524424,4.15579221038948,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"14","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-6-LANGLADE","CITY OF ANTIGO WARD 6 LANGLADE","CITY OF ANTIGO","LANGLADE",114,32.2033898305085,23,354,6.49717514124294,217,61.2994350282486,164,12,392,216,41.8367346938776,55.1020408163265,3.06122448979592,-50,1,11,-9.63334486336908,6.19739421192206,3.43595065144702,0,0,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"15","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-7-LANGLADE","CITY OF ANTIGO WARD 7 LANGLADE","CITY OF ANTIGO","LANGLADE",204,41.046277665996,15,497,3.01810865191147,278,55.9356136820926,236,6,518,276,45.5598455598456,53.2818532818533,1.15830115830116,-32,2,9,-4.51356789384958,2.65376040023927,1.85980749361031,0,0,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"16","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-8-LANGLADE","CITY OF ANTIGO WARD 8 LANGLADE","CITY OF ANTIGO","LANGLADE",120,33.4261838440111,10,359,2.78551532033426,229,63.7883008356546,184,7,373,182,49.3297587131367,48.7935656836461,1.87667560321716,-64,47,3,-15.9035748691256,14.9947351520085,0.908839717117104,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"17","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-9-LANGLADE","CITY OF ANTIGO WARD 9 LANGLADE","CITY OF ANTIGO","LANGLADE",133,31.0747663551402,18,428,4.20560747663551,277,64.7196261682243,227,9,460,224,49.3478260869565,48.695652173913,1.95652173913044,-94,53,9,-18.2730597318163,16.0239739943112,2.24908573750508,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"18","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-1-OUTAGAMIE","CITY OF APPLETON WARD 1 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",335,52.2620904836194,57,641,8.89235569422777,249,38.8455538221529,449,23,739,267,60.7577807848444,36.1299052774019,3.11231393775372,-114,-18,34,-8.49569030122503,2.71564854475099,5.78004175647405,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"19","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-10-OUTAGAMIE","CITY OF APPLETON WARD 10 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",321,51.6077170418006,23,622,3.69774919614148,278,44.6945337620579,358,10,653,285,54.8238897396631,43.6447166921899,1.53139356814701,-37,-7,13,-3.21617269786245,1.04981706986798,2.16635562799447,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"20","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-11-OUTAGAMIE","CITY OF APPLETON WARD 11 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",233,46.9758064516129,29,496,5.84677419354839,234,47.1774193548387,269,6,529,254,50.8506616257089,48.0151228733459,1.13421550094518,-36,-20,23,-3.87485517409598,-0.837703518507219,4.71255869260321,0,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"21","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-12-CALUMET","CITY OF APPLETON WARD 12 CALUMET","CITY OF APPLETON","CALUMET",151,46.8944099378882,17,322,5.27950310559006,154,47.8260869565217,86,1,155,68,55.4838709677419,43.8709677419355,0.645161290322581,65,86,16,-8.58946102985374,3.95511921458625,4.63434181526748,0,1,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12 CALUMET"
"22","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-13-CALUMET","CITY OF APPLETON WARD 13 CALUMET","CITY OF APPLETON","CALUMET",445,47.3908413205538,71,939,7.56123535676251,423,45.0479233226837,599,8,1025,418,58.4390243902439,40.780487804878,0.780487804878049,-154,5,63,-11.0481830696901,4.26743551780566,6.78074755188447,1,1,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12 CALUMET"
