"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit"
"660","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-56-DANE","CITY OF MADISON WARD 56 DANE","CITY OF MADISON","DANE",1280,61.127029608405,174,2094,8.30945558739255,640,30.5635148042025,1211,29,1982,742,61.0998990918264,37.4369323915237,1.46316851664985,69,-102,145,0.0271305165785307,-6.87341758732123,6.8462870707427,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"661","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-57-DANE","CITY OF MADISON WARD 57 DANE","CITY OF MADISON","DANE",816,78.3109404990403,72,1042,6.90978886756238,154,14.7792706333973,665,18,933,250,71.2754555198285,26.7952840300107,1.92926045016077,151,-96,54,7.03548497921179,-12.0160133966134,4.98052841740161,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"662","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-58-DANE","CITY OF MADISON WARD 58 DANE","CITY OF MADISON","DANE",751,72.9834791059281,87,1029,8.45481049562682,191,18.5617103984451,713,37,966,216,73.8095238095238,22.360248447205,3.83022774327122,38,-25,50,-0.826044703595727,-3.79853804875988,4.6245827523556,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"663","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-59-DANE","CITY OF MADISON WARD 59 DANE","CITY OF MADISON","DANE",871,65.3413353338335,131,1333,9.82745686421605,331,24.8312078019505,733,28,1108,347,66.1552346570397,31.3176895306859,2.52707581227437,138,-16,103,-0.813899323206257,-6.48648172873543,7.30038105194168,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"664","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-6-DANE","CITY OF MADISON WARD 6 DANE","CITY OF MADISON","DANE",1259,75.980687990344,83,1657,5.00905250452625,315,19.0102595051298,1315,17,1672,340,78.6483253588517,20.3349282296651,1.01674641148325,-56,-25,66,-2.66763736850768,-1.32466872453532,3.992306093043,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"665","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-60-DANE","CITY OF MADISON WARD 60 DANE","CITY OF MADISON","DANE",426,79.4776119402985,56,536,10.4477611940298,54,10.0746268656716,503,18,607,86,82.8665568369028,14.168039538715,2.96540362438221,-77,-32,38,-3.38894489660429,-4.09341267304335,7.48235756964764,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"666","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-61-DANE","CITY OF MADISON WARD 61 DANE","CITY OF MADISON","DANE",1751,78.5906642728905,214,2228,9.60502692998205,263,11.8043087971275,1677,80,2254,497,74.4010647737356,22.0496894409938,3.54924578527063,74,-234,134,4.18959949915491,-10.2453806438663,6.05578114471142,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"667","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-62-DANE","CITY OF MADISON WARD 62 DANE","CITY OF MADISON","DANE",746,89.7713598074609,41,831,4.9338146811071,44,5.29482551143201,719,3,808,86,88.9851485148515,10.6435643564356,0.371287128712871,27,-42,38,0.786211292609408,-5.34873884500363,4.56252755239423,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"668","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-63-DANE","CITY OF MADISON WARD 63 DANE","CITY OF MADISON","DANE",1519,85.2413019079686,118,1782,6.62177328843996,145,8.13692480359147,1467,27,1785,291,82.1848739495798,16.3025210084034,1.51260504201681,52,-146,91,3.05642795838874,-8.16559620481189,5.10916824642315,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"669","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-64-DANE","CITY OF MADISON WARD 64 DANE","CITY OF MADISON","DANE",1245,88.1728045325779,77,1412,5.45325779036827,90,6.37393767705382,1199,30,1390,161,86.2589928057554,11.5827338129496,2.15827338129496,46,-71,47,1.91381172682252,-5.20879613589582,3.29498440907331,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"670","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-65-DANE","CITY OF MADISON WARD 65 DANE","CITY OF MADISON","DANE",2258,88.1342701014832,115,2562,4.48868071818892,189,7.37704918032787,2124,46,2451,281,86.6585067319461,11.4647082823337,1.87678498572011,134,-92,69,1.47576336953706,-4.08765910200587,2.6118957324688,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"671","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-66-DANE","CITY OF MADISON WARD 66 DANE","CITY OF MADISON","DANE",1910,79.0235829540753,220,2417,9.10219280099297,287,11.8742242449317,1819,85,2335,431,77.9014989293362,18.458244111349,3.64025695931478,91,-144,135,1.12208402473911,-6.5840198664173,5.46193584167819,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"672","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-67-DANE","CITY OF MADISON WARD 67 DANE","CITY OF MADISON","DANE",913,84.6938775510204,80,1078,7.42115027829314,85,7.88497217068646,786,29,928,113,84.698275862069,12.176724137931,3.125,127,-28,51,-0.00439831104856125,-4.29175196724458,4.29615027829314,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"673","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-68-DANE","CITY OF MADISON WARD 68 DANE","CITY OF MADISON","DANE",917,85.941893158388,79,1067,7.40393626991565,71,6.65417057169635,876,39,1008,93,86.9047619047619,9.22619047619048,3.86904761904762,41,-22,40,-0.9628687463739,-2.57201990449413,3.53488865086803,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"674","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-69-DANE","CITY OF MADISON WARD 69 DANE","CITY OF MADISON","DANE",1523,86.0938383267383,103,1769,5.82249858677219,143,8.08366308648954,1513,33,1737,191,87.1042026482441,10.9959700633276,1.89982728842832,10,-48,70,-1.01036432150583,-2.91230697683803,3.92267129834386,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"675","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-7-DANE","CITY OF MADISON WARD 7 DANE","CITY OF MADISON","DANE",678,67.195242814668,69,1009,6.8384539147671,262,25.9663032705649,646,13,968,309,66.7355371900827,31.9214876033058,1.34297520661157,32,-47,56,0.459705624585339,-5.95518433274087,5.49547870815553,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"676","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-70-DANE","CITY OF MADISON WARD 70 DANE","CITY OF MADISON","DANE",836,75.4512635379061,65,1108,5.86642599277978,207,18.6823104693141,961,7,1211,243,79.3559042113955,20.0660611065235,0.578034682080925,-125,-36,58,-3.90464067348941,-1.38375063720946,5.28839131069886,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"677","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-71-DANE","CITY OF MADISON WARD 71 DANE","CITY OF MADISON","DANE",1177,80.6716929403701,63,1459,4.31802604523646,219,15.0102810143934,1236,19,1499,244,82.4549699799867,16.2775183455637,1.26751167444963,-59,-25,44,-1.78327703961654,-1.26723733117029,3.05051437078683,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"678","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-72-DANE","CITY OF MADISON WARD 72 DANE","CITY OF MADISON","DANE",506,87.5432525951557,30,578,5.19031141868512,42,7.26643598615917,571,9,626,46,91.2140575079872,7.3482428115016,1.43769968051118,-65,-4,21,-3.67080491283151,-0.0818068253424276,3.75261173817394,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"679","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-73-DANE","CITY OF MADISON WARD 73 DANE","CITY OF MADISON","DANE",584,83.5479256080114,51,699,7.29613733905579,64,9.15593705293276,645,17,717,55,89.9581589958159,7.67085076708508,2.37099023709902,-61,9,34,-6.41023338780445,1.48508628584768,4.92514710195677,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"680","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-74-DANE","CITY OF MADISON WARD 74 DANE","CITY OF MADISON","DANE",380,84.6325167037862,30,449,6.6815144766147,39,8.68596881959911,466,5,527,56,88.4250474383302,10.6261859582543,0.94876660341556,-86,-17,25,-3.79253073454399,-1.94021713865516,5.73274787319914,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"681","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-75-DANE","CITY OF MADISON WARD 75 DANE","CITY OF MADISON","DANE",896,78.3216783216783,85,1144,7.43006993006993,163,14.2482517482517,1005,20,1258,233,79.8887122416534,18.5214626391097,1.58982511923688,-109,-70,65,-1.56703391997509,-4.27321089085795,5.84024481083305,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"682","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-76-DANE","CITY OF MADISON WARD 76 DANE","CITY OF MADISON","DANE",651,85.997357992074,39,757,5.15191545574637,67,8.85072655217966,818,16,902,68,90.6873614190687,7.53880266075388,1.77383592017738,-167,-1,23,-4.69000342699476,1.31192389142578,3.37807953556898,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"683","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-77-DANE","CITY OF MADISON WARD 77 DANE","CITY OF MADISON","DANE",1213,74.0085417937767,89,1639,5.43014032946919,337,20.5613178767541,1247,26,1708,435,73.0093676814988,25.4683840749415,1.52224824355972,-34,-98,63,0.999174112277871,-4.90706619818734,3.90789208590947,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"684","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-78-DANE","CITY OF MADISON WARD 78 DANE","CITY OF MADISON","DANE",1930,84.6491228070175,116,2280,5.08771929824561,234,10.2631578947368,1897,34,2326,395,81.5563198624248,16.981943250215,1.46173688736028,33,-161,82,3.09280294459278,-6.71878535547812,3.62598241088534,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"685","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-79-DANE","CITY OF MADISON WARD 79 DANE","CITY OF MADISON","DANE",2161,84.0202177293935,136,2572,5.28771384136858,275,10.6920684292379,2099,30,2545,416,82.475442043222,16.3457760314342,1.17878192534381,62,-141,106,1.54477568617146,-5.65370760219624,4.10893191602477,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"686","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-8-DANE","CITY OF MADISON WARD 8 DANE","CITY OF MADISON","DANE",1155,69.620253164557,112,1659,6.75105485232067,392,23.6286919831224,1123,17,1603,463,70.0561447286338,28.8833437305053,1.06051154086089,32,-71,95,-0.43589156407684,-5.25465174738294,5.69054331145979,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"687","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-80-DANE","CITY OF MADISON WARD 80 DANE","CITY OF MADISON","DANE",157,85.3260869565217,5,184,2.71739130434783,22,11.9565217391304,132,1,172,39,76.7441860465116,22.6744186046512,0.581395348837209,25,-17,4,8.58190091001011,-10.7178968655207,2.13599595551062,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"688","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-81-DANE","CITY OF MADISON WARD 81 DANE","CITY OF MADISON","DANE",1356,85.7142857142857,81,1582,5.12010113780025,145,9.16561314791403,1254,28,1533,251,81.8003913894325,16.3731245923027,1.82648401826484,102,-106,53,3.91389432485323,-7.20751144438864,3.29361711953541,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"689","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-82-DANE","CITY OF MADISON WARD 82 DANE","CITY OF MADISON","DANE",1155,88.7096774193548,56,1302,4.3010752688172,91,6.98924731182796,1128,13,1280,139,88.125,10.859375,1.015625,27,-48,43,0.584677419354833,-3.87012768817204,3.2854502688172,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"690","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-83-DANE","CITY OF MADISON WARD 83 DANE","CITY OF MADISON","DANE",1242,86.5505226480836,55,1435,3.83275261324042,138,9.61672473867596,1238,13,1492,241,82.9758713136729,16.1528150134048,0.871313672922252,4,-103,42,3.5746513344107,-6.53609027472887,2.96143894031817,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"691","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-84-DANE","CITY OF MADISON WARD 84 DANE","CITY OF MADISON","DANE",1420,81.986143187067,101,1732,5.83140877598152,211,12.1824480369515,1345,41,1658,272,81.1218335343788,16.4053075995175,2.47285886610374,75,-61,60,0.864309652688192,-4.22285956256599,3.35854990987778,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"692","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-85-DANE","CITY OF MADISON WARD 85 DANE","CITY OF MADISON","DANE",1364,84.8258706467662,76,1608,4.72636815920398,168,10.4477611940298,1322,19,1611,270,82.0608317815022,16.7597765363128,1.17939168218498,42,-102,57,2.76503886526399,-6.312015342283,3.546976477019,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"693","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-86-DANE","CITY OF MADISON WARD 86 DANE","CITY OF MADISON","DANE",1602,82.6199071686436,110,1939,5.67302733367715,227,11.7070654976792,1543,21,1866,302,82.6902465166131,16.1843515541265,1.12540192926045,59,-75,89,-0.070339347969437,-4.47728605644726,4.5476254044167,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"694","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-87-DANE","CITY OF MADISON WARD 87 DANE","CITY OF MADISON","DANE",1512,75.6756756756757,110,1998,5.50550550550551,376,18.8188188188188,1466,19,2052,567,71.4424951267057,27.6315789473684,0.925925925925926,46,-191,91,4.23318054897003,-8.81276012854961,4.57957957957958,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"695","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-88-DANE","CITY OF MADISON WARD 88 DANE","CITY OF MADISON","DANE",1377,73.7942122186495,97,1866,5.19828510182208,392,21.0075026795284,1341,18,1908,549,70.2830188679245,28.7735849056604,0.943396226415094,36,-157,79,3.51119335072499,-7.76608222613197,4.25488887540699,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"696","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-89-DANE","CITY OF MADISON WARD 89 DANE","CITY OF MADISON","DANE",1507,79.3993677555321,79,1898,4.1622760800843,312,16.4383561643836,1422,31,1907,454,74.5673833245936,23.8070267435763,1.6255899318301,85,-142,48,4.83198443093853,-7.36867057919274,2.5366861482542,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"697","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-9-DANE","CITY OF MADISON WARD 9 DANE","CITY OF MADISON","DANE",1525,71.6298731798967,111,2129,5.21371535932363,493,23.1564114607797,1188,25,1652,439,71.9128329297821,26.5738498789346,1.51331719128329,337,54,86,-0.282959749885421,-3.41743841815492,3.70039816804033,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"698","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-90-DANE","CITY OF MADISON WARD 90 DANE","CITY OF MADISON","DANE",520,74.3919885550787,44,699,6.29470672389127,135,19.31330472103,567,9,731,155,77.5649794801642,21.203830369357,1.2311901504788,-47,-20,35,-3.17299092508547,-1.890525648327,5.06351657341248,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"699","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-91-DANE","CITY OF MADISON WARD 91 DANE","CITY OF MADISON","DANE",1068,80.1200300075019,70,1333,5.25131282820705,195,14.6286571642911,1083,14,1428,331,75.8403361344538,23.1792717086835,0.980392156862745,-15,-136,56,4.27969387304809,-8.5506145443924,4.27092067134431,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"700","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-92-DANE","CITY OF MADISON WARD 92 DANE","CITY OF MADISON","DANE",951,79.3823038397329,77,1198,6.42737896494157,170,14.1903171953255,1043,17,1277,217,81.6758026624902,16.9929522317933,1.33124510571652,-92,-47,60,-2.29349882275731,-2.80263503646772,5.09613385922505,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"701","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-93-DANE","CITY OF MADISON WARD 93 DANE","CITY OF MADISON","DANE",224,80.2867383512545,15,279,5.37634408602151,40,14.336917562724,264,6,303,33,87.1287128712871,10.8910891089109,1.98019801980198,-40,7,9,-6.84197452003265,3.44582845381312,3.39614606621952,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"702","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-94-DANE","CITY OF MADISON WARD 94 DANE","CITY OF MADISON","DANE",557,75.4742547425474,36,738,4.8780487804878,145,19.6476964769648,635,9,815,171,77.9141104294479,20.9815950920245,1.10429447852761,-78,-26,27,-2.43985568690043,-1.33389861505977,3.7737543019602,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"703","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-95-DANE","CITY OF MADISON WARD 95 DANE","CITY OF MADISON","DANE",1267,76.1876127480457,114,1663,6.85508117859291,282,16.9573060733614,1339,26,1720,355,77.8488372093023,20.6395348837209,1.51162790697674,-72,-73,88,-1.66122446125662,-3.68222881035954,5.34345327161616,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"704","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-96-DANE","CITY OF MADISON WARD 96 DANE","CITY OF MADISON","DANE",1068,75,103,1424,7.23314606741573,253,17.7668539325843,1027,21,1442,394,71.2205270457698,27.3231622746186,1.45631067961165,41,-141,82,3.77947295423023,-9.55630834203432,5.77683538780408,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"705","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-97-DANE","CITY OF MADISON WARD 97 DANE","CITY OF MADISON","DANE",1530,73.4165067178503,175,2084,8.39731285988484,379,18.1861804222649,1422,26,2007,559,70.8520179372197,27.8525161933234,1.2954658694569,108,-180,149,2.56448878063054,-9.66633577105849,7.10184699042794,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"706","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-98-DANE","CITY OF MADISON WARD 98 DANE","CITY OF MADISON","DANE",1753,71.5802368313597,193,2449,7.8807676602695,503,20.5389955083708,1660,40,2392,692,69.3979933110368,28.9297658862876,1.67224080267559,93,-189,153,2.18224352032294,-8.39077037791686,6.20852685759391,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"707","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-99-DANE","CITY OF MADISON WARD 99 DANE","CITY OF MADISON","DANE",577,73.5031847133758,55,785,7.00636942675159,153,19.4904458598726,631,18,846,197,74.5862884160756,23.2860520094563,2.12765957446809,-54,-44,37,-1.08310370269986,-3.79560614958366,4.87870985228351,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"708","CITY OF MANAWA WAUPACA","CITY-OF-MANAWA-WARD-1-3-WAUPACA","CITY OF MANAWA WARDS 1-3 WAUPACA","CITY OF MANAWA","WAUPACA",144,27.2727272727273,22,528,4.16666666666667,362,68.5606060606061,237,10,544,297,43.5661764705882,54.5955882352941,1.83823529411765,-93,65,12,-16.293449197861,13.9650178253119,2.32843137254902,0,0,"WAUPACA","CITY OF MANAWA","CITY OF MANAWA WARDS 1-3 WAUPACA"
"709","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-1-2-MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",585,41.3135593220339,121,1416,8.54519774011299,710,50.1412429378531,884,26,1533,623,57.6647097195042,40.6392694063927,1.69602087410307,-299,87,95,-16.3511503974703,9.50197353146041,6.84917686600993,0,1,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"710","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-11-12-MANITOWOC","CITY OF MANITOWOC WARDS 11-12 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",728,40.4444444444444,133,1800,7.38888888888889,939,52.1666666666667,952,30,1891,909,50.3437334743522,48.06980433633,1.58646218931782,-224,30,103,-9.89928902990775,4.09686233033668,5.80242669957107,0,1,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"711","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-13-14-MANITOWOC","CITY OF MANITOWOC WARDS 13-14 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",564,43.5857805255023,109,1294,8.42349304482226,621,47.9907264296754,824,17,1455,614,56.6323024054983,42.1993127147766,1.16838487972509,-260,7,92,-13.046521879996,5.79141371489879,7.25510816509717,0,1,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"712","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-15-16-MANITOWOC","CITY OF MANITOWOC WARDS 15-16 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",754,38.5480572597137,163,1956,8.33333333333333,1039,53.118609406953,956,23,2069,1090,46.2058965683905,52.6824552924118,1.11164813919768,-202,-51,140,-7.65783930867683,0.436154114541175,7.22168519413565,0,0,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"713","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-17-18-21-23-26-MANITOWOC","CITY OF MANITOWOC WARDS 17-18,21,23-26 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",618,42.2131147540984,109,1464,7.44535519125683,737,50.3415300546448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"714","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-19-20-27-MANITOWOC","CITY OF MANITOWOC WARDS 19-20,27 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",737,35.246293639407,163,2091,7.79531324725012,1191,56.9583931133429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"715","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-3-4-22-MANITOWOC","CITY OF MANITOWOC WARDS 3-4,22 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",651,41.7843388960205,128,1558,8.21566110397946,779,50,863,23,1616,730,53.4034653465347,45.1732673267327,1.42326732673267,-212,49,105,-11.6191264505141,4.82673267326732,6.79239377724679,0,1,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"716","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-5-6-MANITOWOC","CITY OF MANITOWOC WARDS 5-6 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",676,48.8439306358381,125,1384,9.03179190751445,583,42.1242774566474,891,36,1543,616,57.7446532728451,39.9222294232016,2.33311730395334,-215,-33,89,-8.90072263700696,2.20204803344584,6.69867460356111,1,1,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"717","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-7-8-MANITOWOC","CITY OF MANITOWOC WARDS 7-8 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",449,46.6735966735967,89,962,9.25155925155925,424,44.0748440748441,647,25,1011,339,63.9960435212661,33.5311572700297,2.47279920870425,-198,85,64,-17.3224468476694,10.5436868048144,6.778760042855,1,1,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"718","CITY OF MANITOWOC MANITOWOC","CITY-OF-MANITOWOC-WARD-9-10-MANITOWOC","CITY OF MANITOWOC WARDS 9-10 MANITOWOC","CITY OF MANITOWOC","MANITOWOC",579,39.2276422764228,114,1476,7.72357723577236,783,53.0487804878049,915,13,1608,680,56.9029850746269,42.2885572139304,0.808457711442786,-336,103,101,-17.6753427982041,10.7602232738745,6.91511952432957,0,1,"MANITOWOC","CITY OF MANITOWOC","CITY OF MANITOWOC WARDS 1-2 MANITOWOC"
"719","CITY OF MARINETTE MARINETTE","CITY-OF-MARINETTE-WARD-1-3-5-MARINETTE","CITY OF MARINETTE WARDS 1,3,5 MARINETTE","CITY OF MARINETTE","MARINETTE",642,40.1752190237797,71,1598,4.44305381727159,885,55.3817271589487,964,19,1691,708,57.0076877587226,41.8687167356594,1.12359550561798,-322,177,52,-16.8324687349429,13.5130104232893,3.31945831165361,0,1,"MARINETTE","CITY OF MARINETTE","CITY OF MARINETTE WARDS 1,3,5 MARINETTE"
"720","CITY OF MARINETTE MARINETTE","CITY-OF-MARINETTE-WARD-2-4-6-MARINETTE","CITY OF MARINETTE WARDS 2,4,6 MARINETTE","CITY OF MARINETTE","MARINETTE",615,38.6306532663317,87,1592,5.46482412060301,890,55.9045226130653,1048,37,1742,657,60.1607347876005,37.715269804822,2.1239954075775,-433,233,50,-21.5300815212688,18.1892528082433,3.34082871302552,0,1,"MARINETTE","CITY OF MARINETTE","CITY OF MARINETTE WARDS 1,3,5 MARINETTE"
"721","CITY OF MARINETTE MARINETTE","CITY-OF-MARINETTE-WARD-7-8-MARINETTE","CITY OF MARINETTE WARDS 7-8 MARINETTE","CITY OF MARINETTE","MARINETTE",488,38.5770750988142,73,1265,5.77075098814229,704,55.6521739130435,762,15,1336,559,57.0359281437126,41.8413173652695,1.12275449101796,-274,145,58,-18.4588530448983,13.810856547774,4.64799649712433,0,1,"MARINETTE","CITY OF MARINETTE","CITY OF MARINETTE WARDS 1,3,5 MARINETTE"
"722","CITY OF MARION WAUPACA","CITY-OF-MARION-WARD-1-3-WAUPACA","CITY OF MARION WARDS 1-3 WAUPACA","CITY OF MARION","WAUPACA",144,26.5193370165746,27,543,4.97237569060773,372,68.5082872928177,227,3,542,312,41.8819188191882,57.5645756457565,0.55350553505535,-83,60,24,-15.3625818026136,10.9437116470612,4.41887015555238,0,0,"WAUPACA","CITY OF MARION","CITY OF MARION WARDS 1-3 WAUPACA"
