"","county","cand","votes.rec","votes.perc","cand.group"
"477","Waupaca","Darrell Castle",109,0.43,"Other"
"478","Waupaca","Hillary Clinton",8303,32.57,"Clinton"
"479","Waupaca","Rocky Roque De La Fuente",18,0.07,"Other"
"480","Waupaca","Gary Johnson",793,3.11,"Other"
"481","Waupaca","Monica Moorehead",18,0.07,"Other"
"482","Waupaca","Jill Stein",237,0.93,"Other"
"483","Waupaca","Donald J. Trump",16013,62.82,"Trump"
"484","Waushara","Darrell Castle",67,0.56,"Other"
"485","Waushara","Hillary Clinton",3802,31.79,"Clinton"
"486","Waushara","Rocky Roque De La Fuente",7,0.06,"Other"
"487","Waushara","Gary Johnson",314,2.63,"Other"
"488","Waushara","Monica Moorehead",9,0.08,"Other"
"489","Waushara","Jill Stein",93,0.78,"Other"
"490","Waushara","Donald J. Trump",7669,64.12,"Trump"
"491","Winnebago","Darrell Castle",397,0.46,"Other"
"492","Winnebago","Hillary Clinton",37054,43.14,"Clinton"
"493","Winnebago","Rocky Roque De La Fuente",62,0.07,"Other"
"494","Winnebago","Gary Johnson",3820,4.45,"Other"
"495","Winnebago","Monica Moorehead",49,0.06,"Other"
"496","Winnebago","Jill Stein",1063,1.24,"Other"
"497","Winnebago","Donald J. Trump",43447,50.58,"Trump"
"498","Wood","Darrell Castle",181,0.48,"Other"
"499","Wood","Hillary Clinton",14232,37.74,"Clinton"
"500","Wood","Rocky Roque De La Fuente",14,0.04,"Other"
"501","Wood","Gary Johnson",1364,3.62,"Other"
"502","Wood","Monica Moorehead",27,0.07,"Other"
"503","Wood","Jill Stein",392,1.04,"Other"
"504","Wood","Donald J. Trump",21502,57.02,"Trump"
