"","county","cand","votes.rec","votes.perc","cand.group"
"111","Douglas","Jill Stein",337,1.52,"Other"
"112","Douglas","Donald J. Trump",9657,43.53,"Trump"
"113","Dunn","Darrell Castle",99,0.45,"Other"
"114","Dunn","Hillary Clinton",9025,40.97,"Clinton"
"115","Dunn","Rocky Roque De La Fuente",11,0.05,"Other"
"116","Dunn","Gary Johnson",1094,4.97,"Other"
"117","Dunn","Monica Moorehead",16,0.07,"Other"
"118","Dunn","Jill Stein",297,1.35,"Other"
"119","Dunn","Donald J. Trump",11487,52.14,"Trump"
"120","Eau Claire","Darrell Castle",247,0.46,"Other"
"121","Eau Claire","Hillary Clinton",27271,50.43,"Clinton"
"122","Eau Claire","Rocky Roque De La Fuente",36,0.07,"Other"
"123","Eau Claire","Gary Johnson",2500,4.62,"Other"
"124","Eau Claire","Monica Moorehead",26,0.05,"Other"
"125","Eau Claire","Jill Stein",699,1.29,"Other"
"126","Eau Claire","Donald J. Trump",23301,43.09,"Trump"
"127","Florence","Darrell Castle",6,0.23,"Other"
"128","Florence","Hillary Clinton",666,25.12,"Clinton"
"129","Florence","Rocky Roque De La Fuente",0,0,"Other"
"130","Florence","Gary Johnson",64,2.41,"Other"
"131","Florence","Monica Moorehead",1,0.04,"Other"
"132","Florence","Jill Stein",17,0.64,"Other"
"133","Florence","Donald J. Trump",1897,71.56,"Trump"
"134","Fond du Lac","Darrell Castle",242,0.47,"Other"
"135","Fond du Lac","Hillary Clinton",17391,34.04,"Clinton"
"136","Fond du Lac","Rocky Roque De La Fuente",23,0.05,"Other"
"137","Fond du Lac","Gary Johnson",1910,3.74,"Other"
"138","Fond du Lac","Monica Moorehead",35,0.07,"Other"
"139","Fond du Lac","Jill Stein",449,0.88,"Other"
"140","Fond du Lac","Donald J. Trump",31044,60.76,"Trump"
"141","Forest","Darrell Castle",17,0.38,"Other"
"142","Forest","Hillary Clinton",1583,35.12,"Clinton"
"143","Forest","Rocky Roque De La Fuente",2,0.04,"Other"
"144","Forest","Gary Johnson",80,1.78,"Other"
"145","Forest","Monica Moorehead",2,0.04,"Other"
"146","Forest","Jill Stein",36,0.8,"Other"
"147","Forest","Donald J. Trump",2787,61.84,"Trump"
"148","Grant","Darrell Castle",134,0.56,"Other"
"149","Grant","Hillary Clinton",10047,41.77,"Clinton"
"150","Grant","Rocky Roque De La Fuente",23,0.1,"Other"
"151","Grant","Gary Johnson",1167,4.85,"Other"
"152","Grant","Monica Moorehead",25,0.1,"Other"
"153","Grant","Jill Stein",308,1.28,"Other"
"154","Grant","Donald J. Trump",12347,51.34,"Trump"
