"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2008","other_votes.rec2008","votes.tot2008","republican_votes.rec2008","dem.perc2008","rep.perc2008","oth.perc2008","dem.change.2008.num","rep.change.2008.num","oth.change.2008.num","dem.change.2008.perc","rep.change.2008.perc","oth.change.2008.perc","demwinner","demwinner2008","county","municipality","reporting_unit"
"695","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-88-DANE","CITY OF MADISON WARD 88 DANE","CITY OF MADISON","DANE",1377,73.7942122186495,97,1866,5.19828510182208,392,21.0075026795284,425,6,517,86,82.2050290135397,16.6344294003868,1.1605415860735,952,306,91,-8.41081679489014,4.37307327914156,4.03774351574858,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"696","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-89-DANE","CITY OF MADISON WARD 89 DANE","CITY OF MADISON","DANE",1507,79.3993677555321,79,1898,4.1622760800843,312,16.4383561643836,524,7,708,177,74.0112994350282,25,0.988700564971752,983,135,72,5.38806832050389,-8.56164383561644,3.17357551511255,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"697","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-9-DANE","CITY OF MADISON WARD 9 DANE","CITY OF MADISON","DANE",1525,71.6298731798967,111,2129,5.21371535932363,493,23.1564114607797,605,6,719,108,84.144645340751,15.0208623087622,0.834492350486787,920,385,105,-12.5147721608544,8.13554915201754,4.37922300883684,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"698","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-90-DANE","CITY OF MADISON WARD 90 DANE","CITY OF MADISON","DANE",520,74.3919885550787,44,699,6.29470672389127,135,19.31330472103,793,27,1062,242,74.6704331450094,22.7871939736347,2.54237288135593,-273,-107,17,-0.278444589930729,-3.47388925260461,3.75233384253534,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"699","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-91-DANE","CITY OF MADISON WARD 91 DANE","CITY OF MADISON","DANE",1068,80.1200300075019,70,1333,5.25131282820705,195,14.6286571642911,1270,20,1761,471,72.1181147075525,26.7461669505963,1.13571834185122,-202,-276,50,8.00191529994935,-12.1175097863052,4.11559448635583,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"700","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-92-DANE","CITY OF MADISON WARD 92 DANE","CITY OF MADISON","DANE",951,79.3823038397329,77,1198,6.42737896494157,170,14.1903171953255,1694,19,2309,596,73.3650931139021,25.8120398440884,0.822867042009528,-743,-426,58,6.01721072583078,-11.6217226487628,5.60451192293204,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"701","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-93-DANE","CITY OF MADISON WARD 93 DANE","CITY OF MADISON","DANE",224,80.2867383512545,15,279,5.37634408602151,40,14.336917562724,1618,27,2100,455,77.047619047619,21.6666666666667,1.28571428571429,-1394,-415,-12,3.23911930363545,-7.32974910394265,4.09062980030722,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"702","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-94-DANE","CITY OF MADISON WARD 94 DANE","CITY OF MADISON","DANE",557,75.4742547425474,36,738,4.8780487804878,145,19.6476964769648,600,9,777,168,77.2200772200772,21.6216216216216,1.15830115830116,-43,-23,27,-1.74582247752979,-1.97392514465685,3.71974762218665,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"703","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-95-DANE","CITY OF MADISON WARD 95 DANE","CITY OF MADISON","DANE",1267,76.1876127480457,114,1663,6.85508117859291,282,16.9573060733614,592,8,727,127,81.4305364511692,17.4690508940853,1.10041265474553,675,155,106,-5.24292370312349,-0.511744820723887,5.75466852384738,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"704","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-96-DANE","CITY OF MADISON WARD 96 DANE","CITY OF MADISON","DANE",1068,75,103,1424,7.23314606741573,253,17.7668539325843,1478,18,1831,335,80.7209175314036,18.2960131075915,0.983069361004915,-410,-82,85,-5.7209175314036,-0.529159175007212,6.25007670641081,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"705","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-97-DANE","CITY OF MADISON WARD 97 DANE","CITY OF MADISON","DANE",1530,73.4165067178503,175,2084,8.39731285988484,379,18.1861804222649,289,4,400,107,72.25,26.75,1,1241,272,171,1.16650671785028,-8.56381957773512,7.39731285988484,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"706","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-98-DANE","CITY OF MADISON WARD 98 DANE","CITY OF MADISON","DANE",1753,71.5802368313597,193,2449,7.8807676602695,503,20.5389955083708,1568,25,2003,410,78.2825761357963,20.4692960559161,1.24812780828757,185,93,168,-6.70233930443658,0.069699452454639,6.63263985198193,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
"707","CITY OF MADISON DANE","CITY-OF-MADISON-WARD-99-DANE","CITY OF MADISON WARD 99 DANE","CITY OF MADISON","DANE",577,73.5031847133758,55,785,7.00636942675159,153,19.4904458598726,2410,30,3585,1145,67.2245467224547,31.9386331938633,0.836820083682008,-1833,-992,25,6.27863799092111,-12.4481873339907,6.16954934306958,1,1,"DANE","CITY OF MADISON","CITY OF MADISON WARD 1 DANE"
