"","muni_county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","voters.tot2016","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","turnout.2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","turnout.2016.perc","turnout.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","muni_county_veri_mach_agreed","bmd_makedominion_voting_systems","bmd_makeelection_systems_software","bmd_makenot_applicable","bmd_makepopulex","bmd_makepremier_diebold_dominion","bmd_makesequoia_dominion","bmd_makevote_pad","bmd_modelaccuvote_os","bmd_modelaccuvote_tsx","bmd_modelautomark","bmd_modelavc_edge","bmd_modelds200","bmd_modelexpressvote","bmd_modelimagecast_evolution","bmd_modelimagecast_precinct","bmd_modelivotronic","bmd_modelmodel_100","bmd_modelnot_applicable","bmd_modeloptech_iiip_eagle","bmd_modeloptech_insight","bmd_modelpopulexslate","bmd_modelvote_pad_ballot_marking_system","bmd_accessible_useno","bmd_accessible_useyes","bmd_absentee_ballotsno","bmd_absentee_ballotsyes","bmd_vvpatn_a","bmd_vvpatyes","hand_accessible_useno","hand_accessible_useyes","hand_absentee_ballotsno","hand_absentee_ballotsyes","hand_vvpatn_a","hand_vvpatyes","os_makedominion_voting_systems","os_makeelection_systems_software","os_makenot_applicable","os_makepopulex","os_makepremier_diebold_dominion","os_makesequoia_dominion","os_makevote_pad","os_modelaccuvote_os","os_modelaccuvote_tsx","os_modelautomark","os_modelavc_edge","os_modelds200","os_modelexpressvote","os_modelimagecast_evolution","os_modelimagecast_precinct","os_modelivotronic","os_modelmodel_100","os_modelnot_applicable","os_modeloptech_iiip_eagle","os_modeloptech_insight","os_modelpopulexslate","os_modelvote_pad_ballot_marking_system","os_accessible_useno","os_accessible_useyes","os_absentee_ballotsno","os_absentee_ballotsyes","os_vvpatn_a","os_vvpatyes","tch_makedominion_voting_systems","tch_makeelection_systems_software","tch_makenot_applicable","tch_makepopulex","tch_makepremier_diebold_dominion","tch_makesequoia_dominion","tch_makevote_pad","tch_modelaccuvote_os","tch_modelaccuvote_tsx","tch_modelautomark","tch_modelavc_edge","tch_modelds200","tch_modelexpressvote","tch_modelimagecast_evolution","tch_modelimagecast_precinct","tch_modelivotronic","tch_modelmodel_100","tch_modelnot_applicable","tch_modeloptech_iiip_eagle","tch_modeloptech_insight","tch_modelpopulexslate","tch_modelvote_pad_ballot_marking_system","tch_accessible_useno","tch_accessible_useyes","tch_absentee_ballotsno","tch_absentee_ballotsyes","tch_vvpatn_a","tch_vvpatyes","MCD_FIPS","precincts","total_registration","state","jurisdiction","division","equipment_type","polling_place","habitation","municipality","county","hand","os.use","tch.use","bmd.use"
"11","CITY OF APPLETON WINNEBAGO",207,46.2053571428571,42,448,9.375,633,199,44.4196428571429,288,10,491,193,77.567140600316,58.6558044806517,39.3075356415479,2.03665987780041,-81,6,32,-12.4504473377946,5.11210721559499,7.33834012219959,70.7740916271722,-6.79304897314375,1,1,"WINNEBAGO","CITY OF APPLETON","CITY OF APPLETON WARD 31",0,NA,NA,NA,"CITY OF APPLETON OUTAGAMIE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5513902375",59,36180,"Wisconsin","Outagamie City","Appleton","Ballot Marking Device or System","Yes","City","CITY OF APPLETON","OUTAGAMIE",0,1,0,1
"12","CITY OF ARCADIA TREMPEALEAU",292,36.5,37,800,4.625,1140,471,58.875,492,11,853,350,74.8245614035088,57.6787807737397,41.031652989449,1.28956623681125,-200,121,26,-21.1787807737397,17.843347010551,3.33543376318875,70.1754385964912,-4.64912280701755,0,1,"TREMPEALEAU","CITY OF ARCADIA","CITY OF ARCADIA WARDS 1-3",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","CITY OF ARCADIA TREMPEALEAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5512102500",1,1045,"Wisconsin","Trempealeau City","Arcadia","Optical Scan","Yes","City","CITY OF ARCADIA","TREMPEALEAU",0,1,1,0
"13","CITY OF ASHLAND ASHLAND",2348,58.3354037267081,289,4025,7.18012422360248,5291,1388,34.4844720496894,2741,78,4059,1240,76.7151767151767,67.5289480167529,30.5493964030549,1.92165558019217,-393,148,211,-9.19354429004481,3.9350756466345,5.25846864341032,76.0725760725761,-0.642600642600641,1,1,"ASHLAND","CITY OF ASHLAND","CITY OF ASHLAND WARD 1",1,"ES&S","ES&S M100","ES&S Automark","CITY OF ASHLAND ASHLAND",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5500303225",11,5018,"Wisconsin","Ashland City","Ashland","Ballot Marking Device or System","Yes","City","CITY OF ASHLAND","ASHLAND",0,1,0,1
"14","CITY OF AUGUSTA EAU CLAIRE",232,37.4193548387097,27,620,4.35483870967742,739,361,58.2258064516129,331,11,636,294,86.0622462787551,52.0440251572327,46.2264150943396,1.72955974842767,-99,67,16,-14.624670318523,11.9993913572733,2.62527896124975,83.8971583220568,-2.16508795669824,0,1,"EAU CLAIRE","CITY OF AUGUSTA","CITY OF AUGUSTA WARDS 1-5",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","CITY OF AUGUSTA EAU CLAIRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5503503825",1,749,"Wisconsin","Eau Claire City","Augusta","Optical Scan","Yes","City","CITY OF AUGUSTA","EAU CLAIRE",0,1,1,0
"15","CITY OF BARABOO SAUK",2900,51.391104022683,382,5643,6.76944887471203,6933,2361,41.839447102605,3621,74,5846,2151,84.3213616039233,61.939787889155,36.7943893260349,1.26582278481013,-721,210,308,-10.548683866472,5.0450577765701,5.50362608990191,81.3933362180874,-2.92802538583585,1,1,"SAUK","CITY OF BARABOO","CITY OF BARABOO WARD 1-14",1,"ES&S","ES&S DS200","ES&S ExpressVote","CITY OF BARABOO SAUK",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5511104625",1,6923,"Wisconsin","Sauk City","Baraboo","Ballot Marking Device or System","Yes","City","CITY OF BARABOO","SAUK",0,1,0,1
"16","CITY OF BARRON BARRON",511,37.518355359765,92,1362,6.75477239353891,1679,759,55.726872246696,713,19,1380,648,82.1917808219178,51.6666666666667,46.9565217391304,1.3768115942029,-202,111,73,-14.1483113069016,8.7703505075656,5.37796079933602,81.119714115545,-1.07206670637284,0,1,"BARRON","CITY OF BARRON","CITY OF BARRON WARD 1-7",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","CITY OF BARRON BARRON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5500504875",1,1624,"Wisconsin","Barron City","Barron","DRE-Touchscreen","Yes","City","CITY OF BARRON","BARRON",0,1,1,0
"17","CITY OF BAYFIELD BAYFIELD",253,72.9106628242075,21,347,6.05187319884726,440,73,21.0374639769452,260,4,354,90,80.4545454545455,73.4463276836158,25.4237288135593,1.12994350282486,-7,-17,17,-0.535664859408328,-4.38626483661408,4.9219296960224,78.8636363636364,-1.59090909090908,1,1,"BAYFIELD","CITY OF BAYFIELD","CITY OF BAYFIELD WARD 1-4",1,"ES&S","ES&S M100","ES&S Automark","CITY OF BAYFIELD BAYFIELD",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5500705350",1,430,"Wisconsin","Bayfield City","Bayfield","Optical Scan","Yes","City","CITY OF BAYFIELD","BAYFIELD",0,1,0,1
"18","CITY OF BEAVER DAM DODGE",3398,47.3919107391911,450,7170,6.27615062761506,8850,3322,46.3319386331939,4521,97,7532,2914,85.1073446327684,60.0238980350505,38.688263409453,1.28783855549655,-1123,408,353,-12.6319872958594,7.64367522374086,4.98831207211851,81.0169491525424,-4.09039548022599,1,1,"DODGE","CITY OF BEAVER DAM","CITY OF BEAVER DAM WARDS 1,3,5",1,"Dominion","Dominion (Premier)-Accuvote-OS","Dominion (Premier)-Accuvote TSX","CITY OF BEAVER DAM DODGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5502705900",6,8520,"Wisconsin","Dodge City","Beaver Dam","DRE-Touchscreen","Yes","City","CITY OF BEAVER DAM","DODGE",0,1,1,0
"19","CITY OF BELOIT ROCK",7926,58.5636175557854,876,13534,6.47258755726319,17998,4732,34.9637948869514,10419,193,15151,4539,84.1815757306367,68.7677381030955,29.9584185862319,1.27384331067256,-2493,193,683,-10.2041205473101,5.00537630071945,5.19874424659063,75.1972441382376,-8.98433159239916,1,1,"ROCK","CITY OF BELOIT","CITY OF BELOIT WARD 1",1,"ES&S","ES&S DS200","ES&S Automark","CITY OF BELOIT ROCK",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5510506500",25,17593,"Wisconsin","Rock City","Beloit","Ballot Marking Device or System","Yes","City","CITY OF BELOIT","ROCK",0,1,0,1
"20","CITY OF BERLIN GREEN LAKE",774,34.4306049822064,126,2248,5.60498220640569,2659,1348,59.9644128113879,1088,41,2337,1208,87.8901842798044,46.5554129225503,51.6902011125374,1.75438596491228,-314,140,85,-12.1248079403439,8.27421169885046,3.85059624149341,84.5430613012411,-3.34712297856338,0,0,"GREEN LAKE","CITY OF BERLIN","CITY OF BERLIN WARD 1-6",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","CITY OF BERLIN GREEN LAKE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5504706925",1,2669,"Wisconsin","Green Lake City","Berlin","DRE-Touchscreen","Yes","City","CITY OF BERLIN","GREEN LAKE",0,1,1,0
