"","muni_county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","voters.tot2016","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","turnout.2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","turnout.2016.perc","turnout.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","muni_county_veri_mach_agreed","bmd_makedominion_voting_systems","bmd_makeelection_systems_software","bmd_makenot_applicable","bmd_makepopulex","bmd_makepremier_diebold_dominion","bmd_makesequoia_dominion","bmd_makevote_pad","bmd_modelaccuvote_os","bmd_modelaccuvote_tsx","bmd_modelautomark","bmd_modelavc_edge","bmd_modelds200","bmd_modelexpressvote","bmd_modelimagecast_evolution","bmd_modelimagecast_precinct","bmd_modelivotronic","bmd_modelmodel_100","bmd_modelnot_applicable","bmd_modeloptech_iiip_eagle","bmd_modeloptech_insight","bmd_modelpopulexslate","bmd_modelvote_pad_ballot_marking_system","bmd_accessible_useno","bmd_accessible_useyes","bmd_absentee_ballotsno","bmd_absentee_ballotsyes","bmd_vvpatn_a","bmd_vvpatyes","hand_accessible_useno","hand_accessible_useyes","hand_absentee_ballotsno","hand_absentee_ballotsyes","hand_vvpatn_a","hand_vvpatyes","os_makedominion_voting_systems","os_makeelection_systems_software","os_makenot_applicable","os_makepopulex","os_makepremier_diebold_dominion","os_makesequoia_dominion","os_makevote_pad","os_modelaccuvote_os","os_modelaccuvote_tsx","os_modelautomark","os_modelavc_edge","os_modelds200","os_modelexpressvote","os_modelimagecast_evolution","os_modelimagecast_precinct","os_modelivotronic","os_modelmodel_100","os_modelnot_applicable","os_modeloptech_iiip_eagle","os_modeloptech_insight","os_modelpopulexslate","os_modelvote_pad_ballot_marking_system","os_accessible_useno","os_accessible_useyes","os_absentee_ballotsno","os_absentee_ballotsyes","os_vvpatn_a","os_vvpatyes","tch_makedominion_voting_systems","tch_makeelection_systems_software","tch_makenot_applicable","tch_makepopulex","tch_makepremier_diebold_dominion","tch_makesequoia_dominion","tch_makevote_pad","tch_modelaccuvote_os","tch_modelaccuvote_tsx","tch_modelautomark","tch_modelavc_edge","tch_modelds200","tch_modelexpressvote","tch_modelimagecast_evolution","tch_modelimagecast_precinct","tch_modelivotronic","tch_modelmodel_100","tch_modelnot_applicable","tch_modeloptech_iiip_eagle","tch_modeloptech_insight","tch_modelpopulexslate","tch_modelvote_pad_ballot_marking_system","tch_accessible_useno","tch_accessible_useyes","tch_absentee_ballotsno","tch_absentee_ballotsyes","tch_vvpatn_a","tch_vvpatyes","MCD_FIPS","precincts","total_registration","state","jurisdiction","division","equipment_type","polling_place","habitation","municipality","county","hand","os.use","tch.use","bmd.use"
"557","TOWN OF EMPIRE FOND DU LAC",546,31.2178387650086,108,1749,6.17495711835334,1958,1095,62.6072041166381,621,13,1846,1212,94.2798774259448,33.6403033586132,65.6554712892741,0.704225352112676,-75,-117,95,-2.42246459360464,-3.04826717263602,5.47073176624067,89.3258426966292,-4.95403472931564,0,0,"FOND DU LAC","TOWN OF EMPIRE","TOWN OF EMPIRE WARDS 1-4",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF EMPIRE FOND DU LAC",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5503924050",1,1969,"Wisconsin","Fond du Lac Town","Empire","Ballot Marking Device or System","Yes","Town","TOWN OF EMPIRE","FOND DU LAC",0,1,0,1
"558","TOWN OF ENTERPRISE ONEIDA",72,31.4410480349345,10,229,4.36681222707424,265,147,64.1921397379913,104,3,238,131,89.811320754717,43.6974789915966,55.0420168067227,1.26050420168067,-32,16,7,-12.2564309566621,9.15012293126858,3.10630802539356,86.4150943396226,-3.39622641509435,0,0,"ONEIDA","TOWN OF ENTERPRISE","TOWN OF ENTERPRISE WARD 1",0,NA,NA,NA,"TOWN OF ENTERPRISE ONEIDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5508524125",1,265,"Wisconsin","Oneida Town","Enterprise","DRE-Touchscreen","Yes","Town","TOWN OF ENTERPRISE","ONEIDA",1,0,1,0
"559","TOWN OF ERIN PRAIRIE ST. CROIX",129,32.6582278481013,26,395,6.58227848101266,433,240,60.7594936708861,143,6,389,240,89.838337182448,36.7609254498715,61.6966580976864,1.54241645244216,-14,0,20,-4.1026976017702,-0.937164426800294,5.0398620285705,91.2240184757506,1.38568129330255,0,0,"ST. CROIX","TOWN OF ERIN PRAIRIE","TOWN OF ERIN PRAIRIE WARD 1",1,"Dominion","Dominion (Premier)/Command Central-Accuvote-OS","Dominion (Sequoia)/Command Central-Edge","TOWN OF ERIN PRAIRIE ST. CROIX",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5510924275",1,436,"Wisconsin","St. Croix Town","Erin Prairie","Optical Scan","Yes","Town","TOWN OF ERIN PRAIRIE","ST. CROIX",0,1,0,1
"560","TOWN OF ERIN WASHINGTON",584,23.1746031746032,141,2520,5.5952380952381,2841,1795,71.2301587301587,654,39,2609,1916,91.8338613164379,25.0670755078574,73.438098888463,1.49482560367957,-70,-121,102,-1.89247233325424,-2.20794015830428,4.10041249155852,88.70116156283,-3.13269975360788,0,0,"WASHINGTON","TOWN OF ERIN","TOWN OF ERIN WARDS 1-4",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF ERIN WASHINGTON",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5513124225",1,2823,"Wisconsin","Washington Town","Erin","Optical Scan","Yes","Town","TOWN OF ERIN","WASHINGTON",0,1,0,1
"561","TOWN OF ESTELLA CHIPPEWA",59,25.9911894273128,6,227,2.6431718061674,249,162,71.3656387665198,95,2,212,115,85.140562248996,44.811320754717,54.2452830188679,0.943396226415094,-36,47,4,-18.8201313274042,17.1203557476519,1.69977557975231,91.1646586345382,6.02409638554217,0,0,"CHIPPEWA","TOWN OF ESTELLA","TOWN OF ESTELLA WARD 1",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF ESTELLA CHIPPEWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5501724375",1,253,"Wisconsin","Chippewa Town","Estella","Optical Scan","Yes","Town","TOWN OF ESTELLA","CHIPPEWA",0,1,1,0
"562","TOWN OF ETTRICK TREMPEALEAU",313,45.9618208516887,35,681,5.13950073421439,851,333,48.8986784140969,412,8,695,275,81.668625146886,59.2805755395683,39.568345323741,1.15107913669065,-99,58,27,-13.3187546878797,9.33033309035591,3.98842159752374,80.0235017626322,-1.64512338425382,0,1,"TREMPEALEAU","TOWN OF ETTRICK","TOWN OF ETTRICK WARDS 1-2",0,NA,NA,NA,"TOWN OF ETTRICK TREMPEALEAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5512124425",1,808,"Wisconsin","Trempealeau Town","Ettrick","DRE-Touchscreen","Yes","Town","TOWN OF ETTRICK","TREMPEALEAU",1,0,1,0
"563","TOWN OF EUREKA POLK",258,27.7717976318622,66,929,7.10441334768568,1040,605,65.1237890204521,356,13,895,526,86.0576923076923,39.7765363128492,58.7709497206704,1.45251396648045,-98,79,53,-12.004738680987,6.3528392997817,5.65189938120524,89.3269230769231,3.26923076923077,0,0,"POLK","TOWN OF EUREKA","TOWN OF EUREKA WARD 1-2",0,NA,NA,NA,"TOWN OF EUREKA POLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5509524450",1,1046,"Wisconsin","Polk Town","Eureka","Hand Counted Paper Ballots","Yes","Town","TOWN OF EUREKA","POLK",1,0,1,0
"564","TOWN OF EVERGREEN LANGLADE",72,25.8992805755396,11,278,3.9568345323741,345,195,70.1438848920863,122,1,280,157,81.1594202898551,43.5714285714286,56.0714285714286,0.357142857142857,-50,38,10,-17.672147995889,14.0724563206578,3.59969167523124,80.5797101449275,-0.579710144927532,0,0,"LANGLADE","TOWN OF EVERGREEN","TOWN OF EVERGREEN WARD 1",0,NA,NA,NA,"TOWN OF EVERGREEN LANGLADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5506724575",1,349,"Wisconsin","Langlade Town","Evergreen","DRE-Touchscreen","Yes","Town","TOWN OF EVERGREEN","LANGLADE",1,0,1,0
"565","TOWN OF EVERGREEN WASHBURN",226,32.8011611030479,34,689,4.93468795355588,779,429,62.2641509433962,315,9,674,350,86.5211810012837,46.7359050445104,51.9287833827893,1.3353115727003,-89,79,25,-13.9347439414625,10.3353675606069,3.59937638085558,88.4467265725289,1.92554557124519,0,0,"WASHBURN","TOWN OF EVERGREEN","TOWN OF EVERGREEN WARDS 1-2",0,NA,NA,NA,"TOWN OF EVERGREEN WASHBURN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5512924600",1,780,"Wisconsin","Washburn Town","Evergreen","DRE-Touchscreen","Yes","Town","TOWN OF EVERGREEN","WASHBURN",1,0,1,0
"566","TOWN OF EXCELSIOR SAUK",359,39.3209200438116,39,913,4.27163198247536,1125,515,56.407447973713,498,5,944,441,83.9111111111111,52.7542372881356,46.7161016949153,0.529661016949152,-139,74,34,-13.433317244324,9.69134627879778,3.7419709655262,81.1555555555556,-2.75555555555555,0,1,"SAUK","TOWN OF EXCELSIOR","TOWN OF EXCELSIOR WARDS 1-3",1,"ES&S","ES&S DS200","ES&S ExpressVote","TOWN OF EXCELSIOR SAUK",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5511124675",1,1045,"Wisconsin","Sauk Town","Excelsior","Ballot Marking Device or System","Yes","Town","TOWN OF EXCELSIOR","SAUK",0,1,0,1
"567","TOWN OF EXETER GREEN",682,58.6414445399828,75,1163,6.44883920894239,1300,406,34.9097162510748,740,8,1159,411,89.1538461538461,63.8481449525453,35.4616048317515,0.690250215703192,-58,-5,67,-5.2067004125625,-0.551888580676703,5.7585889932392,89.4615384615385,0.307692307692307,1,1,"GREEN","TOWN OF EXETER","TOWN OF EXETER WARDS 1-4",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF EXETER GREEN",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5504524725",1,1312,"Wisconsin","Green Town","Exeter","Ballot Marking Device or System","Yes","Town","TOWN OF EXETER","GREEN",0,1,0,1
"568","TOWN OF FAIRBANKS SHAWANO",56,17.7215189873418,17,316,5.37974683544304,374,243,76.8987341772152,105,3,328,220,87.7005347593583,32.0121951219512,67.0731707317073,0.914634146341463,-49,23,14,-14.2906761346095,9.82556344550787,4.46511268910158,84.4919786096257,-3.2085561497326,0,0,"SHAWANO","TOWN OF FAIRBANKS","TOWN OF FAIRBANKS WARD 1",0,NA,NA,NA,"TOWN OF FAIRBANKS SHAWANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5511524775",1,380,"Wisconsin","Shawano Town","Fairbanks","DRE-Touchscreen","Yes","Town","TOWN OF FAIRBANKS","SHAWANO",1,0,1,0
"569","TOWN OF FAIRCHILD EAU CLAIRE",37,25.8741258741259,6,143,4.1958041958042,176,100,69.9300699300699,65,2,145,78,82.3863636363636,44.8275862068966,53.7931034482759,1.37931034482759,-28,22,4,-18.9534603327707,16.1369664817941,2.81649385097661,81.25,-1.13636363636364,0,0,"EAU CLAIRE","TOWN OF FAIRCHILD","TOWN OF FAIRCHILD WARD 1",1,"Optech","Optech- Eagle","Dominion (Sequoia)/Command Central-Edge","TOWN OF FAIRCHILD EAU CLAIRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5503524850",1,167,"Wisconsin","Eau Claire Town","Fairchild","Optical Scan","Yes","Town","TOWN OF FAIRCHILD","EAU CLAIRE",0,1,1,0
"570","TOWN OF FAIRFIELD SAUK",296,45.1219512195122,27,656,4.11585365853659,742,333,50.7621951219512,398,9,654,247,88.1401617250674,60.8562691131498,37.7675840978593,1.37614678899083,-102,86,18,-15.7343178936377,12.9946110240919,2.73970686954576,88.4097035040431,0.269541778975736,0,1,"SAUK","TOWN OF FAIRFIELD","TOWN OF FAIRFIELD WARDS 1-2",1,"ES&S","ES&S DS200","ES&S ExpressVote","TOWN OF FAIRFIELD SAUK",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5511124900",1,746,"Wisconsin","Sauk Town","Fairfield","Optical Scan","Yes","Town","TOWN OF FAIRFIELD","SAUK",0,1,0,1
"571","TOWN OF FARMINGTON JEFFERSON",246,28.0821917808219,47,876,5.36529680365297,979,583,66.5525114155251,328,4,865,533,88.3554647599591,37.9190751445087,61.6184971098266,0.46242774566474,-82,50,43,-9.83688336368675,4.93401430569853,4.90286905798823,89.4790602655771,1.12359550561797,0,0,"JEFFERSON","TOWN OF FARMINGTON","TOWN OF FARMINGTON WARDS 1-2",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF FARMINGTON JEFFERSON",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5505525300",1,990,"Wisconsin","Jefferson Town","Farmington","Ballot Marking Device or System","Yes","Town","TOWN OF FARMINGTON","JEFFERSON",0,1,0,1
"572","TOWN OF FARMINGTON LA CROSSE",445,40.9383624655014,57,1087,5.24379024839006,1332,585,53.8178472861086,604,15,1060,441,79.5795795795796,56.9811320754717,41.6037735849057,1.41509433962264,-159,144,42,-16.0427696099703,12.2140737012029,3.82869590876742,81.6066066066066,2.02702702702702,0,1,"LA CROSSE","TOWN OF FARMINGTON","TOWN OF FARMINGTON WARD 1-2",1,"ES&S","ES&S DS200","ES&S Automark","TOWN OF FARMINGTON LA CROSSE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5506325325",1,1216,"Wisconsin","La Crosse Town","Farmington","Optical Scan","Yes","Town","TOWN OF FARMINGTON","LA CROSSE",0,1,0,1
"573","TOWN OF FARMINGTON POLK",275,26.6731328806984,51,1031,4.9466537342386,1172,705,68.380213385063,386,21,1009,602,86.0921501706485,38.2556987115956,59.6630327056492,2.0812685827552,-111,103,30,-11.5825658308973,8.71718067941389,2.8653851514834,87.9692832764505,1.87713310580205,0,0,"POLK","TOWN OF FARMINGTON","TOWN OF FARMINGTON WARDS 1-2",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF FARMINGTON POLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5509525350",1,1170,"Wisconsin","Polk Town","Farmington","DRE-Touchscreen","Yes","Town","TOWN OF FARMINGTON","POLK",0,1,1,0
"574","TOWN OF FARMINGTON WASHINGTON",465,21.1845102505695,75,2195,3.41685649202733,2475,1655,75.3986332574032,533,26,2238,1679,90.4242424242424,23.8159070598749,75.0223413762288,1.16175156389634,-68,-24,49,-2.63139680930541,0.37629188117441,2.255104928131,88.6868686868687,-1.73737373737374,0,0,"WASHINGTON","TOWN OF FARMINGTON","TOWN OF FARMINGTON WARD 1-5",1,"Dominion","Dominion ImageCast Evolution","Dominion ImageCast Evolution","TOWN OF FARMINGTON WASHINGTON",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5513125375",1,2461,"Wisconsin","Washington Town","Farmington","Ballot Marking Device or System","Yes","Town","TOWN OF FARMINGTON","WASHINGTON",0,1,0,1
"575","TOWN OF FARMINGTON WAUPACA",822,38.4291725105189,107,2139,5.00233754090697,2720,1210,56.5684899485741,968,28,2112,1116,77.6470588235294,45.8333333333333,52.8409090909091,1.32575757575758,-146,94,79,-7.4041608228144,3.727580857665,3.67657996514939,78.6397058823529,0.992647058823522,0,0,"WAUPACA","TOWN OF FARMINGTON","TOWN OF FARMINGTON WARDS 1-6",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","TOWN OF FARMINGTON WAUPACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5513525400",1,2552,"Wisconsin","Waupaca Town","Farmington","DRE-Touchscreen","Yes","Town","TOWN OF FARMINGTON","WAUPACA",0,1,1,0
"576","TOWN OF FAYETTE LAFAYETTE",66,37.2881355932203,7,177,3.95480225988701,225,104,58.7570621468927,95,3,172,74,76.4444444444444,55.2325581395349,43.0232558139535,1.74418604651163,-29,30,4,-17.9444225463145,15.7338063329392,2.21061621337538,78.6666666666667,2.22222222222221,0,1,"LAFAYETTE","TOWN OF FAYETTE","TOWN OF FAYETTE WARDS 1-2",0,NA,NA,NA,"TOWN OF FAYETTE LAFAYETTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5506525475",1,227,"Wisconsin","Lafayette Town","Fayette","Hand Counted Paper Ballots","Yes","Town","TOWN OF FAYETTE","LAFAYETTE",1,0,1,0
"577","TOWN OF FENCE FLORENCE",26,19.2592592592593,5,135,3.7037037037037,163,104,77.037037037037,47,4,127,76,77.9141104294479,37.007874015748,59.8425196850394,3.1496062992126,-21,28,1,-17.7486147564888,17.1945173519977,0.554097404491105,82.8220858895705,4.90797546012269,0,0,"FLORENCE","TOWN OF FENCE","TOWN OF FENCE WARD 1",0,NA,NA,NA,"TOWN OF FENCE FLORENCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5503725575",1,164,"Wisconsin","Florence Town","Fence","DRE-Touchscreen","Yes","Town","TOWN OF FENCE","FLORENCE",1,0,1,0
"578","TOWN OF FENNIMORE GRANT",73,30.1652892561983,17,242,7.02479338842975,279,152,62.8099173553719,126,3,247,118,88.5304659498208,51.0121457489879,47.7732793522267,1.21457489878543,-53,34,14,-20.8468564927895,15.0366380031452,5.81021848964433,86.7383512544803,-1.79211469534052,0,1,"GRANT","TOWN OF FENNIMORE","TOWN OF FENNIMORE WARDS 1-2",0,NA,NA,NA,"TOWN OF FENNIMORE GRANT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5504325625",1,277,"Wisconsin","Grant Town","Fennimore","DRE-Touchscreen","Yes","Town","TOWN OF FENNIMORE","GRANT",1,0,1,0
"579","TOWN OF FERN FLORENCE",23,18.2539682539683,9,126,7.14285714285714,138,94,74.6031746031746,38,3,116,75,84.0579710144928,32.7586206896552,64.6551724137931,2.58620689655172,-15,19,6,-14.5046524356869,9.9480021893815,4.55665024630542,91.304347826087,7.2463768115942,0,0,"FLORENCE","TOWN OF FERN","TOWN OF FERN WARD 1",0,NA,NA,NA,"TOWN OF FERN FLORENCE",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5503725675",1,139,"Wisconsin","Florence Town","Fern","Ballot Marking Device or System","Yes","Town","TOWN OF FERN","FLORENCE",1,0,0,1
"580","TOWN OF FIFIELD PRICE",206,36.8515205724508,20,559,3.5778175313059,665,333,59.5706618962433,260,8,574,306,86.3157894736842,45.2961672473868,53.3101045296167,1.39372822299652,-54,27,12,-8.44464667493595,6.26055736662657,2.18408930830939,84.0601503759398,-2.25563909774438,0,0,"PRICE","TOWN OF FIFIELD","TOWN OF FIFIELD WARD 1",0,NA,NA,NA,"TOWN OF FIFIELD PRICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5509925775",2,642,"Wisconsin","Price Town","Fifield","DRE-Touchscreen","Yes","Town","TOWN OF FIFIELD","PRICE",1,0,1,0
"581","TOWN OF FINLEY JUNEAU",13,20,0,65,0,77,52,80,13,1,50,36,64.9350649350649,26,72,2,0,16,-1,-6,8,-2,84.4155844155844,19.4805194805195,0,0,"JUNEAU","TOWN OF FINLEY","TOWN OF FINLEY WARD 1",0,NA,NA,NA,"TOWN OF FINLEY JUNEAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5505725850",1,74,"Wisconsin","Juneau Town","Finley","Hand Counted Paper Ballots","Yes","Town","TOWN OF FINLEY","JUNEAU",1,0,1,0
