"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-ADAMS-WARDS-1-2-ADAMS","01002","TOWN-OF-ADAMS-WARDS-1-2-ADAMS","Town of Adams Wards 1 & 2","ADAMS","TOWN OF ADAMS ADAMS",35.4449472096531,61.0859728506787,3.46907993966818,0.870063694267516,0,0,0.0746705710102489,0,0,0,0.129936305732484,683,785,0.0161054172767204,663,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1438,18965,4.82673267326733,11.5819209039548,92.0027816411683,0.278164116828929,4.65924895688456,49.3741307371349,48.1,2.59,12.8384255135077
"TOWN-OF-BIG-FLATS-WARD-1-ADAMS","01004","TOWN-OF-BIG-FLATS-WARD-1-ADAMS","Town of Big Flats Ward 1","ADAMS","TOWN OF BIG FLATS ADAMS",34.0725806451613,63.3064516129032,2.62096774193548,0.786499215070644,0.874251497005988,0,0.0838323353293413,438,0,0,0.0659340659340659,501,637,0.0199600798403194,496,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,853,20234,8.73015873015873,6.25,97.5381008206331,0.468933177022274,6.79953106682298,53.9273153575615,58.7,2.27,13.6506409553158
"TOWN-OF-COLBURN-WARD-1-ADAMS","01006","TOWN-OF-COLBURN-WARD-1-ADAMS","Town of Colburn Ward 1","ADAMS","TOWN OF COLBURN ADAMS",41.8604651162791,51.937984496124,6.2015503875969,0.943661971830986,0.895522388059702,0,0.0597014925373134,120,0,0,0.119718309859155,134,142,0.0223880597014925,129,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,285,20075,1.71428571428571,9.80392156862745,98.2456140350877,0.350877192982456,1.75438596491228,52.280701754386,53.6,2.42,3.06426786135655
"TOWN-OF-DELL-PRAIRIE-WARDS-1-2-ADAMS","01008","TOWN-OF-DELL-PRAIRIE-WARDS-1-2-ADAMS","Town of Dell Prairie Wards 1 & 2","ADAMS","TOWN OF DELL PRAIRIE ADAMS",43.0711610486891,55.6803995006242,1.24843945068664,1.13091922005571,0,0,0.0738916256157636,0,0.00246305418719212,0,0.268802228412256,812,718,0.0123152709359606,801,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1617,24790,7.98029556650246,16.2222222222222,94.9907235621521,0.494743351886209,3.58688930117502,50.8967223252938,45.2,2.72,46.4111072909669
"TOWN-OF-EASTON-WARDS-1-2-ADAMS","01010","TOWN-OF-EASTON-WARDS-1-2-ADAMS","Town of Easton Wards 1 & 2","ADAMS","TOWN OF EASTON ADAMS",39.1489361702128,57.2340425531915,3.61702127659574,1.08863636363636,0,0.507306889352818,0.0375782881002088,0,0.00208768267223382,0,0.270454545454545,479,440,0,470,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,993,20561,9.15032679738562,11.3879003558719,96.5760322255791,1.81268882175227,0,53.0715005035247,50.3,2.61,17.3700312049274
"TOWN-OF-JACKSON-WARD-1-ADAMS","01012","TOWN-OF-JACKSON-WARD-1-ADAMS","Town of Jackson Ward 1","ADAMS","TOWN OF JACKSON ADAMS",42.1455938697318,56.1302681992337,1.72413793103448,0.920138888888889,0,0,0.0566037735849057,0,0,0,0.144097222222222,530,576,0.00377358490566038,522,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1189,27590,6.33093525179856,12.6139817629179,93.6080740117746,0,4.70984020185029,48.2758620689655,55.2,2.55,26.5475259157289
"TOWN-OF-LEOLA-WARD-1-ADAMS","01014","TOWN-OF-LEOLA-WARD-1-ADAMS","Town of Leola Ward 1","ADAMS","TOWN OF LEOLA ADAMS",62.9139072847682,33.7748344370861,3.3112582781457,1.08333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0.194444444444444,156,144,0.0256410256410256,151,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,324,19373,10.6796116504854,11.2359550561798,95.9876543209877,0,0,58.9506172839506,44.2,2.89,3.35469626681109
"TOWN-OF-LINCOLN-WARD-1-ADAMS","01016","TOWN-OF-LINCOLN-WARD-1-ADAMS","Town of Lincoln Ward 1","ADAMS","TOWN OF LINCOLN ADAMS",44.5121951219512,52.4390243902439,3.04878048780488,1.02424242424242,0.816568047337278,0,0.0650887573964497,138,0,0.0650887573964497,0.145454545454545,169,165,0.0236686390532544,164,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,362,21312,4,14.0243902439024,93.9226519337017,1.65745856353591,1.10497237569061,55.524861878453,51.8,2.7,3.86734924122314
"TOWN-OF-MONROE-WARD-1-ADAMS","01018","TOWN-OF-MONROE-WARD-1-ADAMS","Town of Monroe Ward 1","ADAMS","TOWN OF MONROE ADAMS",41.4728682170543,57.7519379844961,0.775193798449612,0.913494809688581,0.666666666666667,0,0.0833333333333333,176,0.0151515151515152,0,0.0761245674740484,264,289,0.0113636363636364,258,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,431,29463,8.94308943089431,15.3846153846154,98.6078886310905,0,0,59.8607888631091,58.8,2.13,4.32475926945851
"TOWN-OF-NEW-CHESTER-WARDS-1-2-ADAMS","01020","TOWN-OF-NEW-CHESTER-WARDS-1-2-ADAMS","Town of New Chester Wards 1 & 2","ADAMS","TOWN OF NEW CHESTER ADAMS",32.6732673267327,66.3366336633663,0.99009900990099,0.925,0.41031941031941,0,0.0982800982800983,167,0.00245700245700246,0,0.161363636363636,407,440,0.0221130221130221,404,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,2010,15366,9.41619585687382,3.32880434782609,60.1492537313433,27.6119402985075,14.7761194029851,76.5671641791045,37.6,2.57,60.2318510587298
